time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_high52_vol_norm_20_df015,skew_weighted_20_df037
2007-04-04 00:00:00+00,LONG,4169,0.0,-0.15771645,-0.12994316,-0.49197328
2007-04-24 00:00:00+00,LONG,73,0.23984164615162548,-0.36057287,-0.07681947,-0.49299517
2007-05-14 00:00:00+00,LONG,3862,0.4597392792318052,0.20549427,-0.09682002,-0.47986823
2007-05-15 00:00:00+00,LONG,3621,0.0,0.38125753,-0.16058452,-0.48814127
2007-05-16 00:00:00+00,LONG,3862,0.30013353220791344,-0.17898138,-0.11881026,-0.4772103
2007-05-17 00:00:00+00,LONG,3621,0.0,0.29692468,-0.14358993,-0.47982866
2007-05-23 00:00:00+00,LONG,796,0.0,0.31283423,-0.04180418,-0.5343679
2007-05-25 00:00:00+00,LONG,195,0.0,-0.24277705,-0.062115137,-0.51961875
2007-05-31 00:00:00+00,LONG,195,0.0,0.007210243,-0.06847675,-0.48713225
2007-06-04 00:00:00+00,LONG,1817,0.0,-0.28188893,-0.04515789,-0.47884423
2007-06-18 00:00:00+00,LONG,1250,0.0,0.010981467,-0.039985396,-0.47768942
2007-06-20 00:00:00+00,LONG,1250,0.0,0.4382013,-0.048533406,-0.50906336
2007-06-26 00:00:00+00,LONG,5,0.0,0.030558491,-0.20440137,-0.49129033
2007-06-27 00:00:00+00,LONG,3804,1.0,-0.1642428,-0.09729872,-0.53519076
2007-06-28 00:00:00+00,LONG,3804,0.9545454545454546,0.2497023,-0.106072746,-0.5411361
2007-06-29 00:00:00+00,LONG,356,0.0,-0.3661674,-0.1468272,-0.5044816
2007-06-29 00:00:00+00,LONG,3804,0.0,0.23132056,-0.11335685,-0.5083169
2007-07-02 00:00:00+00,LONG,3521,0.0,0.010123166,-0.08082555,-0.5341321
2007-07-02 00:00:00+00,LONG,3804,0.8636363636363636,-0.41529015,-0.14698349,-0.47764435
2007-07-03 00:00:00+00,LONG,3521,0.0,-5.9357326E-4,-0.087826245,-0.48957875
2007-07-26 00:00:00+00,LONG,1368,0.9473684210526316,0.24734429,-0.08916321,-0.49387413
2007-08-01 00:00:00+00,LONG,2352,0.3171585055692773,-0.055734284,-0.059323814,-0.51527464
