time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,sessions_since_bearish_13_100_df059,velocity_price_vs_etf_diff_5_df050
2011-03-03 00:00:00+00,LONG,1423,0.0,0.0068810373,3.0,-0.0425502
2011-03-04 00:00:00+00,LONG,1423,0.0,-0.12612538,4.0,-0.05397858
2011-03-16 00:00:00+00,LONG,2440,0.7446701322759995,-0.3582314,4.0,-0.041110884
2011-03-18 00:00:00+00,LONG,2961,0.6654340864715711,0.048260435,3.0,-0.03668216
2011-03-23 00:00:00+00,LONG,753,0.8319844194229161,0.040061522,4.0,-0.03853402
2011-03-28 00:00:00+00,LONG,2261,0.625,0.19765168,3.0,-0.043233614
2011-03-30 00:00:00+00,LONG,1673,0.0,-0.16830231,3.0,-0.033211257
2011-05-16 00:00:00+00,LONG,578,0.0,0.3371813,3.0,-0.049933434
2011-05-23 00:00:00+00,LONG,1780,0.0,-0.12884676,3.0,-0.031660546
2011-06-03 00:00:00+00,LONG,1667,0.0,0.4001036,4.0,-0.03355993
2011-06-13 00:00:00+00,LONG,3621,0.0,-0.7129111,3.0,-0.036232363
2011-06-14 00:00:00+00,LONG,3621,0.0,-0.19081762,4.0,-0.03557159
2011-06-16 00:00:00+00,LONG,502,0.0,0.0726622,4.0,-0.040341336
2011-06-20 00:00:00+00,LONG,2440,0.0,-0.007997406,4.0,-0.0488
2011-07-22 00:00:00+00,LONG,3825,0.0,-0.2694824,3.0,-0.031712163
