time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,skew_weighted_60_df037
2005-06-23 00:00:00+00,SHORT,2116,0.22247572651856534,-0.00281056,0.29302496
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,-0.0027323142,0.07225978
2005-06-23 00:00:00+00,SHORT,457,0.17720134099265433,0.00789817,-0.014430665
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,0.002424495,0.11844173
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,0.0036205256,-0.11423642
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,0.0012671673,0.15110609
2005-06-24 00:00:00+00,SHORT,2159,0.29278349907849294,1.9188135E-4,0.30931792
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,0.016632387,0.14056039
2005-06-24 00:00:00+00,SHORT,457,0.10521001981724543,-0.0026489452,-0.026325518
2005-06-29 00:00:00+00,SHORT,2055,0.0,1.1444784E-4,0.082704544
2005-06-29 00:00:00+00,SHORT,413,0.3545280134512553,-0.006746104,0.17496185
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,-0.0015945899,0.07229087
2005-06-30 00:00:00+00,SHORT,1966,0.7145465683532836,-0.0020211698,0.05117675
2005-07-01 00:00:00+00,SHORT,588,0.2001987308068306,0.004846616,0.20323262
2005-07-01 00:00:00+00,SHORT,787,1.0,0.003710508,0.07409002
2005-07-01 00:00:00+00,SHORT,796,0.0,0.007050526,0.16027099
2005-07-01 00:00:00+00,SHORT,2041,0.0,-0.003963332,0.14669372
2005-07-05 00:00:00+00,SHORT,2393,0.0,-0.0031916308,0.25779906
2005-07-05 00:00:00+00,SHORT,787,0.9230769230769231,-0.005843844,0.054872457
2005-07-07 00:00:00+00,SHORT,3903,0.5406124493558289,-0.0032465425,0.18457021
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,-0.0020386868,0.15878887
2005-07-08 00:00:00+00,SHORT,3677,0.4620251988102702,0.00888652,0.3176251
2005-07-11 00:00:00+00,SHORT,3443,0.4475376904689488,0.0066717863,0.3058225
2005-07-11 00:00:00+00,SHORT,3677,0.3870261787891005,-0.0042632264,0.33490774
2005-07-11 00:00:00+00,SHORT,1762,0.0,-0.0016181649,0.2041436
2005-07-12 00:00:00+00,SHORT,28,1.0,0.0029525321,0.012176767
2005-07-12 00:00:00+00,SHORT,984,0.0,0.0040759654,0.2034728
2005-07-12 00:00:00+00,SHORT,1298,0.0,-0.004627972,0.31849277
2005-07-12 00:00:00+00,SHORT,2028,0.0,0.007868391,0.10951955
