time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.5_df055,co_fall_count_1_10_df044,dist_upper_bb_20_2.5_df055
2007-10-31 00:00:00+00,SHORT,1846,0.5822258629252841,-0.015679777,4.0,-0.012368491
2007-11-06 00:00:00+00,SHORT,1832,0.43632201842797197,-0.014339539,5.0,-2.0157573E-4
2007-11-13 00:00:00+00,SHORT,2681,0.39325186792119493,-0.015221202,4.0,-0.028332302
2007-11-28 00:00:00+00,SHORT,2972,0.3141949164832715,-0.003568207,4.0,0.0010956984
2007-12-07 00:00:00+00,SHORT,3831,0.0,-0.015922619,4.0,-0.017591532
2007-12-12 00:00:00+00,SHORT,3831,0.0,-0.020392686,4.0,-0.021251965
2007-12-21 00:00:00+00,SHORT,2640,1.0,-0.012124752,5.0,0.020044811
2007-12-21 00:00:00+00,SHORT,938,1.0,0.0052085724,4.0,-0.026278665
2007-12-24 00:00:00+00,SHORT,2116,1.0,-0.014437339,4.0,-0.017703988
2008-01-07 00:00:00+00,SHORT,2617,0.459381591444622,-0.009902808,4.0,-0.0067986436
2008-01-08 00:00:00+00,SHORT,1333,1.0,-0.0014009732,4.0,-3.1669377E-4
2008-01-15 00:00:00+00,SHORT,1300,0.17281308929099354,-1.566303E-4,4.0,-0.00225872
2008-01-16 00:00:00+00,SHORT,1176,1.0,-0.011796195,6.0,-0.041968185
2008-02-27 00:00:00+00,SHORT,903,1.0,-0.01354765,4.0,-0.014666747
2008-02-27 00:00:00+00,SHORT,1114,0.0,-0.014667665,4.0,0.006401998
2008-02-28 00:00:00+00,SHORT,3804,1.0,-0.017292947,4.0,0.0051027425
2008-04-02 00:00:00+00,SHORT,799,1.0,-0.0068923905,4.0,-0.013769534
2008-05-01 00:00:00+00,SHORT,9,0.0,-0.018450016,4.0,-0.0135476915
2008-05-15 00:00:00+00,SHORT,3531,0.8810666134180718,0.011743443,4.0,-0.0038796705
2008-05-16 00:00:00+00,SHORT,3531,0.0,-0.016280852,4.0,-0.033281904
2008-05-30 00:00:00+00,SHORT,588,0.9166666666666666,-0.015282769,4.0,-0.008958062
2008-06-02 00:00:00+00,SHORT,3244,0.8947368421052632,0.004925997,4.0,-0.041566584
2008-06-05 00:00:00+00,SHORT,664,1.0,-0.018591288,4.0,-0.004045752
2008-06-11 00:00:00+00,SHORT,3918,0.7637751598261863,-0.008164087,6.0,-0.0142469695
2008-06-13 00:00:00+00,SHORT,3918,0.6038557301511327,-0.01240887,5.0,-0.0214146
2008-06-16 00:00:00+00,SHORT,3918,0.6329531713413443,-0.010706679,4.0,-0.022519223
2008-06-30 00:00:00+00,SHORT,4123,1.0,-0.016379604,4.0,-0.0071993396
2008-08-11 00:00:00+00,SHORT,270,0.0,-0.007861511,4.0,-0.023240218
2008-08-11 00:00:00+00,SHORT,641,1.0,-0.011155671,4.0,-0.018739121
2008-08-11 00:00:00+00,SHORT,4089,0.6987171497515123,0.005619485,4.0,-0.018287722
2008-08-12 00:00:00+00,SHORT,1149,0.9333333333333333,-0.015410765,4.0,-0.04848794
2008-08-15 00:00:00+00,SHORT,3760,0.7068943490282439,-0.007145072,4.0,-0.02001036
2008-09-08 00:00:00+00,SHORT,1167,0.0,-0.019594861,4.0,-0.030150965
2008-09-25 00:00:00+00,SHORT,3309,1.0,-0.0023375477,4.0,-0.03644726
2008-11-05 00:00:00+00,SHORT,3708,1.0,-0.0044911583,5.0,-0.009828894
2009-01-06 00:00:00+00,SHORT,2350,1.0,-0.010436781,4.0,0.009484395
2009-01-06 00:00:00+00,SHORT,580,0.0,-0.016609538,4.0,-0.009590549
2009-01-16 00:00:00+00,SHORT,1939,1.0,-0.0070542847,4.0,0.023095021
2009-02-06 00:00:00+00,SHORT,3824,1.0,-0.015396383,4.0,0.010558358
2009-02-09 00:00:00+00,SHORT,1667,1.0,-0.020323133,4.0,-0.0010730436
2009-04-09 00:00:00+00,SHORT,588,0.0,-0.015636938,4.0,-0.015117648
2009-04-09 00:00:00+00,SHORT,2041,0.0,3.1806188E-4,4.0,-0.022802094
2009-04-13 00:00:00+00,SHORT,1710,0.0,-8.135482E-4,4.0,-0.0233693
2009-04-17 00:00:00+00,SHORT,713,0.2773647700250226,0.008052063,5.0,-0.01214178
2009-04-20 00:00:00+00,SHORT,713,0.0,-0.019768797,4.0,-0.03925796
2009-04-21 00:00:00+00,SHORT,713,0.2062248214061909,-0.009237266,4.0,-0.02850566
2009-05-06 00:00:00+00,SHORT,4074,0.0,0.0045841374,4.0,-0.020457769
2009-05-08 00:00:00+00,SHORT,3046,1.0,0.007161148,6.0,0.044264767
2009-05-08 00:00:00+00,SHORT,3903,1.0,0.009436138,4.0,0.007961409
2009-06-02 00:00:00+00,SHORT,3915,1.0,-0.0017555106,4.0,0.008884086
2009-06-10 00:00:00+00,SHORT,2534,0.0,0.0128275985,4.0,-0.008717949
2009-06-12 00:00:00+00,SHORT,1715,0.0,0.016577015,4.0,0.015240596
