time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,price_drift_5_df005
2006-05-17 00:00:00+00,LONG,1966,0.0,-0.10896252,-0.081725225
2006-05-18 00:00:00+00,LONG,643,0.0,-0.1197318,-0.08356602
2006-05-18 00:00:00+00,LONG,1939,0.0,-0.1297043,-0.08834917
2006-05-18 00:00:00+00,LONG,1966,0.0,-0.120170206,-0.08256414
2006-05-19 00:00:00+00,LONG,3116,0.0,-0.14628437,-0.082389936
2006-05-22 00:00:00+00,LONG,1966,0.0,-0.13896479,-0.080314964
2006-05-24 00:00:00+00,LONG,397,1.0,-0.11654774,-0.06542056
2006-05-24 00:00:00+00,LONG,3199,0.0,-0.1722659,-0.06082725
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,-0.1651879,-0.081802525
2006-05-25 00:00:00+00,LONG,1306,0.5527017284030714,-0.14282018,-0.050716333
2006-06-07 00:00:00+00,LONG,1114,0.9615384615384616,-0.10796074,-0.07150965
2006-06-08 00:00:00+00,LONG,2710,0.0,-0.121468924,-0.058467362
2006-06-08 00:00:00+00,LONG,684,0.0,-0.17562237,-0.08732433
2006-06-08 00:00:00+00,LONG,3127,0.0,-0.13241206,-0.061429735
2006-06-09 00:00:00+00,LONG,684,0.0,-0.1661109,-0.07265486
2006-06-12 00:00:00+00,LONG,2330,0.0,-0.11251758,-0.08880866
2006-06-12 00:00:00+00,LONG,2710,0.0,-0.13801107,-0.06434108
2006-06-12 00:00:00+00,LONG,739,0.0,-0.13370474,-0.06653327
2006-06-12 00:00:00+00,LONG,3199,0.0,-0.16850069,-0.064241484
2006-06-13 00:00:00+00,LONG,2105,0.5319898398855829,-0.17918879,-0.07458938
2006-06-13 00:00:00+00,LONG,69,0.2932394741731442,-0.13356009,-0.08675908
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,-0.13359864,-0.056930695
2006-06-13 00:00:00+00,LONG,212,1.0,-0.14895523,-0.06340342
2006-06-13 00:00:00+00,LONG,304,0.786224701619353,-0.108379535,-0.06818626
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,-0.15715215,-0.07779722
2006-06-13 00:00:00+00,LONG,2554,0.8306634131873409,-0.112428755,-0.057346426
2006-06-13 00:00:00+00,LONG,2619,0.0,-0.15254839,-0.07123394
2006-06-13 00:00:00+00,LONG,2710,0.0,-0.10869965,-0.05829771
2006-06-13 00:00:00+00,LONG,845,0.9101008185194994,-0.113093145,-0.060242087
2006-06-13 00:00:00+00,LONG,897,0.2862953356635994,-0.111673646,-0.06445761
2006-06-13 00:00:00+00,LONG,974,0.0,-0.13589026,-0.059400365
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,-0.16743946,-0.07514185
2006-06-13 00:00:00+00,LONG,3124,1.0,-0.17389707,-0.06732663
2006-06-13 00:00:00+00,LONG,3199,0.0,-0.12463557,-0.07473035
2006-06-13 00:00:00+00,LONG,3241,0.7053617114206702,-0.12256359,-0.05982301
2006-06-13 00:00:00+00,LONG,3330,1.0,-0.13818082,-0.06666765
2006-06-13 00:00:00+00,LONG,3343,1.0,-0.13531353,-0.0843163
