time,side,ticker_id,mv_up_composite_labels,price_drift_1_df005,price_drift_21_df005,joint_fall_flag_5_10_df042
2007-11-23 00:00:00+00,LONG,401,0.9333333333333333,0.017493548,-0.16241738,1.0
2007-11-23 00:00:00+00,LONG,3241,0.0,0.023688663,-0.13074712,1.0
2007-11-23 00:00:00+00,LONG,3515,0.962962962962963,0.0038626608,-0.16044508,1.0
2007-11-26 00:00:00+00,LONG,3515,0.0,0.011970928,-0.135816,1.0
2007-11-27 00:00:00+00,LONG,2085,0.0,0.018563922,-0.14344625,1.0
2007-11-27 00:00:00+00,LONG,219,0.0,0.0033880172,-0.14170226,1.0
2007-11-27 00:00:00+00,LONG,3595,0.0,0.011647607,-0.12844372,1.0
2007-11-28 00:00:00+00,LONG,2999,0.0,0.018748589,-0.13816166,1.0
2007-11-28 00:00:00+00,LONG,984,1.0,0.0053475937,-0.12286159,1.0
2007-11-28 00:00:00+00,LONG,1740,0.0,0.02194983,-0.11677753,1.0
2007-11-29 00:00:00+00,LONG,2816,0.0,0.014673399,-0.12000547,1.0
2007-11-30 00:00:00+00,LONG,984,0.9411764705882353,0.010866373,-0.13277903,1.0
2007-12-04 00:00:00+00,LONG,3515,0.0,0.016525423,-0.14382584,1.0
2007-12-05 00:00:00+00,LONG,3515,0.0,0.01292205,-0.12274368,1.0
2007-12-17 00:00:00+00,LONG,2776,0.0,0.0030248035,-0.120424405,1.0
2007-12-19 00:00:00+00,LONG,3436,0.0,0.018113207,-0.14566182,1.0
2007-12-28 00:00:00+00,LONG,167,0.0,0.003117423,-0.1627638,1.0
2007-12-31 00:00:00+00,LONG,167,0.0,0.0041436465,-0.15342067,1.0
2008-01-18 00:00:00+00,LONG,4107,0.9333333333333333,0.0247851,-0.1220081,1.0
2008-01-22 00:00:00+00,LONG,3179,0.0,0.010095643,-0.13097143,1.0
2008-01-22 00:00:00+00,LONG,3198,0.6413747438001427,0.023034735,-0.1257616,1.0
2008-01-22 00:00:00+00,LONG,3703,0.0,0.023566378,-0.11974329,1.0
2008-01-22 00:00:00+00,LONG,3851,0.0,0.022624435,-0.12198912,1.0
2008-01-22 00:00:00+00,LONG,2018,0.0,0.00373599,-0.12367253,1.0
2008-01-23 00:00:00+00,LONG,50,0.0,0.025523013,-0.12744749,1.0
2008-01-23 00:00:00+00,LONG,2686,0.0,0.023031618,-0.13864543,1.0
2008-01-23 00:00:00+00,LONG,730,0.8099496366778403,0.015449438,-0.13153154,1.0
2008-01-23 00:00:00+00,LONG,1684,0.0,0.0091879815,-0.13898306,1.0
2008-01-23 00:00:00+00,LONG,2018,0.0,0.008064516,-0.12516823,1.0
2008-01-24 00:00:00+00,LONG,411,0.0,0.013712943,-0.12855057,1.0
2008-01-24 00:00:00+00,LONG,2703,0.4635552034469923,0.0088805165,-0.13237676,1.0
2008-01-25 00:00:00+00,LONG,386,0.5821184645574992,0.004790941,-0.11946565,1.0
2008-01-28 00:00:00+00,LONG,411,0.0,0.0073997146,-0.13777778,1.0
2008-01-29 00:00:00+00,LONG,3744,0.0,0.015267176,-0.15697241,1.0
2008-01-30 00:00:00+00,LONG,2391,0.9166666666666666,0.005123153,-0.14268908,1.0
2008-01-31 00:00:00+00,LONG,2066,0.0,0.0045489008,-0.13228552,1.0
2008-01-31 00:00:00+00,LONG,135,0.0,0.023728814,-0.12716763,1.0
2008-01-31 00:00:00+00,LONG,248,0.0,0.024373716,-0.13931541,1.0
2008-01-31 00:00:00+00,LONG,450,0.0,0.017523365,-0.12330146,1.0
2008-01-31 00:00:00+00,LONG,796,1.0,0.008227848,-0.13705309,1.0
2008-01-31 00:00:00+00,LONG,1463,0.7878787878787878,0.025733948,-0.14646585,1.0
2008-01-31 00:00:00+00,LONG,3838,0.3600342771086088,0.0035825174,-0.12929963,1.0
2008-02-01 00:00:00+00,LONG,4215,0.3942624626305237,0.0057909978,-0.12702765,1.0
2008-02-01 00:00:00+00,LONG,796,0.9615384615384616,0.015693659,-0.11873639,1.0
2008-02-01 00:00:00+00,LONG,3233,0.31801583442004633,0.02609407,-0.14052758,1.0
2008-02-05 00:00:00+00,LONG,4215,0.3523786568897922,0.005029116,-0.11943414,1.0
2008-02-06 00:00:00+00,LONG,3233,0.3313894001618911,0.009658246,-0.12698072,1.0
2008-02-07 00:00:00+00,LONG,433,0.6670544635826087,0.015976537,-0.1405393,1.0
2008-02-07 00:00:00+00,LONG,2896,0.38741992493292576,0.005860364,-0.12456377,1.0
2008-02-07 00:00:00+00,LONG,1012,1.0,0.01586892,-0.13424958,1.0
2008-02-07 00:00:00+00,LONG,3330,0.6071428571428572,0.014974552,-0.157635,1.0
2008-02-07 00:00:00+00,LONG,3573,0.725,0.020748759,-0.11687805,1.0
2008-02-07 00:00:00+00,LONG,3613,0.7027027027027026,0.00887574,-0.14313634,1.0
2008-02-07 00:00:00+00,LONG,3744,0.0,0.0075082122,-0.13947895,1.0
2008-02-07 00:00:00+00,LONG,2041,0.9615384615384616,0.02246859,-0.12998265,1.0
