time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,accel_eps_qoq_df017
2005-04-06 00:00:00+00,SHORT,897,0.8571428571428572,-0.005583469,0.04
2005-04-06 00:00:00+00,SHORT,2972,0.0,-0.011862476,-0.12
2005-04-06 00:00:00+00,SHORT,1114,0.8125,-0.010476435,0.1601
2005-04-06 00:00:00+00,SHORT,1437,0.18319507350690487,-0.007743764,0.0
2005-04-06 00:00:00+00,SHORT,3915,0.0,-0.010055923,0.0
2005-04-07 00:00:00+00,SHORT,4107,0.2703965970635967,-0.013753643,-0.03
2005-04-07 00:00:00+00,SHORT,2095,0.03139758072845619,-0.0018252461,0.0
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.0012920075,0.0
2005-04-07 00:00:00+00,SHORT,2269,0.0,-0.010771034,0.1
2005-04-07 00:00:00+00,SHORT,2396,0.1433696552725832,-0.01229506,0.39
2005-04-07 00:00:00+00,SHORT,2818,0.3171132865082264,-0.0069653504,0.34
2005-04-07 00:00:00+00,SHORT,862,0.35168903220541436,-0.014058236,0.06
2005-04-07 00:00:00+00,SHORT,897,0.7857142857142857,-0.013907824,0.04
2005-04-07 00:00:00+00,SHORT,2972,0.0,-0.0150495395,-0.12
2005-04-07 00:00:00+00,SHORT,3116,0.48433962371159134,-0.0097245695,-0.01
2005-04-07 00:00:00+00,SHORT,1437,0.0508122650235312,-0.013702545,0.0
2005-04-07 00:00:00+00,SHORT,1826,0.40539782864250584,-0.0015003406,0.13
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.0013422265,-0.02
2005-04-07 00:00:00+00,SHORT,4000,1.0,-0.0145401275,0.51
2005-04-08 00:00:00+00,SHORT,2261,0.0,-0.0072018253,0.0
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.008747363,-0.02
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0031739385,-0.04
2005-04-08 00:00:00+00,SHORT,1250,0.0,-0.013536145,0.0
2005-04-08 00:00:00+00,SHORT,1650,0.0,0.0019217972,-0.05
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.0013873163,0.53
2005-04-08 00:00:00+00,SHORT,3903,0.16252604697762363,-0.014895498,-0.02
2005-04-11 00:00:00+00,SHORT,2253,1.0,3.6429532E-4,-0.02
2005-04-11 00:00:00+00,SHORT,2269,0.0,-0.0054605,0.1
2005-04-11 00:00:00+00,SHORT,1064,0.2080501076306608,-0.0071395924,-0.04
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.010940351,0.53
2005-04-11 00:00:00+00,SHORT,1826,0.23691113531642288,-0.013037478,0.13
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,-0.010667464,-0.13
2005-04-11 00:00:00+00,SHORT,1939,1.0,-0.0055895587,0.0314
2005-04-11 00:00:00+00,SHORT,4083,0.0,-0.008337924,0.2
2005-04-12 00:00:00+00,SHORT,2055,0.429270346664699,-0.014719173,0.07
2005-04-12 00:00:00+00,SHORT,4107,0.1149720943702941,-0.014612167,-0.03
2005-04-12 00:00:00+00,SHORT,4122,1.0,6.9783867E-4,-0.04
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,-0.0030956252,0.55
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.004762747,-0.02
2005-04-12 00:00:00+00,SHORT,2261,0.0,-0.007319341,0.0
2005-04-12 00:00:00+00,SHORT,2269,0.0,-0.0100320345,0.1
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.0052305106,0.11
2005-04-12 00:00:00+00,SHORT,2716,0.0,-0.013805137,0.02
2005-04-12 00:00:00+00,SHORT,759,0.49871720866158376,-0.013535713,0.03
2005-04-12 00:00:00+00,SHORT,2972,0.09174562663849382,-0.011602114,-0.12
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.021830844,-0.09
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.005210495,-0.01
2005-04-12 00:00:00+00,SHORT,1308,0.09392814775842913,-0.013984591,-0.14
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,-0.004371628,0.01
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.02768142,-0.17
2005-04-12 00:00:00+00,SHORT,3773,0.0,-0.008875938,-0.2
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,0.0030592477,0.21
2005-04-12 00:00:00+00,SHORT,3890,0.27432635172440073,-0.014219562,-0.13
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,6.3293945E-4,0.51
2005-04-13 00:00:00+00,SHORT,2175,0.41714353289253225,-0.014060409,0.55
2005-04-13 00:00:00+00,SHORT,191,0.4215227413376627,-0.011160707,-0.1
2005-04-13 00:00:00+00,SHORT,2269,0.0,-0.014166304,0.1
2005-04-13 00:00:00+00,SHORT,424,0.0,0.008418363,0.0
2005-04-13 00:00:00+00,SHORT,780,1.0,0.00957224,0.06
2005-04-13 00:00:00+00,SHORT,2993,0.3070631266648398,-0.012905743,0.33
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,-3.1545834E-4,0.03
2005-04-13 00:00:00+00,SHORT,1171,0.21617470697982502,-0.014327144,-0.01
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,-0.0047648503,0.51
2005-04-14 00:00:00+00,SHORT,195,0.0,-0.012543335,-0.08
2005-04-14 00:00:00+00,SHORT,2285,0.41504939138786473,-0.012791229,0.33
2005-04-14 00:00:00+00,SHORT,424,0.0,-0.0059108036,0.0
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,0.0033066913,-0.14
2005-04-15 00:00:00+00,SHORT,195,0.0,-0.01014606,-0.08
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,-9.878785E-4,0.09
2005-04-18 00:00:00+00,SHORT,3430,0.23329269728423696,-0.0067642527,-0.14
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,-0.0032469828,-0.14
2005-04-21 00:00:00+00,SHORT,2747,1.0,-0.0035217481,0.0138
2005-04-21 00:00:00+00,SHORT,3702,0.3260084711459656,-0.01107053,0.0
2005-04-22 00:00:00+00,SHORT,2720,1.0,-1.9738277E-4,0.0
2005-04-22 00:00:00+00,SHORT,2747,0.8888888888888888,-0.0151077425,0.0138
2005-04-25 00:00:00+00,SHORT,1631,0.0,-0.0030983596,0.03
2005-04-25 00:00:00+00,SHORT,1826,0.13215131846005645,-0.012220069,0.13
2005-04-26 00:00:00+00,SHORT,2548,0.5663916510483348,-0.006375746,-0.13
2005-04-26 00:00:00+00,SHORT,3641,0.2294078894245929,-0.012136237,0.09
