time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,sessions_since_bearish_13_100_df059
2005-05-20 00:00:00+00,LONG,1673,0.5953843941746885,-0.5151688,25.0
2005-05-23 00:00:00+00,LONG,88,0.6120998039469852,-0.69038665,18.0
2005-05-23 00:00:00+00,LONG,2397,0.5692679235439926,-0.8086937,2.0
2005-05-23 00:00:00+00,LONG,2440,0.370713417852965,-0.77919436,25.0
2005-05-23 00:00:00+00,LONG,450,0.8787878787878788,-0.5872313,11.0
2005-05-24 00:00:00+00,LONG,64,0.0,-0.6819878,21.0
2005-05-24 00:00:00+00,LONG,93,0.5575102465629311,-0.48268074,6.0
2005-05-24 00:00:00+00,LONG,2397,0.5419546858989371,-0.78700316,3.0
2005-05-24 00:00:00+00,LONG,2440,0.3800945513051688,-0.77391165,26.0
2005-05-24 00:00:00+00,LONG,450,0.8484848484848485,-0.4767876,12.0
2005-05-25 00:00:00+00,LONG,64,0.0,-0.6723034,22.0
2005-05-25 00:00:00+00,LONG,2397,0.5782144392867734,-0.79309225,4.0
2005-05-25 00:00:00+00,LONG,2440,0.42062844760940743,-0.7765505,27.0
2005-05-26 00:00:00+00,LONG,64,0.0,-0.6415133,23.0
2005-05-26 00:00:00+00,LONG,2397,0.28719381481357553,-0.78579754,5.0
2005-05-26 00:00:00+00,LONG,3652,0.6290212901163195,-0.50370055,18.0
2005-05-27 00:00:00+00,LONG,64,0.0,-0.6510734,24.0
2005-05-27 00:00:00+00,LONG,2397,0.4752757040359398,-0.7439823,6.0
2005-05-31 00:00:00+00,LONG,64,0.0,-0.74416596,25.0
2005-05-31 00:00:00+00,LONG,2397,0.24341361562287317,-0.7776855,7.0
2005-06-01 00:00:00+00,LONG,64,0.0,-0.73750633,26.0
2005-06-01 00:00:00+00,LONG,2397,0.4354642975953105,-0.79491043,8.0
2005-06-02 00:00:00+00,LONG,64,0.0,-0.81008095,27.0
2005-06-02 00:00:00+00,LONG,1667,0.0,-0.70978945,17.0
2005-06-03 00:00:00+00,LONG,1960,0.0,-0.7312206,3.0
2005-06-06 00:00:00+00,LONG,1960,0.0,-0.7646833,4.0
2005-06-07 00:00:00+00,LONG,1667,0.014407769872620588,-0.82585084,20.0
2005-06-08 00:00:00+00,LONG,1667,0.022936035013089863,-0.62263685,21.0
2005-06-10 00:00:00+00,LONG,1011,0.0,-0.78003144,1.0
2005-06-10 00:00:00+00,LONG,2018,1.0,-0.68691194,5.0
2005-06-13 00:00:00+00,LONG,1011,0.0,-0.78232133,2.0
2005-06-13 00:00:00+00,LONG,1141,1.0,-0.47623897,11.0
2005-06-13 00:00:00+00,LONG,1434,0.0,-0.5281858,1.0
2005-06-14 00:00:00+00,LONG,1011,0.0,-0.7510158,3.0
2005-06-15 00:00:00+00,LONG,1011,0.0,-0.7543218,4.0
2005-06-21 00:00:00+00,LONG,142,0.002105666529325674,-0.75590384,1.0
2005-06-22 00:00:00+00,LONG,142,0.004715491562096242,-0.5420803,2.0
2005-06-23 00:00:00+00,LONG,2137,0.0,-0.4803418,10.0
2005-06-23 00:00:00+00,LONG,142,0.0,-0.69017833,3.0
2005-06-23 00:00:00+00,LONG,3137,0.0,-0.6942484,1.0
2005-06-24 00:00:00+00,LONG,2137,0.0,-0.5941109,11.0
2005-06-24 00:00:00+00,LONG,2930,0.2503227019807082,-0.5557477,14.0
2005-06-27 00:00:00+00,LONG,73,0.7740055293650226,-0.5542893,10.0
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,-0.8013091,16.0
2005-06-27 00:00:00+00,LONG,1191,0.1063829787234043,-0.6268846,1.0
2005-06-27 00:00:00+00,LONG,3378,0.0,-0.63563365,1.0
2005-06-27 00:00:00+00,LONG,1423,0.0,-0.49143085,5.0
2005-06-28 00:00:00+00,LONG,465,0.6538058934950012,-0.69152355,17.0
2005-06-28 00:00:00+00,LONG,1191,0.08510638297872342,-0.6630593,2.0
2005-06-29 00:00:00+00,LONG,465,0.7645765313125639,-0.63519484,18.0
2005-06-29 00:00:00+00,LONG,1191,0.06382978723404253,-0.766376,3.0
2005-06-30 00:00:00+00,LONG,1191,0.042553191489361764,-0.7945848,4.0
2005-07-05 00:00:00+00,LONG,2285,0.33491748168773605,-0.7160289,1.0
2005-07-05 00:00:00+00,LONG,903,1.0,-0.46471608,6.0
2005-07-05 00:00:00+00,LONG,1191,0.0,-0.686211,6.0
2005-07-06 00:00:00+00,LONG,2285,0.31874647094466707,-0.6773633,2.0
2005-07-06 00:00:00+00,LONG,2936,0.08530431549545998,-0.4794663,5.0
2005-07-06 00:00:00+00,LONG,1191,1.0,-0.6587061,7.0
2005-07-07 00:00:00+00,LONG,4169,0.07275306098769005,-0.46415678,4.0
2005-07-07 00:00:00+00,LONG,2285,0.2962962962962963,-0.7644457,3.0
2005-07-07 00:00:00+00,LONG,2751,1.0,-0.53357416,7.0
2005-07-07 00:00:00+00,LONG,3109,0.0,-0.8141512,17.0
2005-07-07 00:00:00+00,LONG,3137,1.0,-0.49094135,10.0
2005-07-07 00:00:00+00,LONG,3378,0.2935791287956849,-0.5249199,8.0
2005-07-07 00:00:00+00,LONG,1633,0.4624275828903112,-0.80695605,4.0
2005-07-07 00:00:00+00,LONG,3702,0.9786789295787729,-0.47910413,1.0
2005-07-07 00:00:00+00,LONG,1819,0.0,-0.6278318,2.0
2005-07-08 00:00:00+00,LONG,2285,0.21148555819062068,-0.68885595,4.0
2005-07-08 00:00:00+00,LONG,3109,0.0,-0.48482993,18.0
