time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_rev_growth_zscore_universe_df073,earnings_drift_10_df011,joint_fall_flag_5_5_df042
2006-01-30 00:00:00+00,SHORT,975,0.2565826708892137,0.006300184,-0.0765,0.0,0.0
2006-01-30 00:00:00+00,SHORT,3378,0.1610626713367307,-0.0035624143,-0.0851,0.0,0.0
2006-01-30 00:00:00+00,SHORT,3531,0.5155281987305496,0.011626752,-0.0955,0.0,0.0
2006-01-31 00:00:00+00,SHORT,131,0.14236047436499508,-5.0013093E-4,-0.0873,0.0,0.0
2006-01-31 00:00:00+00,SHORT,602,0.5275654560891259,0.0077907443,-0.0949,0.0,0.0
2006-01-31 00:00:00+00,SHORT,2896,0.4207641580533378,0.0163004,-0.0811,0.0,0.0
2006-01-31 00:00:00+00,SHORT,3947,0.7085557978873286,0.001131142,-0.0832,0.0,0.0
2006-02-01 00:00:00+00,SHORT,4171,0.0,-0.0030056436,-0.0949,0.009600496,0.0
2006-02-01 00:00:00+00,SHORT,487,0.643865190280732,-8.255167E-4,-0.092,0.013907734,0.0
2006-02-01 00:00:00+00,SHORT,3433,0.20789882148663438,0.019436685,-0.0792,0.027931035,0.0
2006-02-01 00:00:00+00,SHORT,1404,1.0,-0.0043338803,-0.0763,9.3385216E-4,0.0
2006-02-01 00:00:00+00,SHORT,1762,0.5549255469400164,-0.002600127,-0.0835,-0.010935397,0.0
2006-02-01 00:00:00+00,SHORT,1807,1.0,-0.003767207,-0.0857,-0.006441224,0.0
2006-02-02 00:00:00+00,SHORT,4088,0.6776250224379782,-0.004422289,-0.0811,0.007227174,0.0
2006-02-06 00:00:00+00,SHORT,559,0.45846891705784387,0.01046395,-0.0877,0.0621728,0.0
2006-02-06 00:00:00+00,SHORT,1949,0.4910484775393386,0.009921204,-0.0859,0.02793938,0.0
2006-02-07 00:00:00+00,SHORT,487,0.6,-0.001720146,-0.0923,0.022557667,0.0
2006-02-08 00:00:00+00,SHORT,1297,0.0,7.5026194E-4,-0.0844,0.022799915,0.0
2006-02-17 00:00:00+00,SHORT,2440,0.1868572247418224,-5.110275E-5,-0.0839,0.0,0.0
2006-02-17 00:00:00+00,SHORT,869,0.0,0.0014137304,-0.089,0.0,0.0
2006-02-17 00:00:00+00,SHORT,2041,0.5490093613521085,0.0030392015,-0.0838,0.0,0.0
2006-02-22 00:00:00+00,SHORT,2248,0.4889008943378846,0.008032138,-0.0772,0.0,0.0
2006-02-24 00:00:00+00,SHORT,3556,0.3243394717940305,-0.0036062032,-0.1156,0.0,0.0
2006-02-27 00:00:00+00,SHORT,845,0.2930669089341288,-0.0040482306,-0.0887,0.0,0.0
2006-02-27 00:00:00+00,SHORT,2961,0.6179625988060418,0.0012557901,-0.0829,0.0,0.0
2006-02-27 00:00:00+00,SHORT,1361,0.7129891044845204,0.0010616702,-0.0782,0.04650513,0.0
2006-02-27 00:00:00+00,SHORT,3556,0.3417356917213873,-0.0035898145,-0.1171,0.0,0.0
2006-02-28 00:00:00+00,SHORT,2568,0.0,0.0087855,-0.0918,0.0,0.0
2006-03-01 00:00:00+00,SHORT,2568,0.0,0.0044851983,-0.0918,0.0,0.0
2006-03-03 00:00:00+00,SHORT,3610,0.24555240852578913,-0.0043856744,-0.0817,0.0,0.0
2006-03-15 00:00:00+00,SHORT,559,0.0,0.0128030125,-0.0839,0.0,0.0
2006-03-21 00:00:00+00,SHORT,2269,0.21546738813497712,-0.0024108565,-0.0814,0.0,0.0
2006-03-22 00:00:00+00,SHORT,2269,0.23877610789033685,-0.0043432144,-0.0819,0.0,0.0
