time,side,ticker_id,mv_dn_composite_labels,vola_roc_1_5_df040,dist_upper_bb_20_2.5_df055
2005-07-22 00:00:00+00,SHORT,3915,1.0,-0.12670617,-0.013340136
2005-07-28 00:00:00+00,SHORT,3273,1.0,0.035281736,-0.008653554
2005-07-28 00:00:00+00,SHORT,3818,1.0,0.84769607,-0.0027621454
2005-07-29 00:00:00+00,SHORT,69,1.0,0.9161469,-5.3532276E-4
2005-07-29 00:00:00+00,SHORT,2351,1.0,1.0079337,-0.016630076
2005-08-01 00:00:00+00,SHORT,2351,0.9090909090909091,0.42068398,-0.014346239
2005-08-02 00:00:00+00,SHORT,2261,1.0,0.4755776,-0.0105238985
2005-08-02 00:00:00+00,SHORT,835,0.36413216765688505,0.64478976,-0.013321588
2005-08-02 00:00:00+00,SHORT,1299,0.5815576484720051,0.675921,-0.011284262
2005-08-03 00:00:00+00,SHORT,2638,0.0,0.25951028,-0.013521239
2005-08-03 00:00:00+00,SHORT,694,0.23949441381084485,0.36649364,0.0034633942
2005-08-03 00:00:00+00,SHORT,787,1.0,0.5326747,-0.012749323
2005-08-03 00:00:00+00,SHORT,2938,0.11970161748513201,0.6975877,-0.010444623
2005-08-03 00:00:00+00,SHORT,1112,0.0,0.40942106,-0.01688591
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,0.28892377,-0.010436718
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,0.59520644,-0.006479795
2005-08-03 00:00:00+00,SHORT,1308,0.7225837500529589,0.6561244,-0.016521486
2005-08-03 00:00:00+00,SHORT,1333,0.3458584605134093,0.19211595,-0.006987439
2005-08-04 00:00:00+00,SHORT,2196,0.1311876700927067,-0.079438694,-0.01077384
2005-08-04 00:00:00+00,SHORT,853,0.14196434160179547,-0.0845602,-0.013781403
2005-08-04 00:00:00+00,SHORT,2961,0.0,0.38321105,-0.015087933
2005-08-04 00:00:00+00,SHORT,3052,0.19126561857226418,1.0116304,-0.016452877
2005-08-04 00:00:00+00,SHORT,1210,0.07447972518102423,0.54009634,-0.009938372
2005-08-04 00:00:00+00,SHORT,1361,0.046267367979409044,0.06004665,-0.014568183
2005-08-05 00:00:00+00,SHORT,2196,0.08162234348881231,0.1287599,-0.015430689
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,0.7676362,-0.010481895
2005-08-10 00:00:00+00,SHORT,938,1.0,0.9758547,-0.017069453
2005-08-11 00:00:00+00,SHORT,457,0.3865792326873837,0.6181832,-0.009609156
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,1.0483209,-0.004585233
2005-08-11 00:00:00+00,SHORT,1184,0.38137831162380625,0.30577874,-0.0104170125
2005-08-11 00:00:00+00,SHORT,3244,0.633626173917877,0.87989455,-0.009120025
2005-08-11 00:00:00+00,SHORT,3420,0.46879023363521527,0.7482467,-0.0073394584
2005-08-11 00:00:00+00,SHORT,3831,0.18206726729262862,0.20100665,-0.008868621
2005-08-12 00:00:00+00,SHORT,2125,0.0,0.43081722,-0.012611194
2005-08-12 00:00:00+00,SHORT,3127,0.7265993602335221,-0.12667216,-0.011013871
2005-08-12 00:00:00+00,SHORT,3831,0.024803706860761842,0.23312432,-0.015690593
2005-08-16 00:00:00+00,SHORT,1610,0.0,0.91643286,-0.015729014
2005-08-19 00:00:00+00,SHORT,853,0.0,0.039908014,-0.015472297
2005-08-22 00:00:00+00,SHORT,4034,0.0,0.64818454,-0.016882945
2005-08-23 00:00:00+00,SHORT,739,0.7420889505210222,0.4479158,-0.011949782
2005-08-23 00:00:00+00,SHORT,3109,0.805344553296219,0.37090388,-0.013373712
2005-08-25 00:00:00+00,SHORT,39,0.0,0.049189243,-0.011259478
2005-08-25 00:00:00+00,SHORT,3811,0.20328032297303222,0.07568094,-0.01687477
2005-08-26 00:00:00+00,SHORT,3811,0.2142379368099149,-0.08301015,-0.014419898
2005-08-30 00:00:00+00,SHORT,3078,0.0,1.0889148,-0.016903179
2005-08-31 00:00:00+00,SHORT,3287,0.03450481287875588,0.51420134,-0.010930436
2005-09-01 00:00:00+00,SHORT,3116,0.0,1.0332438,-0.010668422
2005-09-01 00:00:00+00,SHORT,3287,0.0,0.85610175,-0.013293042
2005-09-01 00:00:00+00,SHORT,1514,0.6369221369915268,1.0304469,-0.0140364515
2005-09-06 00:00:00+00,SHORT,401,0.625828394630446,0.67802125,-0.003378308
2005-09-07 00:00:00+00,SHORT,713,0.5219873009006234,-0.12168285,-0.014509
2005-09-07 00:00:00+00,SHORT,858,1.0,0.15639862,-0.013026653
2005-09-07 00:00:00+00,SHORT,1514,0.4925905643118912,0.10519282,-0.016112352
2005-09-07 00:00:00+00,SHORT,3686,0.0,0.74252737,-0.015569158
2005-09-08 00:00:00+00,SHORT,2050,0.7457335855584232,0.9691317,-0.001251156
2005-09-09 00:00:00+00,SHORT,2050,0.6947256725415275,0.38451597,-0.0075310543
2005-09-09 00:00:00+00,SHORT,675,0.39570095352302104,0.7910539,-0.0064947163
2005-09-09 00:00:00+00,SHORT,1299,0.5170311403594415,0.02069626,-0.012236377
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,1.0819765,-0.009959566
2005-09-09 00:00:00+00,SHORT,4070,1.0,-0.06581314,-0.007776987
2005-09-12 00:00:00+00,SHORT,2085,0.4031965818851957,0.40104932,-0.017263127
2005-09-12 00:00:00+00,SHORT,2291,1.0,0.28890726,-0.0075655114
2005-09-12 00:00:00+00,SHORT,443,0.5,1.0707052,-0.015472608
2005-09-12 00:00:00+00,SHORT,988,1.0,0.6334668,-0.0043248925
2005-09-12 00:00:00+00,SHORT,3127,0.44999999999999996,1.0284792,-0.0112946415
2005-09-12 00:00:00+00,SHORT,1092,1.0,-0.0040525207,-0.01407321
2005-09-12 00:00:00+00,SHORT,3244,0.13348951359437625,0.39649713,-0.011601886
2005-09-12 00:00:00+00,SHORT,3703,0.11223958153356524,0.15910433,-0.006345447
2005-09-12 00:00:00+00,SHORT,1960,1.0,0.0012461063,-0.014827177
2005-09-13 00:00:00+00,SHORT,68,0.6462000406547748,0.16762015,-0.012793843
2005-09-13 00:00:00+00,SHORT,1011,1.0,0.69626427,-0.014086434
2005-09-13 00:00:00+00,SHORT,1330,1.0,0.16354413,-0.01208578
2005-09-13 00:00:00+00,SHORT,3703,0.14884372244685729,0.26583847,-0.015226066
2005-09-13 00:00:00+00,SHORT,1767,0.43218288509167674,0.963732,-0.013691075
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,-0.0040694755,-0.011234805
2005-09-14 00:00:00+00,SHORT,3824,0.6230215339616383,0.43537056,-0.0133562805
2005-09-16 00:00:00+00,SHORT,1011,0.7272727272727273,0.5661182,-0.0171345
2005-09-16 00:00:00+00,SHORT,1114,0.8764243747077475,0.2227518,-0.013056359
2005-09-16 00:00:00+00,SHORT,3271,0.5290549303387385,0.07445562,-0.016736658
2005-09-16 00:00:00+00,SHORT,3652,0.5908918599139246,-0.06590373,-0.012666204
2005-09-19 00:00:00+00,SHORT,84,1.0,0.959828,-0.016311176
2005-09-19 00:00:00+00,SHORT,2659,0.2621443178413516,0.97309554,0.01343773
2005-09-19 00:00:00+00,SHORT,1288,0.12622638044008555,0.11449,-0.014864762
2005-09-20 00:00:00+00,SHORT,2818,0.0,-0.08064009,-0.01044455
2005-09-21 00:00:00+00,SHORT,2818,0.0,-0.07740412,-0.017334774
2005-09-22 00:00:00+00,SHORT,2716,0.0,0.18253855,-0.015234066
2005-09-28 00:00:00+00,SHORT,2670,0.0,0.19870074,-0.017631816
2005-09-28 00:00:00+00,SHORT,3013,0.5285774135553772,0.4815058,-0.010542795
2005-09-28 00:00:00+00,SHORT,3236,0.44651790893651205,0.9829379,-0.014046419
2005-09-29 00:00:00+00,SHORT,4237,0.11941896692345567,-0.11087183,-0.011192109
2005-09-29 00:00:00+00,SHORT,2270,0.23392095139912572,-0.026440049,-0.011964961
2005-09-29 00:00:00+00,SHORT,335,0.4105545203084431,0.61930484,-0.012916191
2005-09-29 00:00:00+00,SHORT,2690,1.0,0.61360854,-0.012693695
2005-09-29 00:00:00+00,SHORT,1298,1.0,0.04018163,-0.015893964
2005-09-29 00:00:00+00,SHORT,3381,0.0,-0.017547773,-0.011914809
2005-09-30 00:00:00+00,SHORT,4237,0.09642769607621529,0.031035054,-0.01669111
2005-09-30 00:00:00+00,SHORT,2381,0.1852625155030524,0.3384577,-7.829269E-4
2005-09-30 00:00:00+00,SHORT,2816,0.6082839007581399,-0.02218016,-0.011594372
2005-09-30 00:00:00+00,SHORT,1832,0.33074164277339796,-0.021684002,-0.011767045
2005-10-03 00:00:00+00,SHORT,4123,1.0,1.0318645,-0.016450418
2005-10-03 00:00:00+00,SHORT,4237,0.09244980855164225,-0.024855759,-0.012012202
2005-10-03 00:00:00+00,SHORT,142,1.0,-0.08947508,-0.0014852051
2005-10-03 00:00:00+00,SHORT,191,0.25422856674801236,0.21018422,-0.01347549
2005-10-03 00:00:00+00,SHORT,2248,1.0,0.33992156,-0.015855411
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,0.6211404,-0.00490286
2005-10-03 00:00:00+00,SHORT,2272,1.0,-0.12727968,-0.008226504
2005-10-03 00:00:00+00,SHORT,2285,0.21452067610611805,0.51140517,-0.007509515
2005-10-03 00:00:00+00,SHORT,2473,0.8011610124360771,0.35080567,2.7906717E-4
2005-10-03 00:00:00+00,SHORT,475,0.0,0.1556633,-0.015014707
2005-10-03 00:00:00+00,SHORT,562,0.35772387394192895,0.56514984,-0.017578771
2005-10-03 00:00:00+00,SHORT,2816,0.6087719424194011,0.050603524,-0.011564071
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,0.8854562,-0.0042856336
2005-10-03 00:00:00+00,SHORT,3187,0.042873371579754994,0.27485293,-0.015571269
2005-10-03 00:00:00+00,SHORT,3471,1.0,0.111845784,-0.0043521062
2005-10-03 00:00:00+00,SHORT,1840,0.0,0.19753616,-0.01555022
2005-10-03 00:00:00+00,SHORT,4000,0.6666666666666667,-0.046942994,-0.014824055
2005-10-03 00:00:00+00,SHORT,2041,0.4361334070509408,0.74994934,-0.017838156
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,0.6652844,-0.0039643287
2005-10-04 00:00:00+00,SHORT,142,0.27992275508768166,1.0055959,-0.015825141
2005-10-04 00:00:00+00,SHORT,245,0.0,1.017019,-0.012856739
2005-10-04 00:00:00+00,SHORT,2396,0.21581443418102775,0.2382896,-0.016246688
2005-10-04 00:00:00+00,SHORT,2437,0.40569628972532956,0.8571348,-0.010362572
2005-10-04 00:00:00+00,SHORT,780,1.0,0.9753911,-0.01586393
2005-10-04 00:00:00+00,SHORT,791,0.44143711571989197,-0.092285,-0.004635478
2005-10-04 00:00:00+00,SHORT,3241,0.0,0.40845802,-0.0071927635
2005-10-04 00:00:00+00,SHORT,3357,0.24055465214302377,0.10222215,-0.011480344
2005-10-04 00:00:00+00,SHORT,1356,0.5270709049381128,-0.09870328,-0.010098778
2005-10-04 00:00:00+00,SHORT,3802,0.0,0.7213408,-0.017207142
2005-10-06 00:00:00+00,SHORT,405,0.6358133519881053,1.0551425,-0.01572886
2005-10-07 00:00:00+00,SHORT,934,0.37009309508065685,0.14506303,-0.0114419935
2005-10-10 00:00:00+00,SHORT,3868,0.0,0.16388077,-0.009500055
