time,side,ticker_id,mv_dn_composite_labels,price_to_sales_zscore_universe_df070,joint_fall_flag_1_20_df042,joint_fall_flag_5_5_df042,dist_upper_bb_20_2.0_df055
2005-11-22 00:00:00+00,SHORT,1807,0.03989918301540451,-0.1067,0.0,0.0,-0.01044271
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,-0.0984,0.0,0.0,0.0054948367
2005-11-23 00:00:00+00,SHORT,1816,0.37270736227917173,-0.0944,0.0,0.0,-0.007057886
2005-11-23 00:00:00+00,SHORT,3912,0.3911884576948535,-0.0981,0.0,0.0,-0.00834601
2005-11-25 00:00:00+00,SHORT,4128,1.0,-0.1069,0.0,0.0,-0.012574601
2005-11-25 00:00:00+00,SHORT,121,0.2117068362444819,-0.1017,0.0,0.0,-0.0048897066
2005-11-25 00:00:00+00,SHORT,907,0.5479394894283638,-0.0978,0.0,0.0,-0.0013967666
2005-11-25 00:00:00+00,SHORT,3912,0.4083782808717461,-0.0981,0.0,0.0,-0.009490392
2005-11-25 00:00:00+00,SHORT,1949,0.0,-0.1045,0.0,0.0,-0.010022087
2005-11-28 00:00:00+00,SHORT,443,0.4437456746710069,-0.1048,0.0,0.0,-0.011035349
2005-11-28 00:00:00+00,SHORT,3309,0.0,-0.0949,0.0,0.0,0.0058127963
2005-11-29 00:00:00+00,SHORT,2557,0.0,-0.086,0.0,0.0,-0.007010126
2005-11-29 00:00:00+00,SHORT,3309,0.0,-0.0944,0.0,0.0,0.002746459
2005-12-01 00:00:00+00,SHORT,2550,0.2047955756101528,-0.1018,0.0,0.0,-0.009196285
2005-12-02 00:00:00+00,SHORT,3947,0.24664067137327406,-0.0847,0.0,0.0,-0.0047838516
2005-12-02 00:00:00+00,SHORT,1985,1.0,-0.0819,0.0,0.0,-0.010946675
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,-0.0976,0.0,0.0,-0.0026773815
2005-12-06 00:00:00+00,SHORT,576,0.1587961950974222,-0.104,0.0,0.0,-0.008856941
2005-12-06 00:00:00+00,SHORT,862,0.39660285825089114,-0.0885,0.0,0.0,-0.0097854035
