time,side,ticker_id,mv_up_composite_labels,velocity_price_univ_zscore_5_df048,sessions_since_bearish_21_50_df059,price_drift_5_df005,sessions_since_bearish_8_50_df059,dist_upper_bb_50_2.5_df055
2009-05-15 00:00:00+00,LONG,417,0.78,2.2406647,7.0,0.010306622,12.0,-0.15748431
2009-06-15 00:00:00+00,LONG,212,0.6551724137931034,1.8779044,20.0,0.0057219793,5.0,-0.13609907
2009-06-17 00:00:00+00,LONG,2261,0.6896551724137931,1.5918739,9.0,-0.0043997485,3.0,-0.09276906
2009-06-18 00:00:00+00,LONG,2261,0.6724137931034483,2.1575415,10.0,0.0025157232,4.0,-0.086104326
2009-06-23 00:00:00+00,LONG,710,0.561485060882162,2.2383857,12.0,-0.011643529,9.0,-0.122275904
2009-07-07 00:00:00+00,LONG,248,0.775,1.1811634,4.0,-0.005694384,10.0,-0.12262818
2009-07-08 00:00:00+00,LONG,934,0.0,1.5583434,4.0,0.0030395137,9.0,-0.13440095
2009-07-08 00:00:00+00,LONG,3310,0.0,1.1607115,3.0,-0.011974025,12.0,-0.106848225
2009-07-08 00:00:00+00,LONG,3539,0.0,1.2315531,7.0,-0.009299236,10.0,-0.12140325
2009-07-09 00:00:00+00,LONG,2990,0.9642857142857143,2.536733,5.0,-0.012943079,12.0,-0.11403693
2009-07-10 00:00:00+00,LONG,4097,0.9230769230769231,1.3346758,4.0,-0.009098787,10.0,-0.18629463
2009-07-10 00:00:00+00,LONG,4107,0.21052631578947367,2.0849948,7.0,0.0022977942,10.0,-0.10182556
2009-07-10 00:00:00+00,LONG,505,0.41977238881125184,1.5679523,3.0,-0.0055555557,7.0,-0.19632915
2009-07-10 00:00:00+00,LONG,2761,0.9166666666666666,2.3855386,4.0,0.006862745,9.0,-0.1501866
2009-07-10 00:00:00+00,LONG,881,0.9672131147540983,1.4270308,4.0,-0.007696008,10.0,-0.28699532
2009-07-10 00:00:00+00,LONG,934,0.9069767441860466,1.6082271,6.0,-0.00494382,11.0,-0.17170541
2009-07-10 00:00:00+00,LONG,3791,0.9333333333333333,1.130205,2.0,-0.012204489,9.0,-0.12869538
2009-07-10 00:00:00+00,LONG,3794,0.5750348921834458,1.1491259,3.0,-0.011917098,10.0,-0.1854171
2009-09-03 00:00:00+00,LONG,3456,0.0,1.2045515,2.0,-0.0019119728,12.0,-0.07607474
2009-10-02 00:00:00+00,LONG,739,0.0,1.3337855,4.0,-0.011180124,3.0,-0.1659953
2009-10-21 00:00:00+00,LONG,2541,0.32203853444624336,1.4041276,12.0,0.0075648413,12.0,-0.10765124
2009-11-02 00:00:00+00,LONG,388,0.9615384615384616,2.7657614,12.0,-0.012448133,7.0,-0.08353109
2009-11-23 00:00:00+00,LONG,2497,0.6321030187969549,1.2565653,2.0,0.0028146226,8.0,-0.089801125
2009-11-27 00:00:00+00,LONG,1360,0.6842105263157895,2.2786105,18.0,0.0,4.0,-0.08805744
2010-01-28 00:00:00+00,LONG,900,0.0,2.9534707,17.0,-0.0029554938,12.0,-0.07392962
2010-02-04 00:00:00+00,LONG,1904,1.0,1.7788606,6.0,0.0024124186,11.0,-0.18892166
2010-02-05 00:00:00+00,LONG,2085,0.9272727272727272,1.3332388,8.0,0.0068465564,10.0,-0.11047734
2010-02-05 00:00:00+00,LONG,2305,0.8832329361806696,1.4620432,4.0,0.008482278,10.0,-0.2262112
2010-02-05 00:00:00+00,LONG,522,1.0,1.4430923,7.0,0.008241618,12.0,-0.16248839
2010-02-05 00:00:00+00,LONG,838,0.0,1.5964562,11.0,0.010189229,10.0,-0.24733944
2010-02-05 00:00:00+00,LONG,1832,0.0,1.2125082,2.0,0.005313363,7.0,-0.13987076
2010-02-05 00:00:00+00,LONG,4070,1.0,1.4712744,4.0,0.008599509,8.0,-0.10768853
2010-02-08 00:00:00+00,LONG,2085,0.9090909090909091,1.5950786,9.0,-0.0059856344,11.0,-0.11460999
2010-02-08 00:00:00+00,LONG,2291,0.22395057822697942,1.3501397,5.0,-0.0104593,9.0,-0.11996978
2010-02-08 00:00:00+00,LONG,2393,0.6438009902563967,1.4477793,5.0,-0.008675971,11.0,-0.13577807
2010-02-08 00:00:00+00,LONG,2761,0.6890664255573784,1.6819583,3.0,-0.004398827,9.0,-0.16399626
2010-02-08 00:00:00+00,LONG,2835,0.0,2.3573334,4.0,0.007936508,11.0,-0.19232813
2010-02-08 00:00:00+00,LONG,1099,0.9836065573770492,1.8486109,7.0,-0.0013550136,12.0,-0.12018
2010-02-08 00:00:00+00,LONG,1832,0.0,1.6480709,3.0,-0.0050177607,8.0,-0.13615225
2010-02-09 00:00:00+00,LONG,1,0.38043590794853177,1.9981828,2.0,-0.0030508474,9.0,-0.07478739
2010-02-09 00:00:00+00,LONG,2085,0.8909090909090909,2.0685935,10.0,-0.001986492,12.0,-0.107543394
2010-02-09 00:00:00+00,LONG,2305,0.7568853703772475,1.7320782,6.0,-0.0070733866,12.0,-0.21939747
2010-02-09 00:00:00+00,LONG,2393,0.6140748217368638,1.8263994,6.0,-0.0056475904,12.0,-0.131503
2010-02-09 00:00:00+00,LONG,2543,0.0,1.1540115,6.0,-0.015811665,9.0,-0.13251175
2010-02-09 00:00:00+00,LONG,684,0.0,2.1752996,6.0,-3.7348273E-4,10.0,-0.17468397
2010-02-09 00:00:00+00,LONG,2835,0.0,1.1835655,5.0,-0.015364917,12.0,-0.18490857
2010-02-09 00:00:00+00,LONG,1404,0.0,1.3515356,8.0,-0.012825817,11.0,-0.23381378
2010-02-09 00:00:00+00,LONG,3473,0.9310344827586207,1.4674449,7.0,-0.011073686,10.0,-0.13780689
2010-02-09 00:00:00+00,LONG,1434,0.13674328549391174,2.563123,5.0,0.0054890052,9.0,-0.12094259
2010-02-09 00:00:00+00,LONG,1532,0.0,1.8668616,2.0,-0.0050359494,10.0,-0.112566754
2010-02-09 00:00:00+00,LONG,3838,0.9047619047619048,1.8464816,3.0,-0.0053440216,9.0,-0.09565339
2010-02-09 00:00:00+00,LONG,1832,0.4444088526272777,1.5602562,4.0,-0.009670714,9.0,-0.12718244
2010-02-09 00:00:00+00,LONG,4070,0.9615384615384616,2.3938043,6.0,0.0029295192,10.0,-0.097233236
2010-02-10 00:00:00+00,LONG,1,0.8297872340425532,1.7423394,3.0,-0.009820582,10.0,-0.079372786
2010-02-10 00:00:00+00,LONG,2067,0.5454382154280714,2.324814,7.0,-0.004016064,9.0,-0.21289818
2010-02-10 00:00:00+00,LONG,2291,0.19149709968791215,1.3208535,7.0,-0.014020805,11.0,-0.11911217
2010-02-10 00:00:00+00,LONG,2508,0.0,2.3448105,2.0,-0.003816794,8.0,-0.1452648
