time,side,ticker_id,mv_dn_composite_labels,normalized_6m_df004,skew_weighted_10_df037,weighted_neg_sum_20_df036,dist_upper_bb_50_2.0_df055
2006-01-27 00:00:00+00,SHORT,1474,0.19522682436390498,0.19354838,0.1783385,0.06633539,0.0038007495
2006-01-30 00:00:00+00,SHORT,4112,0.6733193938231984,0.13207547,0.6813651,0.15731066,0.040234473
2006-01-30 00:00:00+00,SHORT,3641,0.45718507437257044,0.23809524,0.38356325,0.123893246,0.024579624
2006-01-31 00:00:00+00,SHORT,4112,0.6727770906766102,0.12,0.7586266,0.116367936,0.03913703
2006-01-31 00:00:00+00,SHORT,2261,1.0,0.43333334,0.65696836,0.1155165,0.042947516
2006-01-31 00:00:00+00,SHORT,2896,0.4207641580533378,0.47058824,0.3787146,0.106337115,0.028084
2006-01-31 00:00:00+00,SHORT,3352,0.4295901145353129,0.5,0.41410244,0.098638624,0.0039717313
2006-01-31 00:00:00+00,SHORT,3641,0.3084089873994863,0.23255815,0.31974012,0.118388616,0.013519169
2006-01-31 00:00:00+00,SHORT,3947,0.7085557978873286,0.12,0.4475,0.07074349,0.02755103
2006-02-01 00:00:00+00,SHORT,4112,0.5406258713775282,0.1509434,0.5917613,0.12917857,0.014543518
2006-02-01 00:00:00+00,SHORT,2261,0.0,0.46153846,0.5509934,0.13508075,0.010968234
2006-02-01 00:00:00+00,SHORT,3335,0.13660733684931056,0.18867925,0.68533516,0.114269935,0.03465632
2006-02-01 00:00:00+00,SHORT,1762,0.5549255469400164,0.4090909,0.5789842,0.110733636,0.021376641
2006-02-01 00:00:00+00,SHORT,3947,0.5923913288936351,0.115384616,0.46517342,0.088102564,0.0017927153
2006-02-02 00:00:00+00,SHORT,4112,0.5731462035562286,0.14814815,0.4140319,0.12917857,0.007153808
2006-02-02 00:00:00+00,SHORT,142,1.0,0.13636364,0.5004807,0.08463616,0.043470506
2006-02-02 00:00:00+00,SHORT,3335,0.0,0.18518518,0.5786689,0.13476017,0.008180902
2006-02-02 00:00:00+00,SHORT,1610,0.9473684210526316,0.26923078,0.7748139,0.12302521,0.033201937
2006-02-06 00:00:00+00,SHORT,142,0.8888888888888888,0.0952381,0.42682812,0.119088985,0.005652321
2006-02-06 00:00:00+00,SHORT,2731,0.0,0.5,0.66317976,0.1284169,0.052387785
2006-02-06 00:00:00+00,SHORT,817,0.4538743539181621,0.42857143,0.5910271,0.15467602,0.01370291
2006-02-06 00:00:00+00,SHORT,838,0.0,0.47619048,0.76246864,0.08247684,0.017699834
2006-02-06 00:00:00+00,SHORT,870,1.0,0.21621622,0.3556366,0.09731909,0.020342542
2006-02-06 00:00:00+00,SHORT,1826,0.8333333333333334,0.43243244,0.34446737,0.10847288,0.0010926747
2006-02-07 00:00:00+00,SHORT,3357,0.47332283610802117,0.42307693,0.6219084,0.108476855,0.00891371
2006-02-10 00:00:00+00,SHORT,2518,1.0,0.27272728,0.5415951,0.10625461,0.014689887
2006-02-16 00:00:00+00,SHORT,2064,1.0,0.33333334,0.43658197,0.12836544,0.005466676
2006-02-16 00:00:00+00,SHORT,3255,0.23036978707222294,0.1764706,0.5217371,0.0844145,0.0018681443
2006-02-23 00:00:00+00,SHORT,4107,0.0,0.36956522,0.09388196,0.074377574,0.0049905023
2006-02-24 00:00:00+00,SHORT,4107,0.0,0.3888889,0.43306643,0.073889114,0.0010256893
2006-02-24 00:00:00+00,SHORT,2818,0.0,0.15384616,0.8371382,0.08673173,0.01658213
2006-02-27 00:00:00+00,SHORT,2270,0.2745442233591358,0.48809522,0.59358525,0.05424614,0.01285254
2006-02-27 00:00:00+00,SHORT,505,0.8740741250505958,0.45454547,0.6194028,0.08054935,0.028562786
2006-02-27 00:00:00+00,SHORT,2818,0.0,0.15384616,0.82904214,0.079172656,0.008344576
2006-03-06 00:00:00+00,SHORT,3142,0.5571954629721776,0.5,0.74333763,0.03651915,0.02599711
2006-03-10 00:00:00+00,SHORT,3612,0.552082451686094,0.09375,0.39485183,0.11186304,0.005093702
