time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,velocity_eps_9m_univ_zscore_df051
2006-08-03 00:00:00+00,LONG,4062,0.7063179377410704,-0.0054528126,-0.054379895
2006-08-04 00:00:00+00,LONG,808,1.0,8.990935E-4,-0.055141773
2006-08-09 00:00:00+00,LONG,502,0.8863636363636364,-0.008086246,-0.022812137
2006-08-10 00:00:00+00,LONG,2983,0.5485822287540842,-0.0017843401,-0.0071160486
2006-08-10 00:00:00+00,LONG,3862,1.0,-0.004058754,-0.04801183
2006-08-11 00:00:00+00,LONG,2196,0.8557459858539893,0.004093792,-0.04730358
2006-08-11 00:00:00+00,LONG,2983,0.5984575714793915,0.004155312,-0.007928289
2006-08-14 00:00:00+00,LONG,4169,1.0,-0.008095057,-0.036103465
2006-08-14 00:00:00+00,LONG,2983,0.5321156298838017,-0.006962,-0.007946538
2006-08-14 00:00:00+00,LONG,3862,0.9428571428571428,-0.004324988,-0.047621552
2006-08-18 00:00:00+00,LONG,68,0.0,0.00404607,-0.02871713
2006-08-24 00:00:00+00,LONG,2936,0.0240049918043204,0.0019732194,-0.01853628
2006-08-25 00:00:00+00,LONG,2936,0.0,0.0014989132,-0.017873429
2006-08-28 00:00:00+00,LONG,304,0.0,-0.0069167586,-0.05088236
2006-08-28 00:00:00+00,LONG,3473,0.3734754957407836,-0.0056020436,-0.034449626
2006-08-29 00:00:00+00,LONG,304,0.0,-2.9213284E-4,-0.05088236
2006-08-29 00:00:00+00,LONG,843,1.0,-0.0062008887,-0.0065443846
2006-08-30 00:00:00+00,LONG,304,0.0,-0.0038276059,-0.051428095
2006-08-30 00:00:00+00,LONG,843,0.972972972972973,-0.0018129867,-0.006337788
2006-09-06 00:00:00+00,LONG,304,0.0,8.1550423E-4,-0.051264368
2006-09-07 00:00:00+00,LONG,799,0.0,-0.007608911,-0.050138567
2006-09-07 00:00:00+00,LONG,870,0.0,-0.0040391106,0.0046880175
2006-09-22 00:00:00+00,LONG,345,0.9473684210526316,-0.004715996,-0.061130736
2006-09-22 00:00:00+00,LONG,631,1.0,0.0011831318,-0.059232198
2006-09-25 00:00:00+00,LONG,3677,1.0,-0.0041697337,-0.06081431
2006-09-26 00:00:00+00,LONG,3677,0.9777777777777777,-0.0032509118,-0.06081431
2006-10-02 00:00:00+00,LONG,1463,0.33070970106743436,-0.005571629,-0.056780484
2006-10-04 00:00:00+00,LONG,2619,0.33193521666440573,-0.005140729,-0.0013124769
2006-10-05 00:00:00+00,LONG,2690,0.8404911354333396,-0.005633835,0.0166821
2006-10-06 00:00:00+00,LONG,2638,1.0,0.0039919433,-0.05484689
2006-10-09 00:00:00+00,LONG,2638,0.9714285714285714,7.448743E-4,-0.05484689
2006-10-10 00:00:00+00,LONG,2638,0.9428571428571428,-0.0063221534,-0.05484689
2006-10-11 00:00:00+00,LONG,2430,0.428355203290709,-5.7296414E-4,-0.02538538
2006-10-16 00:00:00+00,LONG,1087,0.3115340950619072,-7.1334E-4,-0.01604953
2006-11-08 00:00:00+00,LONG,2877,0.4385704598901312,-4.161375E-4,-0.021007182
2006-11-08 00:00:00+00,LONG,1869,0.8333333333333334,-0.0053165313,-0.017404066
2006-11-20 00:00:00+00,LONG,1361,1.0,-0.0048941267,-0.023194127
2006-12-19 00:00:00+00,LONG,1114,1.0,-0.0048789745,-0.05843957
2006-12-20 00:00:00+00,LONG,3293,0.44679801804285024,-0.006075684,-0.058429666
2006-12-21 00:00:00+00,LONG,1114,0.9130434782608696,-0.0070693744,-0.05859499
2006-12-21 00:00:00+00,LONG,3293,0.46097522020266835,-9.366457E-4,-0.058103703
2006-12-22 00:00:00+00,LONG,3241,0.0,-0.0018646723,-0.058108766
2006-12-22 00:00:00+00,LONG,3293,0.5305434440611059,1.6906322E-4,-0.05665121
2006-12-26 00:00:00+00,LONG,3275,0.49062212140829603,-0.005044552,-0.05826326
2006-12-27 00:00:00+00,LONG,3293,0.47366926256574454,-0.0076999054,-0.056495648
2006-12-28 00:00:00+00,LONG,3293,0.4349824406739085,-0.0072929114,-0.056495648
2006-12-29 00:00:00+00,LONG,2064,0.9423076923076923,-0.0021094368,-0.057390176
2006-12-29 00:00:00+00,LONG,3293,0.4322309249789015,-0.0045844954,-0.056495648
2007-01-04 00:00:00+00,LONG,2816,0.7450881116706422,-0.0026671349,-0.04621317
2007-01-08 00:00:00+00,LONG,3049,0.6781045510680058,0.0037376978,-0.058294
2007-01-09 00:00:00+00,LONG,2175,0.5803560596646841,0.0028205886,-0.03215146
