time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2005-08-30 00:00:00+00,LONG,1220,0.5484022022411339,-0.026007004,-0.030169196
2005-08-31 00:00:00+00,LONG,4140,0.9333333333333333,-0.024233593,0.0040602405
2005-08-31 00:00:00+00,LONG,1099,0.0,-0.025565617,0.001190838
2005-09-21 00:00:00+00,LONG,3912,0.6579636154456063,-0.0250662,-0.023808388
2005-09-23 00:00:00+00,LONG,3447,0.0,-0.025023038,0.005834964
2005-09-26 00:00:00+00,LONG,3501,0.3888977485956938,-0.02586103,-0.0052658063
2005-10-05 00:00:00+00,LONG,3912,1.0,-0.02546706,-0.030621534
2005-10-12 00:00:00+00,LONG,386,0.7406749327202289,-0.024523744,-0.024521483
2005-10-12 00:00:00+00,LONG,3046,0.5942969989634834,-0.024420181,0.009903227
2005-10-13 00:00:00+00,LONG,2381,0.21705371892869715,-0.024414616,-0.008094139
2005-10-14 00:00:00+00,LONG,4122,0.9818181818181818,-0.024071012,0.0038202775
2005-10-17 00:00:00+00,LONG,4237,0.5002342752221887,-0.025304532,-0.005468926
2005-10-17 00:00:00+00,LONG,2778,0.0,-0.02543946,-0.015442541
2005-10-17 00:00:00+00,LONG,799,0.6607987527764005,-0.025528438,-0.0063895467
2005-10-18 00:00:00+00,LONG,4122,0.9454545454545454,-0.024913857,0.00234037
2005-10-18 00:00:00+00,LONG,4237,0.6225564605266819,-0.024690934,-0.006274845
2005-10-18 00:00:00+00,LONG,3359,0.8695652173913043,-0.025067056,-7.883083E-4
2005-10-18 00:00:00+00,LONG,3469,0.9318181818181819,-0.025497647,-0.005518975
2005-10-19 00:00:00+00,LONG,2396,0.9148936170212766,-0.025236793,-0.0067798398
2005-10-20 00:00:00+00,LONG,2643,0.9818181818181818,-0.025874972,-0.019466745
2005-10-20 00:00:00+00,LONG,2778,0.48334442980106174,-0.026132884,-0.025255054
2005-10-20 00:00:00+00,LONG,1288,0.0,-0.024250895,-0.0015053488
2005-10-21 00:00:00+00,LONG,84,0.16109007683677817,-0.0248567,-0.032030676
2005-10-21 00:00:00+00,LONG,2936,0.3992762993318415,-0.026049864,-0.034391463
