time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,dist_upper_bb_20_2.5_df055
2005-10-24 00:00:00+00,SHORT,3244,0.3687661242730742,0.5212,-0.007316392
2005-10-24 00:00:00+00,SHORT,1220,0.0,0.2156,-0.011481124
2005-10-24 00:00:00+00,SHORT,3501,0.04337747849279204,0.8616,-0.015508039
2005-10-24 00:00:00+00,SHORT,3645,0.37426085532943426,0.6575,-0.013067487
2005-10-25 00:00:00+00,SHORT,2863,0.5120240956347297,0.651,0.0050130766
2005-10-25 00:00:00+00,SHORT,1220,0.0,0.2166,-0.01883603
2005-10-27 00:00:00+00,SHORT,4050,0.3805403839932924,0.9083,-0.0152903395
2005-11-01 00:00:00+00,SHORT,791,0.4313754150742413,0.8973,-0.017579347
2005-11-01 00:00:00+00,SHORT,1175,1.0,0.2737,0.042038415
2005-11-02 00:00:00+00,SHORT,76,0.6365510743725,0.6725,-0.011603226
2005-11-02 00:00:00+00,SHORT,304,0.0,0.8683,-0.017898895
2005-11-02 00:00:00+00,SHORT,842,0.7314464186500805,0.1964,-0.010209179
2005-11-02 00:00:00+00,SHORT,3275,0.0,0.6357,0.0033426657
2005-11-02 00:00:00+00,SHORT,3310,0.0,0.787,-0.003927378
2005-11-02 00:00:00+00,SHORT,3436,0.056742603108328224,0.3319,-0.013780949
2005-11-03 00:00:00+00,SHORT,576,0.4052312288576687,0.4027,-0.0034916156
2005-11-03 00:00:00+00,SHORT,2932,0.0,0.3796,-0.0041423934
2005-11-03 00:00:00+00,SHORT,1298,0.46305088161067637,0.3858,-0.01694962
2005-11-03 00:00:00+00,SHORT,3613,0.0,0.4014,0.006199912
2005-11-03 00:00:00+00,SHORT,3831,0.328739279361446,0.3952,-0.01185642
2005-11-04 00:00:00+00,SHORT,4218,0.8332323531084966,0.5755,-0.00793966
2005-11-04 00:00:00+00,SHORT,3825,1.0,0.2811,-0.002369446
2005-11-07 00:00:00+00,SHORT,3825,0.5042334768060086,0.2812,-0.0036467842
2005-11-08 00:00:00+00,SHORT,3825,0.42667160951620337,0.2826,-0.014448907
2005-11-08 00:00:00+00,SHORT,1790,0.32989826628732005,0.5589,-0.009565273
2005-11-09 00:00:00+00,SHORT,710,0.33642895144459917,0.8695,-0.0030436378
2005-11-09 00:00:00+00,SHORT,3825,0.404195821177573,0.2826,-0.016373014
2005-11-10 00:00:00+00,SHORT,3825,0.36823772751439543,0.2784,-0.018007722
2005-11-11 00:00:00+00,SHORT,2175,0.0,0.6491,-0.01307332
2005-11-15 00:00:00+00,SHORT,3699,0.0,0.7498,-0.0071273604
2005-11-16 00:00:00+00,SHORT,712,0.0,0.3686,-0.012275543
2005-11-21 00:00:00+00,SHORT,2142,0.16241656547440741,0.5259,-0.004017296
2005-11-21 00:00:00+00,SHORT,1108,0.0,0.8706,-0.008765964
2005-11-22 00:00:00+00,SHORT,2142,0.16104121935960564,0.5189,-0.018517692
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,0.2681,-0.0076438286
2005-11-25 00:00:00+00,SHORT,2440,0.42940468966429285,0.6419,-0.017622093
2005-11-25 00:00:00+00,SHORT,907,0.5479394894283638,0.4019,-0.013171125
2005-12-01 00:00:00+00,SHORT,2473,0.0,0.9103,-0.018231481
2005-12-01 00:00:00+00,SHORT,2835,0.0,0.6932,0.015628787
2005-12-02 00:00:00+00,SHORT,444,0.42154631942497545,0.1428,0.0053045903
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,0.1775,-0.0046231933
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.8545,-0.0020476796
2005-12-02 00:00:00+00,SHORT,3947,0.24664067137327406,0.8966,-0.01667574
2005-12-05 00:00:00+00,SHORT,2936,0.2930816100750661,0.1797,-0.016348524
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,0.8535,-0.015797073
2005-12-06 00:00:00+00,SHORT,576,0.1587961950974222,0.2331,-0.01871039
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,0.8539,-0.014034773
2005-12-06 00:00:00+00,SHORT,3433,0.09329199058895249,0.8914,8.910653E-4
2005-12-07 00:00:00+00,SHORT,1615,0.0,0.8865,-0.0019402531
2005-12-09 00:00:00+00,SHORT,2936,0.23720999896109532,0.1796,-0.01480441
2005-12-12 00:00:00+00,SHORT,675,0.5534669503837981,0.866,-6.8030605E-4
2005-12-12 00:00:00+00,SHORT,2936,0.16397695797249204,0.1835,-0.014908295
2005-12-13 00:00:00+00,SHORT,243,0.2892270352918167,0.215,-0.016214658
2005-12-14 00:00:00+00,SHORT,4187,0.0,0.1714,-0.018589057
2005-12-14 00:00:00+00,SHORT,243,0.23359293582537782,0.2153,-0.011036553
2005-12-14 00:00:00+00,SHORT,870,0.0,0.1876,-0.0043676076
2005-12-14 00:00:00+00,SHORT,2936,0.07202063641197082,0.1834,-0.01548443
2005-12-14 00:00:00+00,SHORT,4005,0.3213857135443851,0.9103,0.016641008
2005-12-15 00:00:00+00,SHORT,2659,0.6558218543365969,0.1763,-0.011774348
2005-12-16 00:00:00+00,SHORT,2032,0.19608305321825206,0.6603,-0.010478649
2005-12-27 00:00:00+00,SHORT,2710,0.0,0.1894,-0.015311384
2005-12-28 00:00:00+00,SHORT,2710,0.0,0.1909,-0.01541177
2005-12-29 00:00:00+00,SHORT,2710,0.0,0.1875,-0.0182879
2006-01-04 00:00:00+00,SHORT,1250,0.2725873655387356,0.1478,-0.018776974
2006-01-04 00:00:00+00,SHORT,3838,0.6572552599700084,0.2479,-0.018332722
2006-01-05 00:00:00+00,SHORT,3142,0.0,0.2285,-0.007853151
2006-01-06 00:00:00+00,SHORT,2396,0.0,0.2375,-0.017180672
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,0.3823,-0.005641263
2006-01-06 00:00:00+00,SHORT,1063,0.3029447753702112,0.7388,-0.014747562
2006-01-06 00:00:00+00,SHORT,3142,0.0,0.4016,-0.011849343
2006-01-09 00:00:00+00,SHORT,405,0.6742810326173506,0.376,-0.017996786
2006-01-09 00:00:00+00,SHORT,429,0.18792032021594396,0.3778,-0.010381604
2006-01-09 00:00:00+00,SHORT,2548,0.40751120322521006,0.6349,-8.1847975E-5
2006-01-09 00:00:00+00,SHORT,3142,0.0,0.3952,-0.016404688
2006-01-09 00:00:00+00,SHORT,1615,0.0,0.7322,-0.01518248
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,0.6103,0.005373621
2006-01-10 00:00:00+00,SHORT,2084,1.0,0.228,-0.01002689
2006-01-10 00:00:00+00,SHORT,610,1.0,0.2154,-0.011492565
2006-01-10 00:00:00+00,SHORT,3142,0.0,0.3986,-0.018955175
2006-01-11 00:00:00+00,SHORT,3078,0.0,0.3823,-0.010846293
2006-01-11 00:00:00+00,SHORT,1303,0.6987280047145138,0.6203,-0.016868478
2006-01-11 00:00:00+00,SHORT,1377,0.507589722941336,0.1429,-0.0075394437
2006-01-11 00:00:00+00,SHORT,3794,0.0,0.6498,-0.014898653
2006-01-12 00:00:00+00,SHORT,4223,0.4537476641091538,0.2036,-0.0063299974
