time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_21_50_df059,weighted_neg_sum_10_df036,skew_weighted_20_df037,joint_fall_flag_1_10_df042
2007-08-21 00:00:00+00,LONG,610,1.0,30.0,0.1217762,-0.4855103,0.0
2007-08-21 00:00:00+00,LONG,643,0.0,17.0,0.12255104,-0.5005207,0.0
2007-08-21 00:00:00+00,LONG,1474,0.0,21.0,0.1294743,-0.24380673,0.0
2007-08-22 00:00:00+00,LONG,643,0.0,18.0,0.12255104,-0.31137234,0.0
2007-08-22 00:00:00+00,LONG,3677,0.8974358974358975,13.0,0.12522528,-0.4624217,0.0
2007-08-23 00:00:00+00,LONG,1453,0.0,19.0,0.10401803,-0.3706989,0.0
2007-08-27 00:00:00+00,LONG,243,0.8852459016393442,13.0,0.109324075,-0.29044262,0.0
2007-09-10 00:00:00+00,LONG,1064,0.0,25.0,0.12027133,-0.23804714,0.0
2007-09-11 00:00:00+00,LONG,1377,0.0,28.0,0.10460961,-0.25693777,0.0
2007-09-11 00:00:00+00,LONG,3607,0.8444444444444444,18.0,0.11518314,-0.25066504,0.0
2007-09-20 00:00:00+00,LONG,2534,0.0,23.0,0.1169651,-0.24324533,0.0
2007-11-12 00:00:00+00,LONG,2213,0.19302053323627208,15.0,0.13631967,-0.5481281,0.0
2007-11-12 00:00:00+00,LONG,3841,0.0,17.0,0.1341537,-0.5706452,0.0
2007-11-13 00:00:00+00,LONG,2213,0.0,16.0,0.13383839,-0.41451728,0.0
2007-11-13 00:00:00+00,LONG,3782,0.0,15.0,0.12315639,-0.23706338,0.0
2007-11-13 00:00:00+00,LONG,3841,0.0,18.0,0.1341537,-0.275109,0.0
2007-11-14 00:00:00+00,LONG,3841,0.0,19.0,0.1341537,-0.23563439,0.0
2007-11-16 00:00:00+00,LONG,2070,0.0,13.0,0.116194814,-0.2579672,0.0
2007-11-16 00:00:00+00,LONG,3782,0.0,18.0,0.13158824,-0.30985162,0.0
2007-11-20 00:00:00+00,LONG,3841,0.0,23.0,0.11537739,-0.23507828,0.0
2007-11-21 00:00:00+00,LONG,2070,0.0,16.0,0.115071215,-0.25575832,0.0
2007-11-21 00:00:00+00,LONG,1383,0.0,15.0,0.117141515,-0.37408954,0.0
2007-11-23 00:00:00+00,LONG,1383,0.0,16.0,0.117141515,-0.35102734,0.0
2007-11-26 00:00:00+00,LONG,2070,0.0,18.0,0.13077143,-0.2910026,0.0
2007-11-27 00:00:00+00,LONG,2936,0.0,30.0,0.10980806,-0.2394499,0.0
2007-11-27 00:00:00+00,LONG,988,0.0,24.0,0.11490201,-0.38649637,0.0
2007-11-27 00:00:00+00,LONG,1012,0.490279752166536,13.0,0.09966882,-0.23514438,0.0
2007-11-28 00:00:00+00,LONG,2085,0.0,13.0,0.13671736,-0.27343896,0.0
2007-11-28 00:00:00+00,LONG,517,0.0,17.0,0.112538,-0.57055783,0.0
2007-11-28 00:00:00+00,LONG,988,0.0,25.0,0.11490201,-0.25679094,0.0
2007-11-28 00:00:00+00,LONG,3646,0.0,13.0,0.10757493,-0.3079842,0.0
2007-11-30 00:00:00+00,LONG,153,0.0,18.0,0.124650754,-0.23216711,0.0
2007-12-03 00:00:00+00,LONG,2085,0.0,16.0,0.12156472,-0.2671727,0.0
2007-12-03 00:00:00+00,LONG,988,0.0,28.0,0.11560102,-0.33858553,0.0
2007-12-04 00:00:00+00,LONG,988,0.0,29.0,0.10503032,-0.32461572,0.0
2007-12-05 00:00:00+00,LONG,2088,0.8857142857142857,20.0,0.1340413,-0.36403325,0.0
2007-12-17 00:00:00+00,LONG,3436,0.0,18.0,0.099701546,-0.23879823,0.0
2007-12-28 00:00:00+00,LONG,167,0.0,30.0,0.13642564,-0.37983924,0.0
2007-12-28 00:00:00+00,LONG,1610,0.0,24.0,0.12930657,-0.31846836,0.0
2008-01-02 00:00:00+00,LONG,2261,0.0,17.0,0.10633412,-0.47876257,0.0
2008-01-22 00:00:00+00,LONG,3754,0.0,15.0,0.12672219,-0.30970427,0.0
2008-01-23 00:00:00+00,LONG,3754,0.0,16.0,0.11303405,-0.26570082,0.0
2008-01-24 00:00:00+00,LONG,1471,0.967741935483871,13.0,0.10851919,-0.27798578,0.0
2008-01-24 00:00:00+00,LONG,3754,0.0,17.0,0.11303405,-0.24228108,0.0
2008-01-24 00:00:00+00,LONG,1719,0.0,13.0,0.11797548,-0.2660366,0.0
2008-01-25 00:00:00+00,LONG,1471,0.935483870967742,14.0,0.10851919,-0.30766657,0.0
