time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,dist_upper_bb_50_2.5_df055,co_fall_count_1_5_df044
2005-07-25 00:00:00+00,SHORT,13,0.3551102640963113,-0.013656852,-0.012027475,1.0
2005-07-27 00:00:00+00,SHORT,786,0.2821124318588489,0.0027340106,0.0020092996,1.0
2005-07-28 00:00:00+00,SHORT,2196,0.5222324393520701,-0.019302925,-0.029145971,1.0
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,-0.018157523,-0.021677032,1.0
2005-07-29 00:00:00+00,SHORT,69,1.0,-5.3532276E-4,0.004458893,1.0
2005-07-29 00:00:00+00,SHORT,2196,0.4536090243244936,-0.020261876,-0.028355958,1.0
2005-07-29 00:00:00+00,SHORT,1817,0.0,-0.014664892,0.028328737,1.0
2005-08-01 00:00:00+00,SHORT,2070,0.22816683651317007,-0.019284481,-0.02720507,1.0
2005-08-01 00:00:00+00,SHORT,2196,0.3971986245609081,-0.01892987,-0.027215058,1.0
2005-08-02 00:00:00+00,SHORT,2196,0.3513816735502997,-0.018291952,-0.027267061,1.0
2005-08-02 00:00:00+00,SHORT,2351,0.1724781702635038,-0.017270807,-0.06463738,1.0
2005-08-02 00:00:00+00,SHORT,3233,0.21523850032624856,-0.0079373075,-0.043652177,1.0
2005-08-02 00:00:00+00,SHORT,3703,0.23811280936047702,-0.01738191,0.03651271,1.0
2005-08-03 00:00:00+00,SHORT,2196,0.26688739658286587,-0.008452253,-0.022074286,1.0
2005-08-03 00:00:00+00,SHORT,2938,0.11970161748513201,-0.010444623,-0.021336947,1.0
2005-08-03 00:00:00+00,SHORT,3052,0.2706318670855964,-0.0058868197,-0.0025421625,1.0
2005-08-03 00:00:00+00,SHORT,3067,0.0,1.1003015E-4,1.6924189E-4,1.0
2005-08-03 00:00:00+00,SHORT,3078,0.0,-0.012562117,-0.10327897,1.0
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,-0.006479795,-0.019257367,1.0
2005-08-03 00:00:00+00,SHORT,1299,0.5171893122132893,-0.016180541,-0.02839568,1.0
2005-08-03 00:00:00+00,SHORT,1308,0.7225837500529589,-0.016521486,-0.034436718,1.0
2005-08-03 00:00:00+00,SHORT,1333,0.3458584605134093,-0.006987439,-0.017282242,1.0
2005-08-03 00:00:00+00,SHORT,3872,0.4465540217621683,-0.013029312,-0.0050217384,1.0
2005-08-03 00:00:00+00,SHORT,4088,0.3057788532149694,-0.013655599,-0.03219653,1.0
2005-08-04 00:00:00+00,SHORT,2196,0.1311876700927067,-0.01077384,-0.024903031,1.0
2005-08-04 00:00:00+00,SHORT,2938,0.01909844305322394,-0.02120298,-0.031517632,1.0
2005-08-04 00:00:00+00,SHORT,3067,0.0,-0.014281686,-0.010759785,1.0
2005-08-04 00:00:00+00,SHORT,3124,0.4332000055904915,-0.021410625,-0.008556026,1.0
2005-08-04 00:00:00+00,SHORT,1210,0.07447972518102423,-0.009938372,-0.026333379,1.0
2005-08-04 00:00:00+00,SHORT,1333,0.2700230363161109,-0.014361858,-0.023314541,1.0
2005-08-05 00:00:00+00,SHORT,2196,0.08162234348881231,-0.015430689,-0.02871041,1.0
2005-08-10 00:00:00+00,SHORT,457,0.39643777930366614,-0.004148915,0.0021032088,1.0
2005-08-10 00:00:00+00,SHORT,796,1.0,-0.018973446,0.01921548,1.0
2005-08-10 00:00:00+00,SHORT,1141,0.9375,-0.018386448,-0.052449945,1.0
2005-08-11 00:00:00+00,SHORT,85,0.5530877325965516,-8.551343E-4,-0.012598765,1.0
2005-08-11 00:00:00+00,SHORT,1012,0.0,-0.019108698,0.0021296034,1.0
2005-08-11 00:00:00+00,SHORT,1141,0.875,-0.01628984,-0.052708715,1.0
2005-08-12 00:00:00+00,SHORT,2125,0.0,-0.012611194,-4.291122E-4,1.0
2005-08-12 00:00:00+00,SHORT,243,0.0,-0.021682344,-0.036866147,1.0
2005-08-12 00:00:00+00,SHORT,457,0.2977533614342343,-0.021662213,-0.009385912,1.0
2005-08-12 00:00:00+00,SHORT,2751,0.22343106911071797,-0.013244278,-0.015306073,1.0
2005-08-12 00:00:00+00,SHORT,3573,0.014826310871932783,-0.021454683,-0.008204783,1.0
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.0031044674,0.031366955,1.0
2005-08-15 00:00:00+00,SHORT,934,0.5777521545883535,-0.021278022,-0.033430286,1.0
2005-08-15 00:00:00+00,SHORT,3127,0.48469021242918925,-0.019070541,-0.039123584,1.0
2005-08-15 00:00:00+00,SHORT,1404,0.0,-0.019464452,-0.021463335,1.0
2005-08-16 00:00:00+00,SHORT,3686,0.5541877500920666,-0.015056881,-0.0062929555,1.0
2005-08-17 00:00:00+00,SHORT,2305,0.0,-0.018954946,-0.085974224,1.0
2005-08-17 00:00:00+00,SHORT,540,0.08003750332161637,-0.01800961,-0.04658935,1.0
2005-08-17 00:00:00+00,SHORT,2004,0.3423406901165068,-0.017251324,-0.08718509,1.0
2005-08-18 00:00:00+00,SHORT,540,0.07181418130583457,-0.01577987,-0.042906154,1.0
2005-08-19 00:00:00+00,SHORT,540,0.0,-0.013591268,-0.040953863,1.0
2005-08-19 00:00:00+00,SHORT,1141,0.5,-0.017898174,-0.06761854,1.0
2005-08-23 00:00:00+00,SHORT,3109,0.805344553296219,-0.013373712,-0.010818074,1.0
2005-08-24 00:00:00+00,SHORT,3255,0.0,0.004007907,0.024275823,1.0
