time,side,ticker_id,mv_up_composite_labels,skew_weighted_20_df037,accel_volume_5_df025,ma_cloud_diff_21_50_df007
2006-04-25 00:00:00+00,LONG,557,0.625,-0.31863517,0.36889374,-0.00893815
2006-05-25 00:00:00+00,LONG,562,0.6504533276863816,-0.37739992,0.4050108,-0.008250087
2006-05-30 00:00:00+00,LONG,4059,0.7878787878787878,-0.32510594,0.2897924,-0.033919822
2006-05-31 00:00:00+00,LONG,3652,0.323021600214749,-0.49233624,0.5137321,-0.031316146
2006-06-05 00:00:00+00,LONG,1585,0.5927601182399628,-0.32009393,0.5305843,-0.010605857
2006-06-13 00:00:00+00,LONG,2619,0.0,-0.36183962,0.6815863,-0.048167553
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,-0.5261702,0.37389198,-0.034422874
2006-06-13 00:00:00+00,LONG,3124,1.0,-0.56291384,0.40745577,-0.043613125
2006-06-13 00:00:00+00,LONG,1171,1.0,-0.3911891,0.6450345,-0.047684856
2006-06-13 00:00:00+00,LONG,3330,1.0,-0.47759664,0.42034662,-0.0258298
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,-0.4089362,0.56862295,-0.021406993
2006-06-14 00:00:00+00,LONG,2090,0.7935567381950375,-0.45767212,0.40172198,-0.015249991
2006-06-14 00:00:00+00,LONG,440,0.8074724160952986,-0.476225,0.45678127,-0.031524107
2006-06-14 00:00:00+00,LONG,708,1.0,-0.34650975,0.5659559,-0.018051555
2006-06-14 00:00:00+00,LONG,1139,0.5067722050698571,-0.5099884,0.55155593,-0.019288555
2006-06-14 00:00:00+00,LONG,1967,0.6457976428980368,-0.35269138,0.6960332,-0.02557644
2006-06-16 00:00:00+00,LONG,1673,0.9230769230769231,-0.3346333,0.45386314,-0.032352988
2006-06-19 00:00:00+00,LONG,1139,0.14450005533213045,-0.31936008,0.24431206,-0.024994971
2006-06-19 00:00:00+00,LONG,1184,0.2888576936372407,-0.31780118,0.50508696,-0.019213242
2006-06-23 00:00:00+00,LONG,3309,1.0,-0.34734666,0.56704324,-0.018413696
2006-06-26 00:00:00+00,LONG,2681,0.3930031624691072,-0.4342196,0.50947064,-0.037790887
2006-07-05 00:00:00+00,LONG,664,0.1419493523280511,-0.35601366,0.41934267,-0.020038197
2006-07-13 00:00:00+00,LONG,664,0.20832993046210443,-0.3586444,0.6518305,-0.028172234
2006-07-14 00:00:00+00,LONG,4237,0.2967869056246477,-0.3718645,0.70171297,-0.024804162
2006-07-19 00:00:00+00,LONG,406,0.896551724137931,-0.40318757,0.51087564,-0.014862417
2006-07-21 00:00:00+00,LONG,2095,0.8888888888888888,-0.32981086,0.42978606,-0.008913549
2006-07-21 00:00:00+00,LONG,406,0.8275862068965517,-0.5256567,0.6205227,-0.02022601
2006-07-21 00:00:00+00,LONG,3501,1.0,-0.3271744,0.2937513,-0.017461302
2006-07-24 00:00:00+00,LONG,1022,0.0,-0.4736369,0.36556628,-0.014812515
2006-07-26 00:00:00+00,LONG,64,1.0,-0.4512562,0.25369397,-0.012882166
2006-07-27 00:00:00+00,LONG,3378,1.0,-0.34392586,0.35850102,-0.011397167
2006-08-01 00:00:00+00,LONG,862,0.8620689655172413,-0.43323037,0.40955564,-0.012519002
2006-08-01 00:00:00+00,LONG,1063,0.5951208558426428,-0.40263593,0.34910667,-0.029913666
2006-08-01 00:00:00+00,LONG,3378,0.9444444444444444,-0.36109638,0.24816541,-0.019549038
2006-08-01 00:00:00+00,LONG,1869,0.7181651391229557,-0.33772048,0.28626683,-0.03064327
2006-08-14 00:00:00+00,LONG,502,0.8181818181818181,-0.44688427,0.4841997,-0.031690292
2006-08-15 00:00:00+00,LONG,2936,0.19963528344687168,-0.43212077,0.33067352,-0.011074866
2006-08-17 00:00:00+00,LONG,558,0.9423076923076923,-0.4473057,0.38931453,-0.05075952
2006-08-17 00:00:00+00,LONG,808,0.6785714285714286,-0.31842974,0.42523056,-0.009729074
2006-08-18 00:00:00+00,LONG,2936,0.12132254824214743,-0.37023088,0.54257345,-0.035817295
2006-08-29 00:00:00+00,LONG,304,0.0,-0.34483925,0.3448554,-0.00881541
2006-08-29 00:00:00+00,LONG,3473,0.23063707334311395,-0.3696709,0.39554983,-0.04186764
2006-08-31 00:00:00+00,LONG,1838,0.6396716290810175,-0.3648887,0.41221562,-0.033040304
2006-08-31 00:00:00+00,LONG,2042,0.5466461254863572,-0.33615425,0.72098184,-0.011870918
2006-09-05 00:00:00+00,LONG,4150,0.43477309766763333,-0.34408697,0.26648813,-0.020532956
2006-09-08 00:00:00+00,LONG,843,0.8108108108108107,-0.41122472,0.30746856,-0.026905332
2006-09-15 00:00:00+00,LONG,4086,0.0,-0.37659615,0.47389936,-0.036812864
2006-09-19 00:00:00+00,LONG,3531,0.0,-0.4307666,0.47424263,-0.00839368
2006-09-20 00:00:00+00,LONG,1807,0.2361133987479804,-0.35297972,0.43127427,-0.043318585
2006-09-21 00:00:00+00,LONG,4086,0.0,-0.3587757,0.40402934,-0.046840563
2006-09-22 00:00:00+00,LONG,4086,0.0,-0.4091097,0.56749314,-0.04952954
2006-09-25 00:00:00+00,LONG,243,0.4420128087741231,-0.4427784,0.6367452,-0.034083992
2006-09-25 00:00:00+00,LONG,1184,0.3245265762006839,-0.3860391,0.47928807,-0.013809328
2006-09-25 00:00:00+00,LONG,3831,0.42925895362154504,-0.34945157,0.6932884,-0.012428042
2006-10-02 00:00:00+00,LONG,610,0.9016393442622951,-0.56776524,0.6849074,-0.024980266
2006-10-03 00:00:00+00,LONG,2105,0.4732618448258852,-0.33754873,0.45516944,-0.023638366
2006-10-03 00:00:00+00,LONG,576,0.1427308018325954,-0.33712864,0.2555048,-0.03693863
2006-10-03 00:00:00+00,LONG,3420,0.23507017426127721,-0.35755715,0.66880393,-0.039019972
2006-10-04 00:00:00+00,LONG,610,0.8688524590163934,-0.543642,0.30800465,-0.03607627
2006-10-04 00:00:00+00,LONG,2703,1.0,-0.48243296,0.659568,-0.021341328
2006-10-05 00:00:00+00,LONG,610,0.5594958337184005,-0.38622046,0.40450186,-0.040401213
2006-10-06 00:00:00+00,LONG,2703,0.9636363636363636,-0.5446478,0.6094881,-0.027948461
