time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,dist_lower_bb_50_2.5_df055,joint_fall_flag_1_20_df042,dist_lower_bb_50_2.0_df055
2007-03-05 00:00:00+00,LONG,2151,1.0,23.0,3.7718896E-4,0.0,0.0075811734
2007-03-05 00:00:00+00,LONG,960,1.0,32.0,-0.0145845385,0.0,0.016801378
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,22.0,0.00539468,0.0,0.039240893
2007-03-05 00:00:00+00,LONG,1184,0.7249335821982141,34.0,-0.00517603,0.0,0.009415709
2007-03-05 00:00:00+00,LONG,3748,0.9008257648256276,31.0,-0.003525904,0.0,0.021830225
2007-03-05 00:00:00+00,LONG,1922,0.903140921105748,16.0,0.006332957,0.0,0.01754532
2007-03-06 00:00:00+00,LONG,3192,0.9795918367346939,23.0,-0.023702247,0.0,0.013332359
2007-03-09 00:00:00+00,LONG,505,1.0,29.0,-0.019954072,0.0,0.007221229
2007-03-13 00:00:00+00,LONG,2116,0.8,17.0,-0.020338755,0.0,0.0076313755
2007-03-13 00:00:00+00,LONG,2543,0.725971236689903,22.0,-0.011499702,0.0,0.011236712
2007-03-14 00:00:00+00,LONG,3742,0.7974915894837795,23.0,-0.007636463,0.0,0.013197547
2007-03-14 00:00:00+00,LONG,3815,0.45477327095100883,31.0,2.9999373E-4,0.0,0.020234004
2007-03-14 00:00:00+00,LONG,1838,0.4830205150697143,16.0,-0.016886799,0.0,0.017919227
2007-03-15 00:00:00+00,LONG,3815,0.38085659041801617,32.0,0.0049690637,0.0,0.025747912
2007-03-16 00:00:00+00,LONG,3815,0.4242023959246679,33.0,0.003081045,0.0,0.025388705
2007-03-28 00:00:00+00,LONG,2226,0.0,16.0,0.011449467,0.0,0.022752108
2007-03-29 00:00:00+00,LONG,2226,0.0,17.0,-0.003532579,0.0,0.0087145595
2007-04-02 00:00:00+00,LONG,1447,0.13358133870038705,20.0,-0.0017637152,0.0,0.008070211
2007-04-09 00:00:00+00,LONG,2142,0.010098372268940066,27.0,-0.22074726,0.0,0.04751258
2007-04-12 00:00:00+00,LONG,248,0.48,26.0,-0.104551025,0.0,0.07756985
2007-04-13 00:00:00+00,LONG,248,0.0,27.0,-0.18423712,0.0,0.030094061
2007-04-23 00:00:00+00,LONG,881,0.0,34.0,-0.0128305135,0.0,0.008719744
2007-06-01 00:00:00+00,LONG,1176,0.972972972972973,17.0,-0.03457829,0.0,0.008310919
2007-06-07 00:00:00+00,LONG,3513,0.6177213917904301,17.0,0.008622404,0.0,0.016949702
2007-06-12 00:00:00+00,LONG,3192,0.4619654538673264,16.0,-0.0040963744,0.0,0.016502023
2007-06-12 00:00:00+00,LONG,3513,0.0,20.0,-5.745933E-4,0.0,0.009139919
2007-06-15 00:00:00+00,LONG,796,0.0,26.0,-0.15912507,0.0,0.08289184
2007-06-18 00:00:00+00,LONG,796,0.0,27.0,-0.27463496,0.0,0.01990939
2007-06-19 00:00:00+00,LONG,142,0.0,25.0,0.020835957,0.0,0.038512386
2007-06-20 00:00:00+00,LONG,142,0.0,26.0,0.014529269,0.0,0.034088023
2007-06-21 00:00:00+00,LONG,142,0.0,27.0,-0.00597446,0.0,0.01530903
2007-06-22 00:00:00+00,LONG,91,0.8530734263917051,20.0,-0.020207457,0.0,0.0055361553
2007-06-22 00:00:00+00,LONG,1039,1.0,19.0,-0.009365015,0.0,0.0113609135
2007-06-25 00:00:00+00,LONG,3355,0.24127344180165802,32.0,-0.024789296,0.0,0.008212389
2007-06-28 00:00:00+00,LONG,356,0.0,38.0,-0.027295196,0.0,0.005653296
2007-08-01 00:00:00+00,LONG,121,0.0,23.0,0.0046913056,0.0,0.021146337
2007-08-01 00:00:00+00,LONG,270,0.5649020867951713,36.0,-0.0075442065,0.0,0.019318474
2007-08-02 00:00:00+00,LONG,121,0.0,24.0,0.0072824974,0.0,0.02513779
2007-08-03 00:00:00+00,LONG,4097,0.0,29.0,0.014830714,0.0,0.026270133
2007-08-03 00:00:00+00,LONG,121,0.0,25.0,0.027481105,0.0,0.047255177
2007-08-03 00:00:00+00,LONG,270,0.5252560708750169,38.0,-0.013021386,0.0,0.016907685
2007-08-03 00:00:00+00,LONG,836,0.0,35.0,0.010305817,0.0,0.043229636
2007-08-06 00:00:00+00,LONG,131,1.0,36.0,-0.006376946,0.0,0.027570056
2007-08-06 00:00:00+00,LONG,1927,1.0,17.0,-0.012272088,0.0,0.014669542
2007-08-08 00:00:00+00,LONG,3885,0.4042320875548007,18.0,-0.020024054,0.0,0.023175908
2007-08-09 00:00:00+00,LONG,3905,0.21537974421121384,31.0,0.0074765207,0.0,0.025723398
2007-08-10 00:00:00+00,LONG,1668,0.0,35.0,-0.041696213,0.0,0.0058527873
2007-08-16 00:00:00+00,LONG,13,0.0,17.0,-0.0062220166,0.0,0.013549532
