time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,skew_weighted_10_df037,ma_cloud_diff_8_50_df007,volume_spike_10_df057,ev_ebitda_sector_relative_df085
2007-08-27 00:00:00+00,LONG,3831,0.0,1.0,0.043756794,-0.08086735,-0.053262476,0.0366
2007-08-27 00:00:00+00,LONG,3868,0.0,1.0,-0.113092504,-0.08176089,0.5799337,0.0
2007-08-28 00:00:00+00,LONG,4112,0.0,1.0,-0.058553796,-0.08139384,0.42358074,-0.0016
2007-08-28 00:00:00+00,LONG,93,0.6510430093989364,1.0,-0.15912758,-0.099610284,-0.015687747,0.1454
2007-08-28 00:00:00+00,LONG,2567,0.0,1.0,-0.17710462,-0.10052707,-0.024922311,0.3983
2007-08-28 00:00:00+00,LONG,1306,0.22834350478885795,1.0,-0.38461292,-0.1068631,0.28473097,0.0193
2007-08-28 00:00:00+00,LONG,1610,0.7037037037037037,1.0,-0.018786695,-0.09139993,-0.032430314,1.0747
2007-08-28 00:00:00+00,LONG,1803,0.15754744300003584,1.0,-0.54429203,-0.089059494,0.6570782,0.6403
2007-08-29 00:00:00+00,LONG,1803,0.0,1.0,-0.14617756,-0.08504437,-0.083609186,0.6148
2007-08-30 00:00:00+00,LONG,1051,0.27083866093287834,1.0,-0.18709604,-0.097509876,-0.076735295,0.0
2007-09-04 00:00:00+00,LONG,401,0.0,1.0,-0.23797958,-0.0907633,0.107950404,0.0138
2007-09-05 00:00:00+00,LONG,401,0.0,1.0,-0.30464235,-0.09155739,0.11231394,0.0137
2007-09-05 00:00:00+00,LONG,1051,0.16566713710169698,1.0,0.036648165,-0.08675315,0.0409432,0.0
2007-09-06 00:00:00+00,LONG,401,0.0,1.0,-0.2875738,-0.09053143,0.024605509,0.0138
2007-09-07 00:00:00+00,LONG,93,0.0,1.0,-0.11257795,-0.09195954,0.44151282,0.1467
2007-09-07 00:00:00+00,LONG,3607,0.8888888888888888,1.0,-0.2215591,-0.07971575,0.25618514,0.0
2007-09-07 00:00:00+00,LONG,1710,0.8,1.0,0.060431205,-0.09158941,0.43540475,0.0
2007-09-10 00:00:00+00,LONG,93,0.11106976511802566,1.0,-0.26085737,-0.086787626,0.33144796,0.1461
2007-09-10 00:00:00+00,LONG,3539,0.0,1.0,-0.16027945,-0.12739968,0.3551443,0.0
2007-09-11 00:00:00+00,LONG,93,0.06854918989581214,1.0,-0.10348581,-0.08363908,0.062139224,0.1459
2007-09-12 00:00:00+00,LONG,988,0.9310344827586207,1.0,0.018234938,-0.0984007,0.21463145,1.0641
2007-09-13 00:00:00+00,LONG,3539,0.0,1.0,0.027935153,-0.11258193,0.014160691,0.0
2007-09-14 00:00:00+00,LONG,3539,0.0,1.0,-0.22030722,-0.110282496,-0.08453771,0.0
2007-09-19 00:00:00+00,LONG,1904,0.9743589743589743,1.0,-0.30683002,-0.1042766,0.0041616694,0.0
2007-09-20 00:00:00+00,LONG,4005,0.0,1.0,-0.1684154,-0.093222864,0.39248174,0.5975
2007-09-21 00:00:00+00,LONG,1904,0.9230769230769231,1.0,0.12866575,-0.089938,0.0076998784,0.0
2007-09-24 00:00:00+00,LONG,3049,0.0,1.0,-0.50743115,-0.081767306,0.20684014,0.0242
2007-09-26 00:00:00+00,LONG,3049,0.0,1.0,-0.24394585,-0.08212934,0.39268178,0.0247
