time,side,ticker_id,mv_dn_composite_labels,accel_eps_qoq_df017,dist_upper_bb_20_2.0_df055,joint_fall_flag_1_20_df042
2008-02-28 00:00:00+00,SHORT,1922,0.28720815408519484,-0.22,0.002703528,1.0
2008-03-03 00:00:00+00,SHORT,517,0.16565504769972775,0.49,0.0035992647,1.0
2008-03-03 00:00:00+00,SHORT,1328,0.5150601443009407,0.03,-0.0047840574,1.0
2008-03-05 00:00:00+00,SHORT,1631,0.0,0.0,2.0765235E-4,1.0
2008-03-06 00:00:00+00,SHORT,3486,1.0,-0.0674,0.008103834,1.0
2008-03-19 00:00:00+00,SHORT,3586,0.09342985945048884,0.13,0.0013731892,1.0
2008-03-25 00:00:00+00,SHORT,787,0.9411764705882353,-0.0048,-6.042193E-4,1.0
2008-03-25 00:00:00+00,SHORT,2032,0.0,0.32,-5.704295E-4,1.0
2008-04-02 00:00:00+00,SHORT,2437,0.0,0.24,-0.0046683867,1.0
2008-04-02 00:00:00+00,SHORT,3614,0.0,-0.2107,-0.0026846235,1.0
2008-04-08 00:00:00+00,SHORT,4118,0.0,-0.28,0.017938776,1.0
2008-04-09 00:00:00+00,SHORT,2747,0.5835403043821636,0.0704,-0.004578562,1.0
2008-04-17 00:00:00+00,SHORT,88,0.9166666666666666,0.04,0.006952088,1.0
2008-04-21 00:00:00+00,SHORT,2482,0.665669558216045,-0.16,-0.0039509665,1.0
2008-04-22 00:00:00+00,SHORT,2898,0.42580437012824224,-0.07,-0.0028640064,1.0
2008-04-24 00:00:00+00,SHORT,4215,0.16399896671934536,0.0365,0.004107921,1.0
2008-05-02 00:00:00+00,SHORT,2119,1.0,-0.03,-0.0018491748,1.0
2008-05-02 00:00:00+00,SHORT,2870,0.789775191973337,-0.07,-3.6099038E-4,1.0
2008-05-12 00:00:00+00,SHORT,3890,1.0,0.3911,-0.0036187647,1.0
2008-05-16 00:00:00+00,SHORT,713,0.8319687839712424,-0.49,-0.003008638,1.0
2008-05-19 00:00:00+00,SHORT,2055,1.0,-0.09,-0.0044401432,1.0
2008-05-21 00:00:00+00,SHORT,2125,0.0,0.05,-0.0032722338,1.0
2008-05-21 00:00:00+00,SHORT,1949,0.9122107969982548,-0.17,0.0012993247,1.0
2008-05-22 00:00:00+00,SHORT,3420,0.6782689604116854,0.57,-0.0043098563,1.0
2008-05-30 00:00:00+00,SHORT,2350,0.0,0.04,0.0073045366,1.0
2008-06-03 00:00:00+00,SHORT,2898,0.5927820993535851,0.01,-0.0027862394,1.0
2008-06-18 00:00:00+00,SHORT,1916,0.1257272032145466,0.03,-0.004368163,1.0
2008-07-23 00:00:00+00,SHORT,1700,1.0,-0.09,-0.0029123956,1.0
2008-07-23 00:00:00+00,SHORT,1767,0.40678737608855964,0.01,0.015640935,1.0
2008-07-31 00:00:00+00,SHORT,710,0.46465723785472385,0.07,-0.0029876307,1.0
2008-07-31 00:00:00+00,SHORT,1328,1.0,0.16,0.0031198938,1.0
2008-08-06 00:00:00+00,SHORT,2972,0.37139574863422514,0.11,0.0015785185,1.0
2008-08-11 00:00:00+00,SHORT,234,0.9230769230769231,-0.09,0.0029661632,1.0
2008-08-12 00:00:00+00,SHORT,1719,1.0,0.02,0.003345634,1.0
2008-08-12 00:00:00+00,SHORT,2042,1.0,0.32,-0.001632119,1.0
2008-08-18 00:00:00+00,SHORT,4164,1.0,-0.03,-0.004236565,1.0
2008-08-28 00:00:00+00,SHORT,2816,1.0,0.13,4.9961018E-5,1.0
2008-09-09 00:00:00+00,SHORT,221,1.0,0.18,-0.002532221,1.0
2008-09-22 00:00:00+00,SHORT,3694,1.0,-0.0312,3.152679E-4,1.0
2008-11-28 00:00:00+00,SHORT,3271,1.0,-0.02,-0.00464821,1.0
2008-12-19 00:00:00+00,SHORT,1360,0.0,-0.0179,0.0017570769,1.0
2009-01-05 00:00:00+00,SHORT,84,0.0,0.47,-0.0044554356,1.0
2009-01-05 00:00:00+00,SHORT,2971,1.0,0.01,-0.0010949796,1.0
2009-01-06 00:00:00+00,SHORT,76,1.0,-0.06,0.0010906263,1.0
2009-01-06 00:00:00+00,SHORT,2330,1.0,-0.09,0.036461294,1.0
2009-01-06 00:00:00+00,SHORT,1235,1.0,0.27,-0.0016008114,1.0
2009-01-06 00:00:00+00,SHORT,1300,0.6461447455716826,0.14,-0.0017206984,1.0
2009-01-06 00:00:00+00,SHORT,1308,0.7429849628691324,0.3,-5.497862E-4,1.0
2009-01-07 00:00:00+00,SHORT,243,0.875,0.13,-0.0041549364,1.0
2009-01-07 00:00:00+00,SHORT,694,0.0,0.1,0.0083889775,1.0
2009-01-07 00:00:00+00,SHORT,835,0.9333333333333333,-0.11,-0.0038087738,1.0
2009-01-07 00:00:00+00,SHORT,3343,0.0,-0.16,-0.0022832185,1.0
2009-01-07 00:00:00+00,SHORT,3699,0.0,-0.06,0.009825432,1.0
2009-01-07 00:00:00+00,SHORT,1740,1.0,0.19,0.003505896,1.0
2009-01-07 00:00:00+00,SHORT,3882,0.9333333333333333,0.04,-0.0045775813,1.0
2009-01-09 00:00:00+00,SHORT,1423,1.0,0.03,-0.0012731738,1.0
2009-01-09 00:00:00+00,SHORT,1715,1.0,-0.2276,-0.0025706168,1.0
2009-02-04 00:00:00+00,SHORT,2462,1.0,0.12,-0.0028332206,1.0
2009-03-13 00:00:00+00,SHORT,1324,0.9333333333333333,0.1,0.003059822,1.0
2009-03-31 00:00:00+00,SHORT,1114,0.5825674271153019,0.2704,-0.0045572366,1.0
2009-04-06 00:00:00+00,SHORT,3621,1.0,-0.45,-0.0035129797,1.0
2009-04-20 00:00:00+00,SHORT,3443,1.0,0.0,0.048603073,1.0
2009-05-01 00:00:00+00,SHORT,245,0.0,0.27,-0.0036685301,1.0
2009-05-05 00:00:00+00,SHORT,3561,0.0,-0.2,-0.004731128,1.0
2009-05-11 00:00:00+00,SHORT,3255,0.47195318653895324,-0.01,-0.004332792,1.0
2009-06-02 00:00:00+00,SHORT,2055,0.0,-0.13,3.926657E-4,1.0
2009-06-02 00:00:00+00,SHORT,4123,0.461801913207809,-0.24,0.0043997,1.0
2009-06-02 00:00:00+00,SHORT,142,1.0,0.05,-0.00367148,1.0
2009-06-02 00:00:00+00,SHORT,2686,0.36944566770327464,-0.31,-0.0026271853,1.0
2009-06-02 00:00:00+00,SHORT,712,1.0,-0.2,0.0075676884,1.0
2009-06-02 00:00:00+00,SHORT,3645,0.4100003476466659,0.04,1.979153E-4,1.0
2009-06-03 00:00:00+00,SHORT,1087,0.138875702696571,0.04,-0.0017632034,1.0
2009-06-03 00:00:00+00,SHORT,3915,0.34651103126992083,-0.17,8.710599E-4,1.0
2009-06-08 00:00:00+00,SHORT,2269,0.8888888888888888,-0.01,-0.0043747113,1.0
2009-06-12 00:00:00+00,SHORT,730,0.9166666666666666,0.22,0.0034351621,1.0
2009-06-12 00:00:00+00,SHORT,3471,0.0,-0.17,-0.0046468196,1.0
2009-07-16 00:00:00+00,SHORT,836,0.0,-0.34,0.005127181,1.0
2009-08-25 00:00:00+00,SHORT,960,0.06232548390995235,-0.03,7.824999E-4,1.0
2009-08-26 00:00:00+00,SHORT,558,1.0,0.1,0.002585027,1.0
2009-08-31 00:00:00+00,SHORT,3610,0.0,0.28,0.010057568,1.0
2009-09-17 00:00:00+00,SHORT,2866,1.0,-0.06,-0.0022595397,1.0
2009-09-17 00:00:00+00,SHORT,836,0.0,0.04,-0.0017965146,1.0
2009-09-17 00:00:00+00,SHORT,3142,1.0,0.06,0.0070597385,1.0
2009-10-15 00:00:00+00,SHORT,3613,0.5570806464854736,-0.21,-0.004514325,1.0
2009-10-20 00:00:00+00,SHORT,323,0.9166666666666666,0.115,-0.0032786848,1.0
2009-10-23 00:00:00+00,SHORT,11,0.6104252561056633,0.0325,-0.0041882424,1.0
2009-10-26 00:00:00+00,SHORT,1916,0.3366754008899253,0.04,-5.838109E-4,1.0
2009-10-27 00:00:00+00,SHORT,266,0.0,0.01,0.0027673182,1.0
2009-11-10 00:00:00+00,SHORT,2350,0.0,0.09,-0.0039202645,1.0
2009-12-03 00:00:00+00,SHORT,2125,0.6032616098480919,-0.03,7.5782323E-4,1.0
2009-12-03 00:00:00+00,SHORT,2661,0.0,-0.1,-0.0048455964,1.0
2009-12-14 00:00:00+00,SHORT,2151,1.0,0.07,-0.0020045969,1.0
2009-12-14 00:00:00+00,SHORT,1306,0.33056688751126095,0.45,0.010095266,1.0
2009-12-15 00:00:00+00,SHORT,1306,0.28682734428376966,0.45,-0.0024503719,1.0
2009-12-16 00:00:00+00,SHORT,2703,0.5377017672951729,0.6,-0.004012248,1.0
2009-12-21 00:00:00+00,SHORT,535,0.0,0.13,7.083291E-4,1.0
2009-12-22 00:00:00+00,SHORT,3192,0.0,-0.0201,-0.0016534292,1.0
2010-01-07 00:00:00+00,SHORT,3861,1.0,0.07,-0.00485361,1.0
2010-01-13 00:00:00+00,SHORT,3782,0.48443171424302806,0.35,-0.003701081,1.0
2010-01-14 00:00:00+00,SHORT,4079,0.0,0.0,-6.428308E-4,1.0
2010-01-15 00:00:00+00,SHORT,2365,0.6572658162021431,0.01,0.0063755633,1.0
2010-01-21 00:00:00+00,SHORT,39,0.10719509762342815,-0.14,-0.0013028301,1.0
2010-01-21 00:00:00+00,SHORT,3612,1.0,-0.21,-0.0021993255,1.0
2010-01-28 00:00:00+00,SHORT,3539,0.19756821946290723,-0.45,0.010519374,1.0
2010-01-29 00:00:00+00,SHORT,3539,0.1791327130982281,-0.45,3.2045346E-4,1.0
2010-02-02 00:00:00+00,SHORT,1220,0.0,0.02,0.011486712,1.0
2010-02-03 00:00:00+00,SHORT,1220,0.0,0.02,-0.0037482136,1.0
