time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2006-07-18 00:00:00+00,LONG,234,1.0,0.13545647,-0.046827607,-0.13545647,0.010238034,-0.53
2006-07-21 00:00:00+00,LONG,76,0.9166666666666666,0.15940815,-0.08402446,-0.15940815,-0.0345171,-51.68
2006-08-02 00:00:00+00,LONG,1700,0.0,0.17211159,-0.016422337,-0.17211159,0.031831846,-23.04
2006-08-14 00:00:00+00,LONG,558,1.0,0.16897394,-0.09027311,-0.16897394,0.03672374,-59.87
2006-08-14 00:00:00+00,LONG,2816,0.0,0.13257404,-0.01751437,-0.13257404,-0.020230884,25.86
2006-08-14 00:00:00+00,LONG,1790,0.828175506807403,0.14935988,-0.130665,-0.14935988,0.024784485,92.41
2006-08-15 00:00:00+00,LONG,558,0.9807692307692307,0.1569343,-0.13457756,-0.1569343,0.010219115,-58.18
2006-08-21 00:00:00+00,LONG,4062,0.24014627353863194,0.17257462,-0.082470536,-0.17257462,-0.012213569,-5.67
2006-08-22 00:00:00+00,LONG,4062,0.1876107777775692,0.16456087,-0.10051798,-0.16456087,0.03578291,-3.95
2006-08-23 00:00:00+00,LONG,558,0.8653846153846154,0.16454229,-0.15461265,-0.16454229,-0.02307246,-56.46
2006-08-24 00:00:00+00,LONG,558,0.8461538461538461,0.16737206,-0.15167588,-0.16737206,0.010077706,-56.95
2006-09-26 00:00:00+00,LONG,610,0.9672131147540983,0.14598961,-0.023973348,-0.14598961,-0.016767452,-51.29
2006-09-27 00:00:00+00,LONG,610,0.9508196721311475,0.1541976,-0.042839758,-0.1541976,0.010709121,-51.51
2006-09-28 00:00:00+00,LONG,610,0.9344262295081968,0.15455066,-0.05712644,-0.15455066,-0.0033765535,-51.11
2006-09-29 00:00:00+00,LONG,610,0.9180327868852459,0.1426087,-0.0702721,-0.1426087,0.004054974,-50.5
2006-10-02 00:00:00+00,LONG,610,0.9016393442622951,0.15883027,-0.07250311,-0.15883027,-0.0094676865,-50.45
2006-10-02 00:00:00+00,LONG,874,0.0,0.14285792,-0.15396225,-0.14285792,-0.01861095,-48.92
2006-10-03 00:00:00+00,LONG,610,0.8852459016393442,0.14968336,-0.08691322,-0.14968336,0.014930223,-49.98
2006-10-04 00:00:00+00,LONG,610,0.8688524590163934,0.14973883,-0.0829064,-0.14973883,-0.014941209,-50.7
2006-10-05 00:00:00+00,LONG,610,0.5594958337184005,0.13607411,-0.107016355,-0.13607411,0.02655461,-49.91
2006-10-05 00:00:00+00,LONG,2690,0.8404911354333396,0.17624608,-0.049322918,-0.17624608,0.007542883,19.98
2006-10-05 00:00:00+00,LONG,2816,0.864406779661017,0.15627575,-0.13621908,-0.15627575,0.033520114,2.38
2006-10-05 00:00:00+00,LONG,1740,0.36322260241650695,0.13423029,-0.062398504,-0.13423029,0.015445902,-46.21
2006-10-06 00:00:00+00,LONG,356,0.524964057667027,0.1699329,-0.05103721,-0.1699329,-0.023453806,-20.08
2006-10-06 00:00:00+00,LONG,2619,0.4522362305341501,0.15555103,-0.03987057,-0.15555103,-0.031663682,1.03
2006-10-06 00:00:00+00,LONG,2690,0.7585831059050919,0.15791178,-0.061607927,-0.15791178,-0.010669109,22.3
2006-10-09 00:00:00+00,LONG,2125,0.3142955973025475,0.16957788,-0.03804883,-0.16957788,0.0019252979,-33.95
