time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-11-17 00:00:00+00,LONG,3694,0.40253197339979074,0.12584859,0.005645308,0.0
2005-11-18 00:00:00+00,LONG,76,0.0,0.11146789,0.042411827,0.0
2005-11-21 00:00:00+00,LONG,3694,0.36032504926608006,0.11185366,-0.0074615995,0.0
2005-11-30 00:00:00+00,LONG,28,0.609750221962903,0.12404323,0.033893004,0.0
2005-12-01 00:00:00+00,LONG,28,0.6022810208498633,0.12038433,0.027356658,0.0
2005-12-05 00:00:00+00,LONG,28,0.4643267694154682,0.10750216,0.002403415,0.0
2005-12-06 00:00:00+00,LONG,28,0.4971471041208017,0.110406265,0.0041379365,0.0
2005-12-07 00:00:00+00,LONG,28,0.4382189304785223,0.10693269,-0.0052257683,0.0
2005-12-12 00:00:00+00,LONG,3283,0.0,0.19289799,0.028952941,0.0
2005-12-14 00:00:00+00,LONG,2640,0.5347474604028569,0.15816678,0.010593592,0.0
2005-12-19 00:00:00+00,LONG,1195,1.0,0.120155774,0.02382155,0.0
2005-12-27 00:00:00+00,LONG,2067,0.0,0.16275346,0.05260478,0.0
2005-12-27 00:00:00+00,LONG,424,1.0,0.16733451,0.0530898,0.0
2005-12-28 00:00:00+00,LONG,2067,0.0,0.175,0.047963955,0.0
2005-12-28 00:00:00+00,LONG,424,0.9615384615384616,0.14191328,0.021073109,0.0
2005-12-29 00:00:00+00,LONG,2067,0.0,0.15978552,0.024396079,0.0
2005-12-29 00:00:00+00,LONG,424,0.9230769230769231,0.1274998,0.0065789684,0.0
2005-12-30 00:00:00+00,LONG,2067,0.0,0.16594361,0.02759156,0.0
2005-12-30 00:00:00+00,LONG,424,0.8846153846153846,0.1416215,0.026802845,0.0
2006-01-10 00:00:00+00,LONG,234,1.0,0.13112392,0.03792047,0.0
2006-01-11 00:00:00+00,LONG,234,0.9545454545454546,0.13234614,0.004886323,0.0
2006-01-18 00:00:00+00,LONG,157,0.6104018359654962,0.1465708,0.032003075,0.0
2006-01-19 00:00:00+00,LONG,157,0.5181099795165645,0.15972789,0.02476856,0.0
