time,side,ticker_id,mv_up_composite_labels,price_drift_21_df005,dist_lower_bb_20_2.5_df055
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,-0.14884189,-0.0048733214
2007-03-05 00:00:00+00,LONG,3182,0.2267721336192574,-0.14144084,-0.007900452
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,-0.14294152,-0.040032938
2007-03-05 00:00:00+00,LONG,3255,0.0,-0.14073792,-0.03133914
2007-03-07 00:00:00+00,LONG,2116,0.9333333333333333,-0.13652024,-0.032322578
2007-03-07 00:00:00+00,LONG,3255,0.0,-0.14230415,-0.04095103
2007-03-08 00:00:00+00,LONG,2116,0.9,-0.13192952,-0.046877477
2007-03-13 00:00:00+00,LONG,4153,1.0,-0.1364579,-0.027103655
2007-03-14 00:00:00+00,LONG,1838,0.4830205150697143,-0.15378152,-0.04932857
2007-03-16 00:00:00+00,LONG,3815,0.4242023959246679,-0.13039832,-0.04337402
2007-03-22 00:00:00+00,LONG,3148,0.0,-0.14372717,-0.024085589
2007-03-27 00:00:00+00,LONG,610,1.0,-0.14770697,-0.024749218
2007-03-29 00:00:00+00,LONG,4169,0.0,-0.13129842,-0.047559537
2007-03-29 00:00:00+00,LONG,195,0.0,-0.13118581,-0.02617368
2007-03-30 00:00:00+00,LONG,4169,0.0,-0.13093106,-0.05182817
2007-04-13 00:00:00+00,LONG,1919,0.0,-0.15755905,-0.020931186
2007-04-20 00:00:00+00,LONG,3837,0.0,-0.13855422,-0.046357896
2007-04-23 00:00:00+00,LONG,3837,0.0,-0.14946467,-0.025186565
2007-04-24 00:00:00+00,LONG,3837,0.0,-0.1449024,-0.014718717
2007-05-01 00:00:00+00,LONG,2067,0.22747362016426204,-0.13987836,-0.04988964
2007-05-01 00:00:00+00,LONG,3862,1.0,-0.13020697,-0.046716914
2007-05-15 00:00:00+00,LONG,1437,0.4094632342069695,-0.13612823,-0.006595497
2007-05-31 00:00:00+00,LONG,1176,1.0,-0.15025906,-0.016132476
