time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,revenue_growth_yoy_df063,dist_upper_bb_50_2.0_df055,price_to_sales_zscore_universe_df070
2006-12-06 00:00:00+00,SHORT,3872,0.39417808195634835,-0.04656686,2.32,-0.010347672,-0.1005
2006-12-07 00:00:00+00,SHORT,817,0.0,-0.06614359,12.84,-0.008302855,-0.1099
2006-12-07 00:00:00+00,SHORT,1514,0.8125,-0.05392231,11.36,-0.006342232,-0.0935
2006-12-07 00:00:00+00,SHORT,3915,0.0,-0.012406018,12.69,-0.0070362864,-0.1053
2006-12-08 00:00:00+00,SHORT,535,0.30902265315493677,-0.042951368,-11.5,-0.0086553665,-0.112
2006-12-11 00:00:00+00,SHORT,3918,0.3086231273223393,-0.02110806,9.18,-0.011721437,-0.1134
2006-12-13 00:00:00+00,SHORT,643,0.15752122098569818,-0.06906335,10.67,-0.005503492,-0.1112
2006-12-13 00:00:00+00,SHORT,2032,0.0,-0.044698857,7.12,-0.012666077,-0.1103
2006-12-14 00:00:00+00,SHORT,2032,0.09595991383030066,-0.038785446,7.12,-0.0067521366,-0.1104
2006-12-18 00:00:00+00,SHORT,1869,0.0,-0.04717766,-13.96,-0.0137100015,-0.115
2006-12-19 00:00:00+00,SHORT,3743,0.0,-0.056603823,12.25,-0.013802327,-0.1139
2006-12-20 00:00:00+00,SHORT,3684,0.0,-0.07003183,10.41,-0.008888639,-0.1122
2006-12-20 00:00:00+00,SHORT,1869,0.0,-0.048121646,-13.96,-0.013569385,-0.1162
2006-12-21 00:00:00+00,SHORT,3556,0.1443474464916552,-0.023079343,10.71,-0.0143888565,-0.1116
2007-01-04 00:00:00+00,SHORT,2032,0.0,-0.014575341,7.12,-0.008722712,-0.1209
2007-01-16 00:00:00+00,SHORT,3699,0.0,-0.023950202,-7.13,-0.011662732,-0.1219
2007-01-19 00:00:00+00,SHORT,4074,0.47590939215240635,-0.02371532,14.11,-0.0074375984,-0.1097
2007-01-25 00:00:00+00,SHORT,1919,0.0,-0.0975611,12.51,-0.00918894,-0.1164
2007-01-26 00:00:00+00,SHORT,1919,0.0,-0.09767528,12.51,-0.01276657,-0.1162
2007-02-06 00:00:00+00,SHORT,2548,0.0,-0.010833365,18.01,-0.008739382,-0.1117
2007-02-07 00:00:00+00,SHORT,2032,0.0,-0.037027027,7.12,-0.007972426,-0.1192
2007-02-08 00:00:00+00,SHORT,2032,0.0,-0.041466072,7.12,-0.013572763,-0.1194
2007-02-08 00:00:00+00,SHORT,4089,0.5560168839070828,-0.020698236,10.51,-0.01464587,-0.094
2007-02-09 00:00:00+00,SHORT,3187,0.24252433532605275,-0.07261339,-15.89,-0.014245544,-0.1143
2007-02-09 00:00:00+00,SHORT,1514,0.5770154780859224,-0.05285548,11.36,-0.01028198,-0.0918
2007-02-12 00:00:00+00,SHORT,3501,0.0,-0.04464243,7.69,-0.013265908,-0.1217
2007-02-14 00:00:00+00,SHORT,3501,0.0,-0.042304408,7.69,-0.01177735,-0.1212
2007-02-15 00:00:00+00,SHORT,3241,0.4432415572240011,-0.015319265,14.69,-0.013901181,-0.1196
2007-02-15 00:00:00+00,SHORT,1368,1.0,-0.0154460585,5.01,-0.009649463,-0.12
2007-02-16 00:00:00+00,SHORT,4197,0.44573869611084577,-0.042108256,4.75,-0.005513697,-0.1151
2007-02-16 00:00:00+00,SHORT,3501,0.028979937086751055,-0.03699374,7.69,-0.007377774,-0.12
2007-02-20 00:00:00+00,SHORT,4150,0.18762663144542047,-0.004251867,3.04,-0.009557297,-0.1222
2007-02-20 00:00:00+00,SHORT,4197,0.3721356060441138,-0.050288323,4.75,-0.011940436,-0.1157
2007-02-20 00:00:00+00,SHORT,1368,0.8823529411764706,-0.025976207,5.01,-0.008331245,-0.1199
2007-02-21 00:00:00+00,SHORT,4197,0.3690120478585925,-0.049373582,4.75,-0.0110071385,-0.1169
2007-02-21 00:00:00+00,SHORT,153,0.5001910226434734,-0.09408363,-3.6,-0.007806543,-0.108
2007-02-21 00:00:00+00,SHORT,3127,0.18060867354648416,-0.01819378,6.58,-0.009721229,-0.1211
2007-02-22 00:00:00+00,SHORT,194,0.18125730862126696,-0.030778384,19.78,-0.009123794,-0.1154
2007-02-22 00:00:00+00,SHORT,643,0.3487882562697742,-0.030937139,10.67,-0.010702793,-0.1194
2007-02-23 00:00:00+00,SHORT,4062,0.21973254819100305,-0.03549667,5.09,-0.014049432,-0.121
