time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,accel_price_5_df021,ma_cloud_diff_8_50_df007
2006-08-11 00:00:00+00,LONG,2983,0.5984575714793915,0.004155312,-9.47071E-4,-0.090341136
2006-08-14 00:00:00+00,LONG,558,1.0,0.05557832,0.006684523,-0.11982429
2006-08-16 00:00:00+00,LONG,2936,0.0,0.08735836,0.0238797,-0.103146344
2006-08-22 00:00:00+00,LONG,68,0.76,0.0071008746,-0.0013814507,-0.11067051
2006-08-25 00:00:00+00,LONG,3473,0.4147611274167624,0.0077151093,0.003418881,-0.06880088
2006-08-30 00:00:00+00,LONG,4150,0.3964119542106072,0.009328032,-0.003814763,-0.07158169
2006-09-13 00:00:00+00,LONG,4086,0.0,0.044603266,0.04532551,-0.07433732
2006-09-14 00:00:00+00,LONG,4086,0.0,0.032072883,0.014581041,-0.087015815
2006-09-15 00:00:00+00,LONG,523,0.22723331960983767,0.03626685,0.031727992,-0.13033251
2006-09-15 00:00:00+00,LONG,4086,0.0,0.026648277,0.01146151,-0.09890581
2006-09-22 00:00:00+00,LONG,2661,0.012954808036752346,0.073147334,0.0031927153,-0.115686
2006-09-25 00:00:00+00,LONG,158,0.3398379173032859,0.038101163,0.020026566,-0.10697529
2006-09-25 00:00:00+00,LONG,838,1.0,0.034365114,-0.022339242,-0.0806695
2006-10-02 00:00:00+00,LONG,610,0.9016393442622951,0.0050971652,-0.014688693,-0.087846465
2006-10-04 00:00:00+00,LONG,2690,0.8914659069735822,0.02595372,8.2892226E-4,-0.10122583
2006-10-10 00:00:00+00,LONG,3531,1.0,0.015867606,0.013190507,-0.09286448
2006-11-03 00:00:00+00,LONG,2327,0.24624213844722256,0.023643699,0.007658245,-0.08150351
2006-11-06 00:00:00+00,LONG,2877,1.0,0.027627736,-0.0030758402,-0.071776785
2006-11-09 00:00:00+00,LONG,2877,0.6715690885646544,0.0061556003,-0.0037925465,-0.10671518
2006-12-01 00:00:00+00,LONG,192,0.164098878592997,0.12781511,-0.016526077,-0.10676576
2006-12-22 00:00:00+00,LONG,2066,0.0,0.0746093,0.0072054174,-0.07800392
2006-12-26 00:00:00+00,LONG,2066,0.0,0.05717906,0.0053736144,-0.0884094
2006-12-27 00:00:00+00,LONG,2066,0.0,0.043622516,0.009789107,-0.09822742
2006-12-28 00:00:00+00,LONG,2066,0.0,0.032636717,0.015884545,-0.107880816
2007-01-04 00:00:00+00,LONG,1404,0.8205051362522381,0.04540069,-0.0034185005,-0.08296525
2007-01-05 00:00:00+00,LONG,862,1.0,0.015120588,-0.012795065,-0.0710767
2007-01-05 00:00:00+00,LONG,874,1.0,0.060184587,-0.0069936705,-0.09974886
2007-01-05 00:00:00+00,LONG,1404,0.7421189594844843,0.026013454,-0.017203502,-0.08792309
2007-01-08 00:00:00+00,LONG,874,0.9714285714285714,0.019515803,0.038633782,-0.10677978
2007-01-08 00:00:00+00,LONG,1404,0.6881135560549885,0.00342565,0.016546044,-0.08895719
2007-01-09 00:00:00+00,LONG,874,0.9428571428571428,0.006158697,0.016115224,-0.11266613
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,0.03412032,0.024809925,-0.07428869
2007-01-10 00:00:00+00,LONG,1790,0.5751494440967267,0.048731986,0.01605835,-0.08344023
2007-01-11 00:00:00+00,LONG,870,0.8893062358324781,0.033587035,0.038666874,-0.07725479
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,0.028586706,0.015434758,-0.07794269
2007-01-11 00:00:00+00,LONG,1740,0.8554146301141585,0.02801404,0.017709425,-0.0837682
2007-01-11 00:00:00+00,LONG,1790,0.5993816095330028,0.03780294,0.0011783008,-0.10601837
2007-01-12 00:00:00+00,LONG,2261,0.9696969696969697,0.034000173,0.024782084,-0.081807084
2007-01-16 00:00:00+00,LONG,2261,0.9393939393939394,0.006606528,0.034707204,-0.090627044
2007-01-16 00:00:00+00,LONG,2546,0.15894108072355603,0.011940704,0.02490888,-0.11558734
2007-01-16 00:00:00+00,LONG,2896,0.6844111144128577,0.008169158,-0.015724888,-0.08056841
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,0.039240893,0.015963232,-0.10757996
2007-03-05 00:00:00+00,LONG,1176,1.0,0.12546812,-0.015533679,-0.10596045
2007-03-05 00:00:00+00,LONG,1303,0.9406121587312084,0.0035558133,-0.014037872,-0.07962031
2007-03-05 00:00:00+00,LONG,3677,1.0,0.0130226035,-0.026321571,-0.07987147
2007-03-07 00:00:00+00,LONG,135,0.0,0.01816207,-0.00577268,-0.0748341
2007-03-08 00:00:00+00,LONG,2116,0.9,0.011133314,0.01079369,-0.08125935
2007-03-08 00:00:00+00,LONG,2351,0.0,0.0046866033,0.019206304,-0.07336575
2007-03-08 00:00:00+00,LONG,2437,0.8333333333333334,0.00468079,0.02423358,-0.07074581
2007-03-09 00:00:00+00,LONG,2116,0.8666666666666667,0.011812572,0.020051291,-0.0825127
2007-03-09 00:00:00+00,LONG,505,1.0,0.007221229,0.024063194,-0.09035248
2007-03-13 00:00:00+00,LONG,2116,0.8,0.0076313755,-0.03044136,-0.08927959
2007-03-14 00:00:00+00,LONG,4153,0.9615384615384616,0.0047966754,0.017477965,-0.07937292
2007-03-14 00:00:00+00,LONG,1838,0.4830205150697143,0.017919227,0.0050582476,-0.10192707
2007-03-16 00:00:00+00,LONG,2343,0.48384065164356055,0.0042635645,-0.004307793,-0.074377716
2007-03-16 00:00:00+00,LONG,3815,0.4242023959246679,0.025388705,-0.0038547034,-0.07038495
2007-05-01 00:00:00+00,LONG,2067,0.22747362016426204,0.027300939,0.022640904,-0.10447441
2007-05-01 00:00:00+00,LONG,3862,1.0,0.044892456,8.814547E-5,-0.07500351
2007-05-02 00:00:00+00,LONG,3862,0.6082191635213984,0.020729847,0.034118794,-0.09202281
2007-05-03 00:00:00+00,LONG,3862,0.6313477999531862,0.018130628,0.026061086,-0.10547709
2007-05-11 00:00:00+00,LONG,796,0.0,0.078172445,0.010515895,-0.08840323
2007-05-14 00:00:00+00,LONG,796,0.0,0.051361956,0.004668169,-0.12492844
2007-05-30 00:00:00+00,LONG,1817,0.7223983301419928,0.02420725,0.0062822183,-0.08353402
2007-05-31 00:00:00+00,LONG,1176,1.0,0.004443037,-0.022928849,-0.07932799
2007-06-01 00:00:00+00,LONG,1176,0.972972972972973,0.008310919,0.015398054,-0.08809112
2007-06-07 00:00:00+00,LONG,559,0.0,0.14036256,-0.027245337,-0.102851376
2007-06-13 00:00:00+00,LONG,2066,0.2794256931200627,0.0048797084,0.03359764,-0.07481085
2007-06-13 00:00:00+00,LONG,1807,0.0,0.019119957,0.054282606,-0.094924316
2007-06-20 00:00:00+00,LONG,858,0.0,0.016523082,0.009996194,-0.06901292
2007-06-25 00:00:00+00,LONG,142,0.0,0.0037598303,0.016083375,-0.072406515
2007-06-25 00:00:00+00,LONG,3355,0.24127344180165802,0.008212389,0.007995904,-0.07803234
2007-06-25 00:00:00+00,LONG,3521,0.0,0.02697321,0.00202428,-0.09756269
2007-06-25 00:00:00+00,LONG,4034,1.0,0.009764186,0.0055820527,-0.094724685
2007-06-26 00:00:00+00,LONG,3521,0.0,0.009750779,0.0033141512,-0.09789266
2007-06-28 00:00:00+00,LONG,356,0.0,0.005653296,-0.013229806,-0.085205115
2007-06-29 00:00:00+00,LONG,2125,0.0,0.017080732,0.026364654,-0.073019534
2007-08-01 00:00:00+00,LONG,270,0.5649020867951713,0.019318474,0.021727987,-0.09356814
2007-08-01 00:00:00+00,LONG,2352,0.3171585055692773,0.014792127,0.013837811,-0.09541749
