time,side,ticker_id,mv_up_composite_labels,delta_pe_qoq_df028,joint_fall_flag_1_20_df042,ma_cloud_diff_13_100_df007,skew_weighted_20_df037
2005-12-27 00:00:00+00,LONG,443,0.6040785077874207,11.489496,0.0,-0.008031659,-0.38264158
2005-12-28 00:00:00+00,LONG,424,0.9615384615384616,4.8738184,0.0,-0.010585134,-0.38725188
2005-12-28 00:00:00+00,LONG,3065,0.0,-17.335566,0.0,-0.045226123,-0.41389874
2005-12-29 00:00:00+00,LONG,3065,0.0,-17.335566,0.0,-0.044762924,-0.34879202
2005-12-30 00:00:00+00,LONG,443,0.41062265889127786,11.489496,0.0,-0.035853527,-0.3427213
2005-12-30 00:00:00+00,LONG,610,0.0,2.8445377,0.0,-0.0022680971,-0.3465441
2005-12-30 00:00:00+00,LONG,3947,0.3459411720354321,27.678572,0.0,0.03007323,-0.4071902
2006-01-03 00:00:00+00,LONG,68,0.0,-16.73611,0.0,0.0094975475,-0.38241836
2006-01-03 00:00:00+00,LONG,424,0.634431191816114,4.8738184,0.0,-0.051366355,-0.35607538
2006-01-03 00:00:00+00,LONG,3065,0.0,-17.335566,0.0,-0.042298608,-0.4001594
2006-01-04 00:00:00+00,LONG,424,0.5241073508004772,4.8738184,0.0,-0.06038871,-0.3454324
2006-01-05 00:00:00+00,LONG,424,0.5089150434725875,4.8738184,0.0,-0.06851576,-0.3926979
2006-01-06 00:00:00+00,LONG,424,0.46645263606494203,4.8738184,0.0,-0.075067,-0.41563496
2006-01-17 00:00:00+00,LONG,1011,0.7272727272727273,0.7809524,0.0,-0.021933023,-0.41232786
2006-01-23 00:00:00+00,LONG,836,0.34898608536698494,-0.3795,0.0,-0.017203532,-0.38107586
2006-01-23 00:00:00+00,LONG,2972,0.6450874713118904,1.5976812,0.0,-0.021749081,-0.4102206
2006-01-24 00:00:00+00,LONG,2728,0.9574468085106383,-0.6907375,0.0,5.7059056E-5,-0.40619147
2006-01-24 00:00:00+00,LONG,1087,0.975,-8.762311,0.0,0.01717697,-0.37918845
2006-01-24 00:00:00+00,LONG,3923,0.22228852645105165,2.157527,0.0,0.016967656,-0.40117723
2006-01-25 00:00:00+00,LONG,2728,0.9361702127659575,-0.6907375,0.0,-0.003008315,-0.3548248
2006-01-25 00:00:00+00,LONG,3923,0.19342198003898167,2.157527,0.0,0.013423586,-0.40588793
2006-02-03 00:00:00+00,LONG,76,0.1570544629132542,-0.8989247,0.0,-0.060026128,-0.39246237
2006-02-03 00:00:00+00,LONG,610,0.0,2.8445377,0.0,-0.07908466,-0.3975779
2006-02-03 00:00:00+00,LONG,836,0.12461351141919288,-0.3795,0.0,-0.035997823,-0.40888417
2006-02-06 00:00:00+00,LONG,73,0.27326463331491885,3.0686364,0.0,-0.008318602,-0.3547926
2006-02-06 00:00:00+00,LONG,2863,0.6251374266717306,15.674089,0.0,-0.010658135,-0.35507992
2006-02-06 00:00:00+00,LONG,836,0.1744781867431627,-0.3795,0.0,-0.037675664,-0.34556916
2006-02-07 00:00:00+00,LONG,836,0.15311607198617566,-0.3795,0.0,-0.038785577,-0.43981567
2006-02-07 00:00:00+00,LONG,3923,0.14586483887546295,2.157527,0.0,-0.0040386724,-0.35199815
2006-02-08 00:00:00+00,LONG,2084,0.375730681784156,9.803653,0.0,-0.05399301,-0.36772949
2006-02-08 00:00:00+00,LONG,2099,1.0,17.97941,0.0,-0.027644768,-0.37456796
2006-02-08 00:00:00+00,LONG,76,0.0,-0.8989247,0.0,-0.09428072,-0.42277414
2006-02-08 00:00:00+00,LONG,2262,0.21626893582088366,-6.3775687,0.0,0.04951499,-0.35485345
2006-02-08 00:00:00+00,LONG,610,0.0,2.7433217,0.0,-0.09269062,-0.418957
2006-02-08 00:00:00+00,LONG,652,0.2829442428992803,-0.2483905,0.0,-0.021912422,-0.40683907
2006-02-09 00:00:00+00,LONG,594,0.9272727272727272,9.153846,0.0,0.02055742,-0.35471934
2006-02-09 00:00:00+00,LONG,610,0.0,2.7433217,0.0,-0.09615745,-0.37395617
2006-02-09 00:00:00+00,LONG,652,0.26175733750009894,-0.2483905,0.0,-0.022326805,-0.40324542
2006-02-09 00:00:00+00,LONG,1761,0.0,-14.347222,0.0,-0.015601592,-0.41748828
