time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,earnings_drift_10_df011
2005-08-03 00:00:00+00,SHORT,1333,0.3458584605134093,-0.006987439,0.0
2005-08-04 00:00:00+00,SHORT,2196,0.1311876700927067,-0.01077384,0.0
2005-08-04 00:00:00+00,SHORT,2430,0.19918426047399074,0.001401428,0.0
2005-08-04 00:00:00+00,SHORT,2703,0.41405175117179394,0.010522893,0.0
2005-08-04 00:00:00+00,SHORT,1210,0.07447972518102423,-0.009938372,0.0
2005-08-04 00:00:00+00,SHORT,1262,0.0,-0.010388205,0.041753653
2005-08-09 00:00:00+00,SHORT,2747,0.7894314205451733,-0.011574052,0.072987065
2005-08-10 00:00:00+00,SHORT,457,0.39643777930366614,-0.004148915,0.015816037
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,-0.010481895,0.013597733
2005-08-11 00:00:00+00,SHORT,85,0.5530877325965516,-8.551343E-4,0.046025105
2005-08-11 00:00:00+00,SHORT,457,0.3865792326873837,-0.009609156,0.01916958
2005-08-11 00:00:00+00,SHORT,2751,0.3160402844500197,-0.006659845,0.021485163
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,-0.004585233,0.032786883
2005-08-11 00:00:00+00,SHORT,1184,0.38137831162380625,-0.0104170125,0.059415698
2005-08-11 00:00:00+00,SHORT,3244,0.633626173917877,-0.009120025,0.0
2005-08-11 00:00:00+00,SHORT,3420,0.46879023363521527,-0.0073394584,0.06996668
2005-08-11 00:00:00+00,SHORT,3831,0.18206726729262862,-0.008868621,0.048708882
2005-08-12 00:00:00+00,SHORT,2125,0.0,-0.012611194,0.17077465
2005-08-12 00:00:00+00,SHORT,3127,0.7265993602335221,-0.011013871,0.0
2005-08-12 00:00:00+00,SHORT,3283,0.0,-0.0090489695,0.12213818
2005-08-15 00:00:00+00,SHORT,540,0.23622578530348487,-0.011247916,0.01197108
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.0031044674,0.0
2005-08-15 00:00:00+00,SHORT,1303,0.513771775337734,-0.01026807,0.07059849
2005-08-16 00:00:00+00,SHORT,1807,0.0,-0.00916876,0.0
2005-08-23 00:00:00+00,SHORT,739,0.7420889505210222,-0.011949782,0.01621074
2005-08-24 00:00:00+00,SHORT,2142,0.33834333364202857,-2.2592897E-6,0.0
2005-08-24 00:00:00+00,SHORT,3255,0.0,0.004007907,0.0
2005-08-25 00:00:00+00,SHORT,39,0.0,-0.011259478,0.0
2005-08-25 00:00:00+00,SHORT,3148,1.0,0.003945937,0.0
2005-08-31 00:00:00+00,SHORT,3287,0.03450481287875588,-0.010930436,0.0
2005-09-01 00:00:00+00,SHORT,2818,0.0,-0.010193698,0.0
2005-09-01 00:00:00+00,SHORT,3116,0.0,-0.010668422,0.0
2005-09-01 00:00:00+00,SHORT,1210,0.0,-0.011165578,0.0
2005-09-01 00:00:00+00,SHORT,3613,1.0,-0.0052115805,0.0
2005-09-02 00:00:00+00,SHORT,535,0.0,0.013926907,0.0
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,-0.0040200213,0.0
2005-09-06 00:00:00+00,SHORT,401,0.625828394630446,-0.003378308,0.0
2005-09-06 00:00:00+00,SHORT,535,0.610778561860768,-0.0011297856,0.0
2005-09-06 00:00:00+00,SHORT,934,0.8389581966783435,-0.009620139,0.0
2005-09-06 00:00:00+00,SHORT,1022,0.5856832572785654,0.014861729,0.0
2005-09-06 00:00:00+00,SHORT,1076,0.5268388940868272,0.0068792887,0.0
2005-09-06 00:00:00+00,SHORT,1463,0.47277763521203353,-0.00813975,0.0
2005-09-06 00:00:00+00,SHORT,1514,0.6322647594946551,-0.0017927474,0.0
2005-09-07 00:00:00+00,SHORT,2613,0.0,-0.012130574,0.0
2005-09-07 00:00:00+00,SHORT,1076,0.4357081590624795,-0.006308096,0.0
2005-09-07 00:00:00+00,SHORT,3918,0.5390967500112482,0.003643992,0.0
2005-09-08 00:00:00+00,SHORT,2050,0.7457335855584232,-0.001251156,0.0
