time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,dist_high52_vol_norm_20_df015,dist_lower_bb_20_2.5_df055,dist_lower_bb_20_2.0_df055,earnings_price_gap_df010
2023-08-16 00:00:00+00,LONG,2050,0.0,-0.14365567,-0.37796524,-0.023876797,-0.0013143761,0.0
2023-08-17 00:00:00+00,LONG,2050,0.0,-0.14689578,-0.38013676,-0.03505614,-0.012532842,0.0
2023-08-17 00:00:00+00,LONG,3947,0.829055660802171,-0.11814947,-0.39910182,-0.07243133,-0.03231506,0.0
2023-08-18 00:00:00+00,LONG,2050,0.0,-0.14907873,-0.40166607,-0.030984312,-0.00899808,0.0
2023-08-18 00:00:00+00,LONG,3947,0.8329985987132142,-0.12384342,-0.38097107,-0.0869596,-0.043137744,0.0
2023-08-21 00:00:00+00,LONG,3947,0.7795360309442881,-0.13319239,-0.3743089,-0.102262214,-0.056356583,0.0
2023-08-22 00:00:00+00,LONG,2352,0.0,-0.12687156,-0.42571253,-0.010593779,0.014338449,0.0
2023-08-22 00:00:00+00,LONG,559,0.0,-0.09659251,-0.39855412,-0.025967779,-0.010580514,0.0
2023-08-23 00:00:00+00,LONG,2352,0.0,-0.10040161,-0.37437364,-0.040752698,-0.012131685,0.0
2023-08-23 00:00:00+00,LONG,559,0.0,-0.08576233,-0.41826212,-0.042068213,-0.027585844,0.0
2023-08-23 00:00:00+00,LONG,901,0.0,-0.10358566,-0.39798722,-0.057716396,-0.037593428,0.0
2023-08-24 00:00:00+00,LONG,2352,0.0,-0.114741035,-0.35325155,-0.05143104,-0.019467982,0.0
2023-08-24 00:00:00+00,LONG,901,0.0,-0.11039484,-0.41258654,-0.04648714,-0.025311053,0.0
2023-08-25 00:00:00+00,LONG,2352,0.0,-0.10316815,-0.33874846,-0.06353088,-0.02859251,0.0
2023-08-25 00:00:00+00,LONG,3793,1.0,-0.13842618,-0.42471004,-0.117618166,-0.07512858,0.0
2023-08-29 00:00:00+00,LONG,2915,0.4263493000064095,-0.13495575,-0.41423747,-0.10674494,-0.08672809,0.0
2023-10-02 00:00:00+00,LONG,3280,0.0,-0.10093897,-0.354406,-0.071021326,-0.04757478,0.0
2023-10-03 00:00:00+00,LONG,3280,0.0,-0.10802775,-0.36963835,-0.07777903,-0.0553919,0.0
2023-10-04 00:00:00+00,LONG,3280,0.0,-0.096610166,-0.38639393,-0.06622127,-0.044551205,0.0
2023-10-04 00:00:00+00,LONG,1673,1.0,-0.1080402,-0.36747977,-0.058870453,-0.026010565,0.0
2023-10-05 00:00:00+00,LONG,3280,0.0,-0.085311316,-0.39634153,-0.06624967,-0.04499494,0.0
2023-10-05 00:00:00+00,LONG,1673,0.9583333333333334,-0.09280303,-0.3429031,-0.08491046,-0.049390268,0.0
2023-10-06 00:00:00+00,LONG,1306,1.0,-0.13466667,-0.35950008,-0.056685727,-0.028424116,0.0
2023-10-09 00:00:00+00,LONG,1306,0.9830508474576272,-0.11411209,-0.34985086,-0.0744405,-0.045734525,0.0
2023-10-25 00:00:00+00,LONG,4189,1.0,-0.11795775,-0.35274088,-0.01629146,0.0035354698,0.0
2023-10-25 00:00:00+00,LONG,2990,0.6829268292682926,-0.11122097,-0.40088674,-0.034701787,-0.018436864,0.0
2023-10-25 00:00:00+00,LONG,3216,1.0,-0.16656788,-0.42616567,-0.03338463,0.0029090785,0.0
2023-10-25 00:00:00+00,LONG,3640,1.0,-0.10903828,-0.34998783,-0.026042953,-0.00882682,0.0
2023-10-26 00:00:00+00,LONG,2990,0.6585365853658536,-0.09667959,-0.4161561,-0.036816094,-0.021075265,0.0
2023-10-26 00:00:00+00,LONG,3216,0.9821428571428571,-0.14817001,-0.39550543,-0.07852025,-0.038588703,0.0
2023-10-27 00:00:00+00,LONG,4189,0.9574468085106383,-0.117058314,-0.36712807,-0.035491113,-0.01657108,0.0
2023-10-27 00:00:00+00,LONG,2915,1.0,-0.10912343,-0.36592257,-0.03388507,-0.009938555,0.0
2023-10-27 00:00:00+00,LONG,3216,0.8883342772748136,-0.1778169,-0.39587447,-0.06837896,-0.026444344,0.0
2023-10-27 00:00:00+00,LONG,3640,0.9649122807017544,-0.09005507,-0.36744598,-0.04409163,-0.027822744,0.0
2023-10-30 00:00:00+00,LONG,2099,0.6363636363636364,-0.1564443,-0.343764,-0.047243368,-0.036254514,0.0
2023-10-30 00:00:00+00,LONG,4189,0.4036483103895135,-0.15140998,-0.3900047,-0.010035649,0.009255182,0.0
2023-10-30 00:00:00+00,LONG,2915,0.9777777777777777,-0.118644066,-0.36010662,-0.049888987,-0.025722042,0.0
