time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,accel_volume_5_df025,dist_lower_bb_20_2.0_df055
2006-10-03 00:00:00+00,LONG,576,0.1427308018325954,-0.03693863,0.2555048,0.0057700993
2006-10-09 00:00:00+00,LONG,3420,0.19074262246461315,-0.041658305,0.9163382,-0.001655663
2006-10-11 00:00:00+00,LONG,3815,1.0,-0.028832538,0.039152615,0.0013599446
2006-11-21 00:00:00+00,LONG,664,0.9655172413793104,-0.022883395,0.30701217,-0.00853358
2006-11-27 00:00:00+00,LONG,1869,0.5,-0.028237533,0.7964217,-0.009086393
2006-12-08 00:00:00+00,LONG,578,0.0,-0.02531562,0.15462364,0.002231252
2007-01-18 00:00:00+00,LONG,3621,0.0,-0.027584491,0.11180412,-0.006095696
2007-01-23 00:00:00+00,LONG,1191,1.0,-0.045373432,0.41742823,0.0049047116
2007-01-29 00:00:00+00,LONG,2066,0.0,-0.0742844,0.38751456,-0.0051712147
2007-03-05 00:00:00+00,LONG,2116,0.8069144567836084,-0.022331636,0.03340851,-0.0061328197
2007-03-05 00:00:00+00,LONG,576,1.0,-0.021377329,0.70624787,0.016036758
2007-03-05 00:00:00+00,LONG,960,1.0,-0.03988673,0.51118344,0.010251681
2007-03-05 00:00:00+00,LONG,1303,0.9406121587312084,-0.061201435,0.33279607,0.005422437
2007-03-07 00:00:00+00,LONG,2116,0.9333333333333333,-0.030126562,0.27779257,-0.009374906
2007-03-07 00:00:00+00,LONG,1303,0.8039839712038415,-0.06240621,0.5308624,-0.0073227356
2007-03-13 00:00:00+00,LONG,4153,1.0,-0.032882944,0.71775645,-0.0013045686
2007-03-13 00:00:00+00,LONG,2543,0.725971236689903,-0.038448792,0.87599623,-0.0050332965
2007-03-14 00:00:00+00,LONG,799,1.0,-0.02353393,0.6169901,-0.0078065842
2007-03-14 00:00:00+00,LONG,3742,0.7974915894837795,-0.03232182,0.48324606,-0.0063381013
2007-03-16 00:00:00+00,LONG,131,0.775,-0.024493566,0.33966976,-0.0075016473
2007-03-16 00:00:00+00,LONG,1846,0.3860197792883577,-0.022676535,0.14448486,-0.008838106
2007-03-28 00:00:00+00,LONG,799,0.7674418604651163,-0.024826791,0.39246106,-0.003079139
2007-03-29 00:00:00+00,LONG,195,0.0,-0.08699219,0.35574883,-0.0064229374
2007-03-29 00:00:00+00,LONG,799,0.1045590421350892,-0.024548953,0.4314434,-0.0063823406
2007-03-29 00:00:00+00,LONG,959,0.5456278631503511,-0.022350525,0.54156446,-0.0081888335
2007-03-30 00:00:00+00,LONG,799,0.0,-0.024327654,0.19898935,-0.008011029
2007-04-09 00:00:00+00,LONG,2410,0.43824567074288495,-0.033549536,0.4404126,-0.009216263
2007-04-11 00:00:00+00,LONG,4118,0.7575757575757576,-0.0917217,0.89299303,-0.00658792
2007-04-11 00:00:00+00,LONG,505,0.4883720930232558,-0.030129943,0.09439748,-0.007192997
2007-04-12 00:00:00+00,LONG,3704,0.2946119796047059,-0.023004761,0.52768874,-9.831334E-4
2007-05-01 00:00:00+00,LONG,1904,0.0,-0.034730103,0.36070436,0.0015321691
2007-05-14 00:00:00+00,LONG,304,0.0,-0.032585457,0.4747071,0.0036280928
2007-05-15 00:00:00+00,LONG,1437,0.4094632342069695,-0.038736284,0.568122,0.0014076321
2007-05-24 00:00:00+00,LONG,304,0.0,-0.029957678,0.27073258,-0.0054555517
2007-05-25 00:00:00+00,LONG,540,0.0,-0.03459501,0.26231554,-0.0045544244
