time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,normalized_3m_df003,pe_ratio_sector_relative_df083
2008-01-25 00:00:00+00,LONG,3179,0.0,-0.16097988,0.3088553,0.2628
2008-01-25 00:00:00+00,LONG,1668,0.1515768526387794,-0.16429943,0.3174946,0.1892
2008-01-25 00:00:00+00,LONG,1684,0.0,-0.16704151,0.4298056,0.1632
2008-01-25 00:00:00+00,LONG,3841,0.9259259259259259,-0.13752535,0.47084233,0.1533
2008-01-25 00:00:00+00,LONG,1851,0.24599009174584002,-0.11838516,0.25053996,-0.8889
2008-01-25 00:00:00+00,LONG,3905,0.4970488216434454,-0.15551908,0.28293738,0.2474
2008-01-28 00:00:00+00,LONG,450,0.0,-0.121280886,0.3200883,0.1812
2008-01-28 00:00:00+00,LONG,694,0.0,-0.14896552,0.5018182,-0.3176
2008-01-28 00:00:00+00,LONG,730,0.8395602241639265,-0.15277778,0.33818182,0.2084
2008-01-28 00:00:00+00,LONG,3179,0.0,-0.15993923,0.26490065,0.2616
2008-01-28 00:00:00+00,LONG,1454,0.0,-0.17119859,0.40397352,0.1903
2008-01-28 00:00:00+00,LONG,1684,0.0,-0.14412189,0.43046358,0.1697
2008-01-28 00:00:00+00,LONG,3841,0.6770396678049415,-0.120501414,0.5275938,0.1547
2008-01-28 00:00:00+00,LONG,3905,0.47758206931945263,-0.13125,0.28293738,0.2474
2008-01-29 00:00:00+00,LONG,323,0.0,-0.12729621,0.24604966,0.2473
2008-01-29 00:00:00+00,LONG,450,0.0,-0.14367388,0.3115124,0.1869
2008-01-29 00:00:00+00,LONG,694,0.0,-0.143525,0.46969697,-0.3032
2008-01-29 00:00:00+00,LONG,730,0.652506299007412,-0.12228101,0.3409091,0.2097
2008-01-29 00:00:00+00,LONG,1454,0.0,-0.14226367,0.40397352,0.1903
2008-01-29 00:00:00+00,LONG,3695,0.0,-0.12389853,0.34537247,0.2578
2008-01-30 00:00:00+00,LONG,323,0.0,-0.14027102,0.255079,0.2499
2008-01-30 00:00:00+00,LONG,450,0.0,-0.14783475,0.31376976,0.1886
2008-01-30 00:00:00+00,LONG,694,0.0,-0.13623595,0.51320755,-0.3337
2008-01-30 00:00:00+00,LONG,2870,0.0,-0.13460356,0.53207546,0.2511
2008-01-30 00:00:00+00,LONG,2896,0.0,-0.11830944,0.36794582,0.2273
2008-01-31 00:00:00+00,LONG,450,0.0,-0.12330146,0.3181818,0.1842
2008-01-31 00:00:00+00,LONG,2896,0.0,-0.119365275,0.3840909,0.2222
2008-01-31 00:00:00+00,LONG,1298,0.0,-0.1389253,0.29545453,0.1736
2008-02-01 00:00:00+00,LONG,1298,0.0,-0.13348271,0.28884026,0.175
2008-02-04 00:00:00+00,LONG,2896,0.0,-0.13998257,0.34216335,0.231
2008-02-04 00:00:00+00,LONG,1298,0.0,-0.13539043,0.3289183,0.1847
2008-02-05 00:00:00+00,LONG,2896,0.7096774193548387,-0.14313255,0.34598213,0.2288
2008-02-05 00:00:00+00,LONG,1298,0.0,-0.125817,0.35267857,0.1852
2008-02-06 00:00:00+00,LONG,2896,0.6774193548387097,-0.15130912,0.26845637,0.2243
2008-02-06 00:00:00+00,LONG,1298,0.6875,-0.12882024,0.3512304,0.1849
2008-02-07 00:00:00+00,LONG,2548,0.33790274513664326,-0.15582973,0.27756655,0.2382
2008-02-07 00:00:00+00,LONG,2896,0.38741992493292576,-0.12456377,0.26233184,0.2257
2008-02-07 00:00:00+00,LONG,1012,1.0,-0.13424958,0.30493274,0.2222
2008-02-07 00:00:00+00,LONG,3330,0.6071428571428572,-0.157635,0.33557048,0.2588
2008-02-07 00:00:00+00,LONG,1298,0.0,-0.14796747,0.32735425,0.1828
2008-02-08 00:00:00+00,LONG,2548,0.18709157685200242,-0.15353586,0.24637681,0.237
2008-02-08 00:00:00+00,LONG,2896,0.6129032258064516,-0.12159211,0.30322582,0.2349
2008-02-08 00:00:00+00,LONG,1012,0.9523809523809523,-0.14378308,0.33548388,0.2277
2008-02-08 00:00:00+00,LONG,1298,0.625,-0.14698163,0.28387097,0.1847
2008-02-11 00:00:00+00,LONG,1012,0.6541584518520482,-0.12480958,0.30537635,0.2268
2008-02-11 00:00:00+00,LONG,1298,0.59375,-0.12303577,0.2731183,0.1829
2008-02-11 00:00:00+00,LONG,3744,0.0,-0.1336,0.4,0.1484
2008-03-05 00:00:00+00,LONG,535,0.0,-0.16813049,0.37728938,-0.1989
2008-03-06 00:00:00+00,LONG,535,0.0,-0.14131898,0.3768116,-0.2205
2008-03-06 00:00:00+00,LONG,1453,0.0,-0.12641084,0.5072464,0.2031
2008-03-07 00:00:00+00,LONG,535,0.0,-0.13797635,0.32374102,-0.2034
2008-03-07 00:00:00+00,LONG,1453,0.0,-0.13003096,0.4820144,0.2022
2008-03-10 00:00:00+00,LONG,535,0.0,-0.13941018,0.32971016,-0.201
