time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_13_50_df007,accel_price_5_df021,weighted_neg_sum_10_df036,dist_lower_bb_50_2.0_df055
2006-07-21 00:00:00+00,LONG,2055,0.5893299102095708,-0.02147187,-0.0060830363,0.13747405,-0.011369384
2006-07-21 00:00:00+00,LONG,309,1.0,-0.023914251,-0.023042105,0.14306563,-0.004420786
2006-07-21 00:00:00+00,LONG,2567,0.1727424600860302,-0.056482423,-0.032025915,0.1412852,8.86513E-4
2006-07-21 00:00:00+00,LONG,2582,0.6717450332112048,-0.02568613,0.0012058627,0.15252183,-0.05775073
2006-07-24 00:00:00+00,LONG,1377,0.9545454545454546,-0.030952418,0.007873669,0.12764105,-0.029203223
2006-07-25 00:00:00+00,LONG,309,0.9166666666666666,-0.027964476,-0.0014167941,0.13998406,-0.03778948
2006-07-25 00:00:00+00,LONG,1144,0.0,-0.022423143,0.00787763,0.14446239,-0.020020165
2006-07-25 00:00:00+00,LONG,3824,0.967741935483871,-0.05297821,-0.009801727,0.1498265,-0.048418418
2006-07-26 00:00:00+00,LONG,3824,0.9516129032258065,-0.052280232,-0.02362866,0.13978219,-0.054472968
2006-07-27 00:00:00+00,LONG,3378,1.0,-0.028031882,-5.803747E-4,0.12827113,0.050321013
2006-07-31 00:00:00+00,LONG,4171,0.5876363151027243,-0.028471787,-0.025555322,0.1582956,0.011715387
2006-07-31 00:00:00+00,LONG,1063,0.609430407871018,-0.048781894,-0.007713425,0.13512377,0.012510009
2006-07-31 00:00:00+00,LONG,1740,0.0,-0.034649197,-0.012883786,0.15787129,-0.05930688
2006-08-01 00:00:00+00,LONG,1063,0.5951208558426428,-0.050493393,-0.012426119,0.1358828,0.015486997
2006-08-01 00:00:00+00,LONG,3897,0.5435818366452965,-0.045300722,-0.02000268,0.13889271,-0.060833484
2006-08-04 00:00:00+00,LONG,4171,0.4128986491752483,-0.038009528,0.0087582925,0.12865025,-0.080828205
2006-08-07 00:00:00+00,LONG,4171,0.8333333333333334,-0.039446894,-4.4357344E-5,0.13009533,-0.079183966
2006-08-11 00:00:00+00,LONG,2305,0.7580645161290323,-0.065155566,0.014466616,0.13888489,-0.04004339
2006-08-11 00:00:00+00,LONG,3456,0.8695652173913043,-0.04698356,-0.03288503,0.13280888,-0.027404191
2006-08-11 00:00:00+00,LONG,4034,0.962962962962963,-0.022485193,0.010854705,0.1392184,-0.050140977
2006-08-14 00:00:00+00,LONG,2305,0.7419354838709677,-0.06048247,0.014428266,0.13888489,-0.059794247
2006-08-22 00:00:00+00,LONG,157,0.26540957635868373,-0.02377959,-0.029566502,0.13347194,-0.052218527
2006-08-22 00:00:00+00,LONG,694,0.8,-0.06428548,-0.032567892,0.14226496,-0.03601257
2006-09-05 00:00:00+00,LONG,4150,0.43477309766763333,-0.048885185,-0.014233641,0.15093215,-0.009923199
2006-09-06 00:00:00+00,LONG,4150,0.41200784322336137,-0.058546435,-0.020784616,0.13778995,-0.007571127
2006-09-06 00:00:00+00,LONG,1280,0.0,-0.029659202,-0.019801455,0.13567054,0.006330792
2006-09-07 00:00:00+00,LONG,4150,0.3280767499159025,-0.06734047,0.0037412518,0.13778995,-0.020200549
2006-09-12 00:00:00+00,LONG,3703,1.0,-0.023295185,-0.02213254,0.12878726,-0.06856334
2006-09-18 00:00:00+00,LONG,1817,0.5604606648105961,-0.03912299,-0.0016116259,0.13522218,-0.05263759
2006-09-22 00:00:00+00,LONG,796,1.0,-0.02705458,-0.0032258064,0.13503233,0.02650034
2006-09-25 00:00:00+00,LONG,588,1.0,-0.055324607,1.4947227E-4,0.142876,-0.028927578
2006-09-26 00:00:00+00,LONG,610,0.9672131147540983,-0.027144121,-0.0036192907,0.16064335,0.020059498
2006-09-27 00:00:00+00,LONG,610,0.9508196721311475,-0.034887306,-0.005965146,0.1272504,0.014605949
