time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,dist_upper_bb_50_2.5_df055,price_roc_5_df020
2006-03-02 00:00:00+00,SHORT,3703,0.0,0.80186915,-0.062205702,0.020083895
2006-03-06 00:00:00+00,SHORT,1396,0.0,0.90958375,-0.026407408,0.041894354
2006-03-16 00:00:00+00,SHORT,3539,0.34502807585537854,0.9748458,-7.242844E-4,0.07578794
2006-03-17 00:00:00+00,SHORT,505,0.6798930443009629,0.93749535,-0.02682395,0.029510256
2006-03-20 00:00:00+00,SHORT,505,0.5713487120646301,0.93822646,-0.028713621,0.027754592
2006-03-20 00:00:00+00,SHORT,1099,0.271854417017777,0.7791826,-0.04693525,0.0028011205
2006-03-22 00:00:00+00,SHORT,2050,0.0,0.75402534,-0.030790882,0.0323741
2006-03-22 00:00:00+00,SHORT,2343,0.41630227710960443,0.8033707,-0.009741232,0.057711285
2006-03-22 00:00:00+00,SHORT,3192,0.0,0.8086348,-0.036126528,0.08371939
2006-03-23 00:00:00+00,SHORT,2226,0.0,0.9203217,-0.013371933,0.014652015
2006-03-23 00:00:00+00,SHORT,2527,0.5622029137746484,0.8675045,-0.020739155,0.026077097
2006-03-24 00:00:00+00,SHORT,2226,0.0,0.91579807,-0.010507225,0.011702986
2006-03-24 00:00:00+00,SHORT,1303,0.6553201401997784,0.8903106,0.011057282,0.052645717
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,0.8465971,-0.009444236,0.052112676
2006-03-27 00:00:00+00,SHORT,2226,0.0,0.7898163,-0.01621734,0.0028101164
2006-03-27 00:00:00+00,SHORT,1356,0.32851915433829537,0.79690635,-0.019482318,0.041451797
2006-03-27 00:00:00+00,SHORT,3818,0.5416165542137473,0.83378595,-0.093690015,0.018945761
2006-03-29 00:00:00+00,SHORT,918,0.261397309871237,0.9528915,0.012534288,0.049819496
2006-03-29 00:00:00+00,SHORT,2999,0.680065050872031,0.81147444,-0.0044464995,0.06129597
2006-04-03 00:00:00+00,SHORT,3286,0.7711314042179561,0.75288695,-0.0027075007,0.067304485
2006-04-06 00:00:00+00,SHORT,2518,0.7927588706191823,0.8942985,-0.08501939,0.030704075
