time,side,ticker_id,mv_dn_composite_labels,velocity_price_vs_etf_diff_21_df050,price_roc_5_df020,dist_lower_bb_20_2.5_df055,price_drift_21_df005
2007-05-03 00:00:00+00,SHORT,1910,0.5338714772831594,0.06157055,0.03661972,-0.20670775,0.107920334
2007-05-08 00:00:00+00,SHORT,4153,0.7693350520156905,0.06469369,0.037,-0.22147858,0.10837965
2007-05-10 00:00:00+00,SHORT,2297,0.0,0.12044852,0.031070746,-0.22579691,0.15905428
2007-05-21 00:00:00+00,SHORT,1064,0.0,0.08365895,0.04238095,-0.2442234,0.11003494
2007-05-21 00:00:00+00,SHORT,3573,0.3407905815284366,0.09106985,0.04868914,-0.2015287,0.11744584
2007-05-25 00:00:00+00,SHORT,1523,0.0,0.029683283,0.052034058,-0.219387,0.04331509
2007-06-04 00:00:00+00,SHORT,4123,0.0,0.085674636,0.046129033,-0.22325568,0.11061644
2007-06-04 00:00:00+00,SHORT,3838,0.288686455497879,0.11305268,0.03376233,-0.21483904,0.13799448
2007-06-13 00:00:00+00,SHORT,4083,0.0,0.088779464,0.052383445,-0.22011346,0.09781421
2007-06-14 00:00:00+00,SHORT,4083,0.0,0.08383872,0.035988525,-0.20469584,0.0990476
2007-07-09 00:00:00+00,SHORT,1297,0.46143102864047775,0.09278456,0.047884554,-0.23234849,0.119612195
2007-07-16 00:00:00+00,SHORT,897,0.9411764705882353,0.08696171,0.0366457,-0.22350492,0.09984931
2007-07-17 00:00:00+00,SHORT,50,0.2979145176779739,0.111242354,0.046415094,-0.22134502,0.12221772
2007-07-18 00:00:00+00,SHORT,516,1.0,0.08721514,0.036629215,-0.21121404,0.09754937
2007-07-19 00:00:00+00,SHORT,694,0.5714285714285714,0.060442306,0.03937798,-0.21062787,0.072186284
2007-07-19 00:00:00+00,SHORT,862,0.9333333333333333,0.07471081,0.059398636,-0.22090365,0.08645479
2007-07-20 00:00:00+00,SHORT,862,0.8666666666666667,0.09056631,0.044456642,-0.2197806,0.10618097
2007-07-20 00:00:00+00,SHORT,1610,1.0,0.07722574,0.049534105,-0.24200983,0.0928404
2007-07-20 00:00:00+00,SHORT,4074,0.22131548775287038,0.051051382,0.052254092,-0.20025516,0.066666044
2007-07-23 00:00:00+00,SHORT,2613,0.2925232956168694,0.09434419,0.045894474,-0.21480745,0.10743801
2007-07-23 00:00:00+00,SHORT,862,0.8,0.08929395,0.055799488,-0.23480423,0.10238777
2007-07-23 00:00:00+00,SHORT,3573,1.0,0.11402482,0.057391305,-0.24425833,0.12711865
2007-07-23 00:00:00+00,SHORT,1610,0.9230769230769231,0.064242244,0.03156861,-0.24454595,0.077336065
2007-07-24 00:00:00+00,SHORT,1888,0.0,0.09811105,0.03883495,-0.2389979,0.10309278
2007-07-26 00:00:00+00,SHORT,3148,0.5786966880409926,0.11647044,0.059001513,-0.21694966,0.11464968
2007-07-27 00:00:00+00,SHORT,3148,0.5701865350478719,0.109939225,0.047040973,-0.20170636,0.07476635
2007-08-08 00:00:00+00,SHORT,3310,0.5026705582007758,0.09645236,0.05344798,-0.22517782,0.08922999
2007-08-13 00:00:00+00,SHORT,4118,0.0,0.08388742,0.03833395,-0.24038345,0.021762786
2007-08-13 00:00:00+00,SHORT,557,0.0,0.10383475,0.05882353,-0.23035227,0.041710116
2007-08-22 00:00:00+00,SHORT,4118,0.0,0.07627444,0.052330025,-0.21277831,0.0455408
2007-08-23 00:00:00+00,SHORT,2381,0.0,0.035073232,0.05663032,-0.23656397,0.0015002501
2007-08-23 00:00:00+00,SHORT,836,0.499952982219996,0.089481495,0.040236052,-0.21049756,0.055908512
2007-08-31 00:00:00+00,SHORT,3130,0.0,0.040936675,0.045874953,-0.2133025,0.040868923
2007-09-04 00:00:00+00,SHORT,3130,0.0,0.020967346,0.059695818,-0.20265625,0.05768501
2007-09-19 00:00:00+00,SHORT,874,0.0,0.09667587,0.052005544,-0.23894018,0.15696348
2007-09-20 00:00:00+00,SHORT,984,0.0,0.08132649,0.03430821,-0.20633386,0.13204063
2007-09-27 00:00:00+00,SHORT,2731,0.0,0.11676396,0.040921595,-0.2424068,0.18196017
2007-09-27 00:00:00+00,SHORT,1377,0.0,0.08393827,0.046060607,-0.22690758,0.14913449
2007-09-28 00:00:00+00,SHORT,142,0.0,0.06710756,0.035856575,-0.23310529,0.108324975
2007-09-28 00:00:00+00,SHORT,1377,0.0,0.058523517,0.031591736,-0.20043677,0.09974093
2007-10-01 00:00:00+00,SHORT,142,0.0,0.051773064,0.05404113,-0.2315539,0.10753769
2007-10-05 00:00:00+00,SHORT,13,0.5759398288290054,0.061322924,0.049846712,-0.23924607,0.11343931
2007-10-08 00:00:00+00,SHORT,641,0.6734008948365833,0.095817715,0.040520445,-0.2420175,0.15708971
2007-10-10 00:00:00+00,SHORT,2297,0.0,0.06889943,0.04714226,-0.20786647,0.12808989
2007-10-10 00:00:00+00,SHORT,1383,1.0,0.07157348,0.04939323,-0.20112596,0.13076393
2007-10-10 00:00:00+00,SHORT,1667,0.8478053181182881,0.10122621,0.036761284,-0.20987646,0.16041666
2007-10-11 00:00:00+00,SHORT,3456,0.8333333333333334,0.09285033,0.054111637,-0.23394921,0.14424682
2007-10-11 00:00:00+00,SHORT,2028,0.0,0.06283843,0.03390011,-0.23911701,0.114234924
2007-10-12 00:00:00+00,SHORT,88,0.0,0.076200895,0.05600618,-0.22447856,0.12602966
2007-10-12 00:00:00+00,SHORT,2440,0.43243181738069564,0.10535399,0.036782105,-0.23407699,0.15518275
2007-10-12 00:00:00+00,SHORT,2816,0.9,0.032166965,0.05863107,-0.20437546,0.08199572
2007-10-12 00:00:00+00,SHORT,3456,0.6666666666666667,0.08143449,0.042000942,-0.22708125,0.13126324
2007-10-16 00:00:00+00,SHORT,1280,0.0,0.09846034,0.043700486,-0.20553514,0.1368128
2007-10-18 00:00:00+00,SHORT,629,0.0,0.09277185,0.034307994,-0.22771211,0.094923645
