time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,sessions_since_bearish_13_50_df059
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,0.028240671,16.0
2005-06-24 00:00:00+00,LONG,2930,0.2503227019807082,0.012613536,11.0
2005-06-27 00:00:00+00,LONG,2262,0.0,0.0036451332,9.0
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,0.015415065,17.0
2005-06-27 00:00:00+00,LONG,2870,0.0,0.05836674,5.0
2005-06-28 00:00:00+00,LONG,465,0.6538058934950012,0.0021185926,18.0
2005-06-29 00:00:00+00,LONG,2262,0.0,0.0016720273,11.0
2005-06-30 00:00:00+00,LONG,2262,0.0,0.008897302,12.0
2005-06-30 00:00:00+00,LONG,2731,1.0,0.027832959,5.0
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,0.0042023915,6.0
2005-07-07 00:00:00+00,LONG,3109,0.0,0.008696563,22.0
2005-07-07 00:00:00+00,LONG,1099,0.0,0.023300387,10.0
2005-07-07 00:00:00+00,LONG,3702,0.9786789295787729,0.0010854338,10.0
2005-07-08 00:00:00+00,LONG,3109,0.0,6.50095E-4,23.0
2005-07-11 00:00:00+00,LONG,2285,0.168292192445789,0.12458496,4.0
2005-07-12 00:00:00+00,LONG,2285,0.14130554758072641,0.07943495,5.0
2005-07-13 00:00:00+00,LONG,2285,0.1156830309725133,0.035824094,6.0
2005-07-13 00:00:00+00,LONG,3702,0.8787878787878788,-2.523594E-4,14.0
2005-07-20 00:00:00+00,LONG,1076,0.6675912828884248,0.007018564,9.0
2005-07-22 00:00:00+00,LONG,684,0.0,0.103386775,6.0
2005-07-25 00:00:00+00,LONG,684,0.0,0.072828725,7.0
2005-07-26 00:00:00+00,LONG,684,0.0,0.032175153,8.0
2005-07-26 00:00:00+00,LONG,1715,1.0,0.007451501,21.0
2005-07-29 00:00:00+00,LONG,2504,0.0,0.11434604,4.0
2005-08-01 00:00:00+00,LONG,2504,0.0,0.051180195,5.0
2005-08-08 00:00:00+00,LONG,2778,0.0,0.049599305,11.0
2005-08-08 00:00:00+00,LONG,3218,0.5073072532259819,0.012971967,8.0
2005-08-08 00:00:00+00,LONG,3621,0.2282085577850403,0.03959158,7.0
2005-08-09 00:00:00+00,LONG,2778,0.26583515347507436,0.03408934,12.0
2005-08-09 00:00:00+00,LONG,3218,0.8545671828717516,0.0072989264,9.0
2005-08-09 00:00:00+00,LONG,3621,0.19999966178411377,0.026034916,8.0
2005-08-10 00:00:00+00,LONG,2778,0.0,0.020772897,13.0
2005-08-10 00:00:00+00,LONG,3621,0.15629590832044318,0.022464698,9.0
2005-08-11 00:00:00+00,LONG,2778,0.1824766478779779,0.0019210133,14.0
2005-08-11 00:00:00+00,LONG,3621,0.177454596869109,0.009688937,10.0
2005-08-12 00:00:00+00,LONG,1236,0.0,-9.0823465E-5,26.0
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.052041538,24.0
2005-08-12 00:00:00+00,LONG,3994,1.0,0.0066781254,11.0
2005-08-16 00:00:00+00,LONG,4176,0.3130318645915553,0.010113985,6.0
2005-08-17 00:00:00+00,LONG,1160,0.0,0.011169194,9.0
2005-08-17 00:00:00+00,LONG,3522,0.6838363367096663,0.0042981184,5.0
2005-08-18 00:00:00+00,LONG,2778,0.1898415978569893,-5.11268E-5,19.0
2005-08-18 00:00:00+00,LONG,1160,0.0,6.32843E-5,10.0
2005-08-19 00:00:00+00,LONG,4153,0.0,-2.870364E-5,20.0
2005-08-19 00:00:00+00,LONG,2778,0.19317339074045858,0.005613205,20.0
2005-08-19 00:00:00+00,LONG,3994,0.868421052631579,0.014403286,16.0
2005-08-22 00:00:00+00,LONG,1677,1.0,0.0010150737,6.0
