time,side,ticker_id,mv_dn_composite_labels,volume_spike_1_df057,dist_upper_bb_20_2.0_df055
2006-01-10 00:00:00+00,SHORT,3142,0.0,-0.14060353,-0.00727773
2006-01-11 00:00:00+00,SHORT,2230,0.3539430481928154,-0.18570244,0.0030183184
2006-01-11 00:00:00+00,SHORT,2437,0.324811578198072,-0.076100245,-0.006335752
2006-01-11 00:00:00+00,SHORT,2993,0.6714105214134006,-0.119226895,0.005240008
2006-01-11 00:00:00+00,SHORT,3473,0.2156589564893963,-0.16789263,-0.010469535
2006-01-11 00:00:00+00,SHORT,1677,1.0,-0.009860286,-0.004138507
2006-01-11 00:00:00+00,SHORT,1678,1.0,-0.010041918,-0.0041384306
2006-01-11 00:00:00+00,SHORT,3794,0.0,-0.0514954,0.0015795833
2006-01-11 00:00:00+00,SHORT,3841,0.2789565676049628,-0.18630736,-0.010979186
2006-01-11 00:00:00+00,SHORT,3915,0.5046313754652296,-0.08529574,-0.00902873
2006-01-12 00:00:00+00,SHORT,4224,0.4658213139319328,-0.009052752,0.0050218375
2006-01-12 00:00:00+00,SHORT,3137,0.5153129789723307,-0.1582668,7.6042913E-4
2006-01-12 00:00:00+00,SHORT,1668,0.20422944558822276,-0.14815545,-0.007810549
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,-0.0262065,-0.0039505605
2006-01-13 00:00:00+00,SHORT,1668,0.19330289005478973,-0.046545245,-0.0077461544
2006-01-19 00:00:00+00,SHORT,2410,0.7292106115284973,-0.056145545,-0.0010497487
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,-0.13765442,-0.0016913968
2006-01-27 00:00:00+00,SHORT,1022,0.5570596844696973,-0.14741716,-0.009323044
2006-01-30 00:00:00+00,SHORT,1719,1.0,-0.096807554,-0.008406738
2006-01-31 00:00:00+00,SHORT,2116,0.5509056937598926,-0.028034551,-0.006130737
2006-01-31 00:00:00+00,SHORT,2568,0.0,-0.025164427,-0.011823775
2006-01-31 00:00:00+00,SHORT,576,0.37492036143999,-0.172998,-0.007813234
2006-01-31 00:00:00+00,SHORT,975,0.16180396725573723,-0.03012653,-0.0069904807
2006-02-01 00:00:00+00,SHORT,3433,0.20789882148663438,-0.13313101,0.019436685
2006-02-01 00:00:00+00,SHORT,1404,1.0,-0.18916105,-0.0043338803
2006-02-01 00:00:00+00,SHORT,1610,1.0,-0.014057845,0.0180052
2006-02-02 00:00:00+00,SHORT,1610,0.9473684210526316,-0.065342605,-0.0076908865
2006-02-03 00:00:00+00,SHORT,2032,0.4724069468226847,-0.007954837,-0.0029556954
2006-02-06 00:00:00+00,SHORT,3357,1.0,-0.05133202,-0.0104384795
2006-02-06 00:00:00+00,SHORT,1949,0.4910484775393386,-0.042154565,0.009921204
2006-02-17 00:00:00+00,SHORT,869,0.0,-0.12889388,0.0014137304
2006-02-17 00:00:00+00,SHORT,1848,0.38569109219729847,-0.034163073,-0.0033109554
2006-02-21 00:00:00+00,SHORT,3744,0.0,-0.08785453,0.008325078
2006-02-22 00:00:00+00,SHORT,2248,0.4889008943378846,-0.13375488,0.008032138
2006-02-22 00:00:00+00,SHORT,2440,0.11119631170308812,-0.16999346,-0.008085471
2006-02-23 00:00:00+00,SHORT,2050,0.27371300352338146,-0.15460697,-0.0027047435
2006-02-24 00:00:00+00,SHORT,3556,0.3243394717940305,-0.063551,-0.0036062032
2006-03-01 00:00:00+00,SHORT,562,0.5608167796148523,-0.17068273,-0.0070883464
2006-03-02 00:00:00+00,SHORT,153,0.0,-0.16059072,-0.0034251139
2006-03-02 00:00:00+00,SHORT,248,0.055650187446180506,-0.10853276,-0.011416405
2006-03-02 00:00:00+00,SHORT,3352,0.0,-0.040135194,0.0054428703
2006-03-03 00:00:00+00,SHORT,984,0.12474648680027113,-0.079088934,-0.009366429
2006-03-06 00:00:00+00,SHORT,192,0.07233371886960509,-0.14126164,-0.009437926
2006-03-06 00:00:00+00,SHORT,1650,0.0,-0.06429638,-0.001278987
2006-03-06 00:00:00+00,SHORT,1742,0.0,-0.19302866,-0.0033636552
2006-03-06 00:00:00+00,SHORT,3853,0.0,-0.11739195,-0.011012642
2006-03-13 00:00:00+00,SHORT,3782,0.7754586412651326,-0.15370698,-0.0063159885
2006-03-14 00:00:00+00,SHORT,938,0.6886837097056694,-0.09762441,-0.0013858565
2006-03-14 00:00:00+00,SHORT,3466,0.0,-0.16105258,-0.011309018
2006-03-17 00:00:00+00,SHORT,3539,0.31764157948023436,-0.043188795,-0.004045505
2006-03-20 00:00:00+00,SHORT,85,0.3706800075057167,-0.14195712,0.038426768
2006-03-20 00:00:00+00,SHORT,2504,0.2709061776111755,-0.15187533,0.004227063
2006-03-20 00:00:00+00,SHORT,687,1.0,-0.10245347,-0.008594392
2006-03-20 00:00:00+00,SHORT,1650,0.0,-0.09761236,-0.001250578
2006-03-20 00:00:00+00,SHORT,1853,0.31319988836353463,-0.13495997,0.0050129094
2006-03-21 00:00:00+00,SHORT,1853,0.2566447428577668,-0.016196562,-0.009070691
2006-03-22 00:00:00+00,SHORT,417,0.9473684210526316,-0.046686195,-0.007206063
2006-03-23 00:00:00+00,SHORT,2527,0.5622029137746484,-0.11454419,4.930291E-4
2006-03-24 00:00:00+00,SHORT,2226,0.0,-0.059470266,-0.0102666
2006-03-24 00:00:00+00,SHORT,2527,0.5143850930744556,-0.073367886,-0.006718351
2006-03-24 00:00:00+00,SHORT,558,1.0,-0.13668296,0.014990556
2006-03-27 00:00:00+00,SHORT,558,0.9411764705882353,-0.065055,-0.011890047
2006-03-27 00:00:00+00,SHORT,1356,0.32851915433829537,-0.06806283,-0.0063427095
