time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2005-10-25 00:00:00+00,LONG,3049,1.0,0.0,0.06572371
2005-10-26 00:00:00+00,LONG,3049,0.9767441860465116,0.0,0.0266117
2005-10-27 00:00:00+00,LONG,3049,0.9534883720930233,0.0,0.036454555
2005-10-27 00:00:00+00,LONG,1087,1.0,0.0,0.025870848
2005-10-27 00:00:00+00,LONG,1454,0.36076777994691583,0.0,0.1351791
2005-10-27 00:00:00+00,LONG,3641,1.0,0.0,0.01619641
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,0.0,0.031186275
2005-10-28 00:00:00+00,LONG,220,1.0,0.0,0.026713545
2005-10-28 00:00:00+00,LONG,858,1.0,0.0,0.01928028
2005-10-28 00:00:00+00,LONG,3049,0.9302325581395349,0.0,0.015576738
2005-10-28 00:00:00+00,LONG,1454,0.3019928457555165,0.0,0.08292125
2005-10-28 00:00:00+00,LONG,1848,1.0,0.0,0.016475055
2005-10-31 00:00:00+00,LONG,1454,0.34146339567958783,0.0,0.09214456
2005-11-01 00:00:00+00,LONG,1454,0.30608135482045473,0.0,0.054854628
2005-11-01 00:00:00+00,LONG,3897,0.5848430268571965,0.0,0.021980755
2005-11-02 00:00:00+00,LONG,1454,0.32207548567166855,0.0,0.02968551
2005-11-03 00:00:00+00,LONG,1454,0.33471913697972877,0.0,0.036115553
2005-11-16 00:00:00+00,LONG,3179,0.22009031842722598,0.0,0.019605134
2005-11-16 00:00:00+00,LONG,3677,1.0,0.0,0.039065372
2005-11-18 00:00:00+00,LONG,76,0.0,0.0,0.042411827
2005-11-21 00:00:00+00,LONG,3179,0.04638397180434345,0.0,0.016002286
2005-11-29 00:00:00+00,LONG,1360,1.0,0.0,0.081628345
2005-11-30 00:00:00+00,LONG,28,0.609750221962903,0.0,0.033893004
2005-12-01 00:00:00+00,LONG,28,0.6022810208498633,0.0,0.027356658
2005-12-05 00:00:00+00,LONG,433,0.0,0.0,0.14905791
2005-12-05 00:00:00+00,LONG,1817,0.1071428571428572,0.0,0.10576188
2005-12-06 00:00:00+00,LONG,433,0.0,0.0,0.08715123
2005-12-06 00:00:00+00,LONG,3283,0.0,0.0,0.11955245
2005-12-06 00:00:00+00,LONG,1817,0.07142857142857151,0.0,0.08727194
2005-12-07 00:00:00+00,LONG,433,0.0,0.0,0.10628112
2005-12-07 00:00:00+00,LONG,3283,0.0,0.0,0.100005984
2005-12-07 00:00:00+00,LONG,1817,0.03571428571428581,0.0,0.0552504
2005-12-08 00:00:00+00,LONG,433,0.0,0.0,0.12535933
2005-12-08 00:00:00+00,LONG,2801,0.8702102966744591,0.0,0.051504683
2005-12-08 00:00:00+00,LONG,3283,0.0,0.0,0.0473758
