time,side,ticker_id,mv_up_composite_labels,accel_price_1_df021,dist_lower_bb_50_2.0_df055,ma_cloud_diff_13_50_df007,vola_roc_21_5_df040
2008-01-23 00:00:00+00,LONG,3539,0.0,0.011485191,-0.0074988534,-0.07861043,0.5967908
2008-01-24 00:00:00+00,LONG,4122,0.9375,-0.04011755,-0.019271284,-0.06080695,0.7340591
2008-01-24 00:00:00+00,LONG,3501,0.9310344827586207,-0.02365863,-0.030912906,-0.08648544,0.6700353
2008-02-05 00:00:00+00,LONG,3179,0.0,-0.042531665,-0.0075013265,-0.08329113,0.35252264
2008-02-05 00:00:00+00,LONG,3841,0.6666666666666667,-0.037698925,-0.02361635,-0.06298758,0.36197054
2008-02-06 00:00:00+00,LONG,2253,0.6875,0.018508842,-0.029910594,-0.061062828,0.40321845
2008-02-07 00:00:00+00,LONG,450,0.0,-0.012180046,-0.01513961,-0.07114013,0.31770453
2008-02-07 00:00:00+00,LONG,2979,0.08329812647681817,0.0028920402,-0.03262711,-0.0757123,0.6315374
2008-02-07 00:00:00+00,LONG,3841,0.5925925925925926,4.4022396E-4,-0.022506068,-0.060715795,0.67717916
2008-02-07 00:00:00+00,LONG,3897,0.25263410134768455,0.010398065,-0.020228336,-0.07876976,0.6453453
2008-02-12 00:00:00+00,LONG,3683,0.0,-0.03496278,0.012382483,-0.084634095,0.5005502
2008-02-22 00:00:00+00,LONG,3646,0.0,0.011597389,-0.028092735,-0.053369496,0.6383356
2008-03-12 00:00:00+00,LONG,3114,0.0,-0.02311582,-0.023308557,-0.060629956,0.38571146
2008-03-17 00:00:00+00,LONG,2188,1.0,-4.275798E-4,-0.0056523066,-0.07062559,0.8238859
2008-03-17 00:00:00+00,LONG,2760,0.0,-0.026386734,0.0506733,-0.059137363,0.37529793
2008-03-17 00:00:00+00,LONG,3743,1.0,-0.044087842,0.053024143,-0.08354883,0.5797631
2008-03-24 00:00:00+00,LONG,2898,0.0,0.016404804,-0.0021703534,-0.05247432,0.51535445
2008-03-25 00:00:00+00,LONG,345,0.5352459008468096,0.00396337,-0.00903477,-0.050441615,0.3823693
2008-04-15 00:00:00+00,LONG,191,0.0,0.011306525,-0.025118947,-0.06182691,0.9602514
2008-04-17 00:00:00+00,LONG,3804,0.3988701001712175,-0.04605704,-0.029729085,-0.060396384,0.90747756
2008-04-29 00:00:00+00,LONG,1483,0.0,2.6496415E-4,0.015526547,-0.06822624,0.6144949
2008-06-02 00:00:00+00,LONG,1960,0.0,-0.04591029,0.051867757,-0.06005911,0.9071428
2008-06-12 00:00:00+00,LONG,3357,0.0,-0.001872832,0.014671582,-0.050545014,0.95828044
