time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2007-03-02 00:00:00+00,SHORT,4169,0.7272727272727273,0.41226575,0.21530543,0.7647059,0.0048
2007-03-08 00:00:00+00,SHORT,1235,0.01917277354347413,0.4564586,0.16825086,0.6086956,0.0096
2007-03-09 00:00:00+00,SHORT,1235,0.006519078052880674,0.39876318,0.1709062,0.6086956,0.0095
2007-03-19 00:00:00+00,SHORT,88,0.06028583000806171,0.42134032,0.1672935,0.2,0.0112
2007-03-19 00:00:00+00,SHORT,1298,0.0,0.43984824,0.22932549,0.4473684,0.0089
2007-03-20 00:00:00+00,SHORT,869,0.0,0.39136425,0.76191306,0.2173913,0.0089
2007-03-20 00:00:00+00,SHORT,975,1.0,0.45228288,0.4319623,0.375,0.0092
2007-03-20 00:00:00+00,SHORT,4088,0.0,0.3533232,0.23269042,0.13043478,0.0091
2007-03-21 00:00:00+00,SHORT,88,0.0,0.42170906,-0.06815757,0.2,0.0114
2007-03-21 00:00:00+00,SHORT,2137,0.0,0.4399861,1.6171346,0.46666667,0.0093
2007-03-21 00:00:00+00,SHORT,183,0.0,0.44500738,0.7519289,0.85714287,0.0096
2007-03-21 00:00:00+00,SHORT,684,0.0,0.36793408,1.2986262,0.17021276,0.0091
2007-03-21 00:00:00+00,SHORT,1298,0.0,0.3865221,0.683723,0.4473684,0.0091
2007-03-21 00:00:00+00,SHORT,2004,0.0,0.3966322,0.1043234,0.4375,0.0091
2007-03-22 00:00:00+00,SHORT,88,0.49432142404878787,0.38687098,-0.18301344,0.2,0.0116
2007-03-22 00:00:00+00,SHORT,3824,0.5483080270865538,0.3568047,0.3802691,0.9464286,0.0093
2007-03-22 00:00:00+00,SHORT,2004,0.0,0.37164164,0.072214246,0.44680852,0.0092
2007-03-23 00:00:00+00,SHORT,2330,0.6498522452437099,0.35216162,0.1182122,0.5,0.0123
2007-03-23 00:00:00+00,SHORT,714,0.25278144578441875,0.4148625,1.1995993,0.8333333,0.01
