time,side,ticker_id,mv_dn_composite_labels,vola_roc_5_5_df040,price_drift_5_df005,joint_fall_flag_21_20_df042,accel_price_5_df021
2008-04-10 00:00:00+00,SHORT,335,0.2695327072283977,-0.33883512,0.08207861,0.0,0.028291425
2008-04-18 00:00:00+00,SHORT,2670,0.0,0.22045833,0.09145527,0.0,0.039549887
2008-04-18 00:00:00+00,SHORT,3187,0.0,-0.4570552,0.08946322,0.0,0.008595371
2008-04-18 00:00:00+00,SHORT,3851,0.0,-0.53766984,0.08377896,0.0,0.008627451
2008-04-21 00:00:00+00,SHORT,167,0.0,0.13932897,0.08824814,0.0,0.027563272
2008-04-21 00:00:00+00,SHORT,457,0.6717946867365976,0.3066804,0.081370376,0.0,-0.034297347
2008-04-21 00:00:00+00,SHORT,753,1.0,-0.010925239,0.080875225,0.0,-0.031166963
2008-04-21 00:00:00+00,SHORT,3851,0.0,-0.40158674,0.090990454,0.0,0.0072114873
2008-04-22 00:00:00+00,SHORT,3851,0.0,0.13361531,0.0833835,0.0,-0.0076069497
2008-04-22 00:00:00+00,SHORT,4000,0.4575364737870417,0.08485558,0.08710865,0.0,-0.027475592
2008-05-09 00:00:00+00,SHORT,2421,0.9375,0.0037387833,0.080616124,0.0,-0.01391124
2008-05-15 00:00:00+00,SHORT,157,0.0,-0.2637559,0.09205867,0.0,0.015213891
2008-05-15 00:00:00+00,SHORT,1838,0.9090909090909091,-0.11189882,0.08828911,0.0,-0.020735165
2008-05-16 00:00:00+00,SHORT,2176,0.0,-0.29110914,0.08442777,0.0,0.043489404
2008-05-16 00:00:00+00,SHORT,157,0.0,-0.41201323,0.086338244,0.0,-0.005720432
2008-05-16 00:00:00+00,SHORT,2230,1.0,0.19582582,0.08690929,0.0,-0.026385918
2008-05-16 00:00:00+00,SHORT,2518,0.0,0.18078688,0.08771168,0.0,-0.0066361455
2008-05-16 00:00:00+00,SHORT,3773,1.0,-0.14098276,0.08916084,0.0,0.02933178
2008-05-19 00:00:00+00,SHORT,2055,1.0,-0.265354,0.08130904,0.0,-0.030378371
2008-05-20 00:00:00+00,SHORT,675,0.9090909090909091,0.04452741,0.08104197,0.0,-0.018813314
2008-05-20 00:00:00+00,SHORT,4050,0.0,-0.53676015,0.092982456,0.0,0.023957435
2008-05-22 00:00:00+00,SHORT,2569,0.42971670856722277,-0.08764633,0.08694072,0.0,-0.027754294
2008-05-27 00:00:00+00,SHORT,2582,0.0,-0.22303863,0.080494344,0.0,0.011672967
2008-06-19 00:00:00+00,SHORT,2518,0.8,-0.35339808,0.09075342,0.0,0.045939084
2008-06-19 00:00:00+00,SHORT,817,0.0,-0.52514136,0.08875861,0.0,-0.014682449
2008-07-01 00:00:00+00,SHORT,3815,0.75,0.08105832,0.086535595,0.0,-0.00985881
2008-07-16 00:00:00+00,SHORT,1807,0.9166666666666666,0.14516358,0.08912656,0.0,0.0010208328
2008-07-17 00:00:00+00,SHORT,1807,0.8333333333333334,-0.5692116,0.08201058,0.0,-0.007115978
2008-07-22 00:00:00+00,SHORT,2990,0.6611641766143493,0.21809168,0.08338317,0.0,0.016411109
2008-07-23 00:00:00+00,SHORT,844,1.0,0.029413382,0.08732321,0.0,-0.04151284
2008-07-23 00:00:00+00,SHORT,3065,0.0,-0.25186995,0.08934829,0.0,-0.014971487
2008-07-25 00:00:00+00,SHORT,1767,0.20690894452828343,0.29144293,0.08233533,0.0,0.026039684
2008-07-28 00:00:00+00,SHORT,1869,1.0,-0.34679255,0.08461539,0.0,0.026502177
2008-07-31 00:00:00+00,SHORT,2690,1.0,-0.03266685,0.081865475,0.0,-0.011970109
2008-08-01 00:00:00+00,SHORT,1615,0.9333333333333333,-0.05680274,0.082177706,0.0,-0.024583856
2008-08-05 00:00:00+00,SHORT,836,0.0,-0.43457437,0.08596974,0.0,-0.015744122
2008-08-05 00:00:00+00,SHORT,1471,0.6666666666666667,0.3482145,0.08933287,0.0,0.01445905
2008-08-06 00:00:00+00,SHORT,167,1.0,-0.35356072,0.087088,0.0,-0.04673273
2008-08-11 00:00:00+00,SHORT,2064,0.929865190397348,0.30396998,0.08227499,0.0,-0.016762152
2008-08-11 00:00:00+00,SHORT,4237,0.6666666666666667,-0.0653038,0.08286563,0.0,0.03677214
