time,side,ticker_id,mv_dn_composite_labels,dist_low52_vol_norm_20_df015,dist_upper_bb_20_2.0_df055,volume_spike_1_df057,vola_roc_21_5_df040
2005-04-08 00:00:00+00,SHORT,2066,0.1399108332220996,0.550687,-0.018807083,0.7746232,-0.11117549
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,0.55497795,-0.0056361672,0.23024055,0.32707915
2005-04-08 00:00:00+00,SHORT,2230,0.1771982201075724,0.48468685,-0.021933546,-0.19012538,0.68925345
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,0.23788667,-0.0013873163,-0.19732258,1.070294
2005-04-08 00:00:00+00,SHORT,3903,0.16252604697762363,0.4461519,-0.014895498,0.07216294,-0.3218564
2005-04-11 00:00:00+00,SHORT,2066,0.08694479591546696,0.57033587,-0.025919268,-0.12378297,-0.27937123
2005-04-11 00:00:00+00,SHORT,2230,0.15322256962219327,0.48596835,-0.02053426,-0.13298005,-0.32062784
2005-04-11 00:00:00+00,SHORT,2269,0.0,0.40323067,-0.0054605,0.56578463,-5.846244E-4
2005-04-11 00:00:00+00,SHORT,405,0.0,0.41896963,-0.020976825,0.74588746,0.2553104
2005-04-11 00:00:00+00,SHORT,1184,0.39369710755362,0.46347436,-0.018869473,0.5303293,-0.21491176
2005-04-11 00:00:00+00,SHORT,1308,0.1930787733306717,0.4792242,-0.022276748,0.74354106,-0.38222042
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,0.22251895,-0.010940351,-0.053217236,0.18385309
2005-04-12 00:00:00+00,SHORT,4107,0.1149720943702941,0.18631244,-0.014612167,0.3692133,0.6530175
2005-04-12 00:00:00+00,SHORT,4122,1.0,0.5152049,6.9783867E-4,0.20563896,-0.3688818
2005-04-12 00:00:00+00,SHORT,2095,0.0,0.452299,-0.021252157,0.07342704,-0.09132409
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,0.4360595,-0.0030956252,0.013936377,1.0859509
2005-04-12 00:00:00+00,SHORT,2269,0.0,0.3919127,-0.0100320345,0.109673224,-0.32409516
2005-04-12 00:00:00+00,SHORT,2270,0.22495144762560854,0.23624584,-0.018701248,-0.018526835,-0.06960207
