time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_5_20_df042,skew_weighted_10_df037,velocity_price_univ_zscore_5_df048,weighted_neg_sum_10_df036,price_drift_21_df005
2006-07-27 00:00:00+00,LONG,64,0.9583333333333334,0.0,-0.4983114,-4.6825976,0.088481136,-0.11589846
2006-08-02 00:00:00+00,LONG,862,0.0,0.0,-0.53059536,-0.25193366,0.10818981,-0.101231806
2006-08-10 00:00:00+00,LONG,2983,0.5485822287540842,0.0,-0.5173365,-4.0803986,0.09811665,-0.0976874
2006-08-16 00:00:00+00,LONG,558,0.9615384615384616,0.0,-0.54967266,-1.5133177,0.15852591,-0.14413317
2006-08-17 00:00:00+00,LONG,558,0.9423076923076923,0.0,-0.44543555,0.37519425,0.15852591,-0.1592955
2006-08-17 00:00:00+00,LONG,694,0.8857142857142857,0.0,-0.43802875,-0.39456037,0.17211227,-0.109433964
2006-08-17 00:00:00+00,LONG,2816,0.0,0.0,-0.5598943,-4.937744,0.15800941,-0.16340908
2006-09-05 00:00:00+00,LONG,4150,0.43477309766763333,0.0,-0.5517715,0.13899085,0.15093215,-0.122023806
2006-09-06 00:00:00+00,LONG,4150,0.41200784322336137,0.0,-0.5192956,-0.022431735,0.13778995,-0.12072072
2006-09-06 00:00:00+00,LONG,3613,0.0,0.0,-0.58797735,-4.7730002,0.105215155,-0.10731995
2006-09-07 00:00:00+00,LONG,4150,0.3280767499159025,0.0,-0.523463,0.941098,0.13778995,-0.108189784
2006-09-07 00:00:00+00,LONG,3613,0.0,0.0,-0.5383019,-2.0609498,0.09095751,-0.10846373
2006-09-18 00:00:00+00,LONG,4086,0.0,0.0,-0.46265498,-3.4715393,0.17885303,-0.115742646
2006-09-20 00:00:00+00,LONG,4086,0.0,0.0,-0.43791595,0.5159408,0.16808923,-0.14024454
2006-09-27 00:00:00+00,LONG,4171,0.7633273162986877,0.0,-0.42443997,-4.5364575,0.14306054,-0.10461579
2006-09-28 00:00:00+00,LONG,3677,0.9333333333333333,0.0,-0.54838336,-5.1476374,0.114755124,-0.13637237
2006-09-29 00:00:00+00,LONG,610,0.9180327868852459,0.0,-0.5830869,-2.8138094,0.11958542,-0.1426087
2006-10-02 00:00:00+00,LONG,3677,0.8888888888888888,0.0,-0.49976426,4.6833644,0.114755124,-0.11175673
