time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_8_50_df007,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-24 00:00:00+00,LONG,3109,0.4483687714896804,-0.01338388,0.0066312156,0.0
2005-01-24 00:00:00+00,LONG,1076,1.0,-0.01960177,0.004224683,0.0
2005-01-24 00:00:00+00,LONG,1330,0.0,-0.013669175,0.0076204357,0.0
2005-01-24 00:00:00+00,LONG,1410,0.0,-0.03575418,-0.010594922,0.0
2005-01-24 00:00:00+00,LONG,1585,0.4743523177638438,-0.038980834,-0.0020663906,0.0
2005-01-24 00:00:00+00,LONG,1615,0.0,-0.055593368,-0.022119144,0.0
2005-01-24 00:00:00+00,LONG,3716,0.0,-0.027801747,0.0051734447,0.0
2005-01-24 00:00:00+00,LONG,1700,0.0,-0.07267353,-0.02433864,0.0
2005-01-24 00:00:00+00,LONG,3802,0.6141444192178867,-0.024644105,-0.010448226,0.0
2005-01-24 00:00:00+00,LONG,3815,0.8292682926829268,-0.048297938,-0.018785413,0.0
2005-01-24 00:00:00+00,LONG,3824,0.8827193808395875,-0.03382759,-0.001031992,0.0
2005-01-24 00:00:00+00,LONG,3831,0.40006738240442724,-0.015775923,-0.024742505,0.0
2005-01-24 00:00:00+00,LONG,3855,0.427800469427666,-0.020924157,0.013124234,0.0
2005-01-24 00:00:00+00,LONG,3868,0.0,-0.013279425,-0.030445192,0.0
2005-01-24 00:00:00+00,LONG,3897,0.37180487279703556,-0.055832207,-0.022432975,0.0
2005-01-24 00:00:00+00,LONG,4049,0.4796424770151398,-0.06815021,-0.010862852,0.0
2005-01-25 00:00:00+00,LONG,1,0.0,-0.055228446,-0.007183654,0.0
2005-01-25 00:00:00+00,LONG,68,0.0,-0.056676388,-0.027910804,0.0
2005-01-25 00:00:00+00,LONG,4237,0.3747074411850655,-0.021756718,-0.018551722,0.0
2005-01-25 00:00:00+00,LONG,183,0.0,-0.050254993,-0.0021541077,0.0
2005-01-25 00:00:00+00,LONG,2253,0.7562658278356549,-0.04886095,0.0034080925,0.0
2005-01-25 00:00:00+00,LONG,234,0.9824561403508771,-0.05822028,-0.026784413,0.0
2005-01-25 00:00:00+00,LONG,270,0.22313783781565832,-0.04974651,-0.014353369,0.0
2005-01-25 00:00:00+00,LONG,309,0.8043478260869565,-0.034522288,-0.029680967,0.0
