time,side,ticker_id,mv_dn_composite_labels,dist_lower_bb_20_2.5_df055,price_drift_1_df005,dist_upper_bb_50_2.5_df055
2005-05-11 00:00:00+00,SHORT,3116,0.12522969413183252,-0.19154093,0.009437524,-0.017753055
2005-05-23 00:00:00+00,SHORT,610,0.47789414823907633,-0.07467636,0.012532981,-0.023827856
2005-05-23 00:00:00+00,SHORT,3100,0.20366031235444898,-0.13016099,0.0026984126,-0.005981186
2005-05-27 00:00:00+00,SHORT,2815,0.19331998909118037,-0.15028006,0.011691349,-0.0240557
2005-05-27 00:00:00+00,SHORT,3702,0.7906111808740817,-0.12189575,0.0029472443,-0.018087475
2005-06-01 00:00:00+00,SHORT,195,0.0,-0.08698762,0.0095877275,-0.020831522
2005-06-02 00:00:00+00,SHORT,19,1.0,-0.18589671,0.010806973,0.019921606
2005-06-02 00:00:00+00,SHORT,220,1.0,-0.10499263,-0.0062772925,-0.014382703
2005-06-03 00:00:00+00,SHORT,19,0.9,-0.18438923,-0.0028094272,0.00745632
2005-06-03 00:00:00+00,SHORT,1888,0.0,-0.16534437,0.0029985008,-0.023794942
2005-06-03 00:00:00+00,SHORT,2041,0.146530409091677,-0.1733841,-0.007041814,-0.0071083987
2005-06-07 00:00:00+00,SHORT,4197,0.9131702621057194,-0.035150036,0.0028084957,-0.017599646
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,-0.078979716,0.005551476,-0.0037366082
2005-06-09 00:00:00+00,SHORT,4197,0.7589816842047519,-0.02500586,0.0042432817,-0.023531592
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,-0.13487399,0.014578209,-0.021874322
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,-0.077074945,0.014499951,-0.015751034
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,-0.08287396,0.0034239131,0.0012202489
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,-0.07400351,-0.010032076,-0.008456022
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,-0.07194627,0.016216217,-0.019580685
2005-06-17 00:00:00+00,SHORT,4128,0.149300770539291,-0.064526215,-0.008510638,-0.016947178
2005-06-17 00:00:00+00,SHORT,4223,0.2313351026997672,-0.07324477,0.0066044796,-0.022432156
2005-06-17 00:00:00+00,SHORT,356,0.31727903949759373,-0.16068657,8.362142E-4,-0.021496749
2005-06-17 00:00:00+00,SHORT,903,0.054484583148280204,-0.08985669,0.009236621,-0.017379323
2005-06-17 00:00:00+00,SHORT,918,0.16339291464769126,-0.14138196,0.0012605799,-0.015831912
2005-06-17 00:00:00+00,SHORT,1306,0.26661748005896696,-0.20111541,-2.9850745E-4,-0.015173691
2005-06-17 00:00:00+00,SHORT,3456,0.3643693885308772,-0.117573194,0.004140406,-0.017708417
2005-06-17 00:00:00+00,SHORT,1819,0.0,-0.08104613,0.0010492987,-4.6113597E-5
2005-06-20 00:00:00+00,SHORT,4128,0.09545859557953242,-0.06085826,-0.0014285714,-0.018776668
2005-06-20 00:00:00+00,SHORT,918,0.09139647115301158,-0.14140056,0.0,-0.020423397
2005-06-20 00:00:00+00,SHORT,1383,0.07571356505231681,-0.1547617,0.008370895,-0.017314024
2005-06-20 00:00:00+00,SHORT,1819,0.0,-0.07494464,-0.007607979,-0.008392965
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,-0.18676661,0.012247072,-0.0062376377
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,-0.13800158,0.013888889,-0.010670143
