time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,earnings_drift_10_df011
2008-08-13 00:00:00+00,SHORT,3825,0.9333333333333333,0.055271734,0.0933956
2008-08-14 00:00:00+00,SHORT,2305,0.8,0.05290436,0.16965643
2008-08-14 00:00:00+00,SHORT,2543,0.9473684210526316,0.022060078,0.0970912
2008-08-14 00:00:00+00,SHORT,3782,0.7221287080211726,9.237063E-4,0.21756174
2008-08-14 00:00:00+00,SHORT,3825,0.8666666666666667,0.070725866,0.12408272
2008-08-14 00:00:00+00,SHORT,1816,0.0,0.08651659,0.09218172
2008-08-15 00:00:00+00,SHORT,4224,1.0,-0.021532673,0.12721089
2008-08-15 00:00:00+00,SHORT,2543,0.8947368421052632,0.029847454,0.093160376
2008-08-15 00:00:00+00,SHORT,535,0.0,-0.008125303,0.25165564
2008-08-15 00:00:00+00,SHORT,1176,0.0,-0.015702069,0.104761906
2008-08-15 00:00:00+00,SHORT,3355,1.0,0.008896379,0.14944904
2008-08-15 00:00:00+00,SHORT,1719,0.625,0.064620145,0.11510417
2008-08-15 00:00:00+00,SHORT,3825,0.8,0.07586426,0.117411606
2008-08-15 00:00:00+00,SHORT,1816,0.0,0.09433728,0.124141574
2008-08-18 00:00:00+00,SHORT,4224,0.9333333333333333,-0.01118845,0.11394558
2008-08-18 00:00:00+00,SHORT,2557,0.0,0.06217419,0.10094213
2008-08-18 00:00:00+00,SHORT,3355,0.8,0.022860194,0.13705234
2008-08-18 00:00:00+00,SHORT,3825,0.7333333333333334,0.07614765,0.100733824
2008-08-19 00:00:00+00,SHORT,3355,0.0,0.03629212,0.09848485
2008-08-20 00:00:00+00,SHORT,2497,1.0,0.025065318,0.109446265
2008-08-29 00:00:00+00,SHORT,4194,1.0,0.06946797,0.09212283
2008-09-19 00:00:00+00,SHORT,2323,1.0,-0.014300629,0.120829575
2008-09-26 00:00:00+00,SHORT,2323,0.0,0.083303094,0.11722273
2008-11-04 00:00:00+00,SHORT,759,1.0,-0.015332955,0.14914185
2008-11-05 00:00:00+00,SHORT,2067,1.0,0.010251577,0.30941704
2008-11-05 00:00:00+00,SHORT,558,1.0,0.009620638,0.17630385
2008-11-05 00:00:00+00,SHORT,759,0.9285714285714286,-1.1355378E-4,0.12389031
2008-11-06 00:00:00+00,SHORT,2067,0.8333333333333334,0.037823763,0.26681614
2008-11-06 00:00:00+00,SHORT,558,0.0,0.018747948,0.11904762
2008-11-07 00:00:00+00,SHORT,2067,0.8571428571428572,0.06142511,0.28699553
2008-11-07 00:00:00+00,SHORT,558,0.8,0.021472974,0.16496599
2008-11-10 00:00:00+00,SHORT,2067,0.7857142857142857,0.0870194,0.2264574
2008-11-13 00:00:00+00,SHORT,516,0.0,-0.027417853,0.09157266
2008-11-26 00:00:00+00,SHORT,2125,0.0,-0.018733444,0.21857025
2008-11-28 00:00:00+00,SHORT,2125,0.0,0.0066497102,0.21199672
2008-12-01 00:00:00+00,SHORT,2125,0.0,0.026387883,0.11832374
2008-12-02 00:00:00+00,SHORT,2125,0.0,0.06679985,0.22103533
2008-12-09 00:00:00+00,SHORT,938,1.0,-0.009214572,0.15403254
2008-12-10 00:00:00+00,SHORT,938,0.8333333333333334,0.024130099,0.19695397
2008-12-11 00:00:00+00,SHORT,938,0.0,0.05305514,0.09068882
2008-12-12 00:00:00+00,SHORT,959,0.0,-0.030528294,0.13569519
2008-12-15 00:00:00+00,SHORT,959,0.0,-0.019428153,0.12566845
2008-12-16 00:00:00+00,SHORT,2716,0.0,0.052057445,0.18555008
2008-12-16 00:00:00+00,SHORT,3895,0.0,0.01927416,0.15947242
2008-12-17 00:00:00+00,SHORT,2716,0.0,0.060957603,0.14696224
2008-12-17 00:00:00+00,SHORT,3895,0.0,0.03710377,0.14028777
2008-12-18 00:00:00+00,SHORT,2716,0.0,0.059826244,0.12561576
2008-12-18 00:00:00+00,SHORT,3895,0.6111111111111112,0.041372612,0.18465228
2008-12-19 00:00:00+00,SHORT,2349,0.0,0.021199875,0.2406542
2008-12-19 00:00:00+00,SHORT,3895,0.5555555555555556,0.05035967,0.235012
2008-12-22 00:00:00+00,SHORT,2349,0.0,0.029627103,0.092289716
2008-12-22 00:00:00+00,SHORT,3895,0.5,0.07239328,0.15947242
2008-12-23 00:00:00+00,SHORT,3895,0.75,0.09098582,0.11151079
2009-01-06 00:00:00+00,SHORT,2106,1.0,0.037793607,0.1226138
2009-01-06 00:00:00+00,SHORT,3127,1.0,0.04568561,0.09538003
2009-01-06 00:00:00+00,SHORT,3773,1.0,0.05693256,0.095910415
2009-01-06 00:00:00+00,SHORT,1832,1.0,0.04386723,0.110454805
2009-01-07 00:00:00+00,SHORT,64,1.0,-0.031799745,0.138093
2009-01-08 00:00:00+00,SHORT,64,0.9285714285714286,-0.014913692,0.14091122
2009-01-09 00:00:00+00,SHORT,64,1.0,0.0066778543,0.12775952
2009-01-12 00:00:00+00,SHORT,64,0.7857142857142857,0.024112273,0.11601691
2009-02-03 00:00:00+00,SHORT,675,0.0,0.03769084,0.097222224
2009-02-04 00:00:00+00,SHORT,3236,0.0,0.015914472,0.170423
2009-02-05 00:00:00+00,SHORT,487,0.0,-0.010152341,0.1603216
2009-02-05 00:00:00+00,SHORT,730,0.0,0.059034377,0.15384616
2009-02-05 00:00:00+00,SHORT,1615,0.04123614370037574,0.0060008382,0.12172573
2009-02-05 00:00:00+00,SHORT,2042,0.052631578947368474,0.009821767,0.09639668
2009-02-06 00:00:00+00,SHORT,4223,0.0,-0.02055685,0.10085075
2009-02-06 00:00:00+00,SHORT,153,0.0,-0.0093852505,0.10349127
2009-02-06 00:00:00+00,SHORT,2613,1.0,-0.0121805975,0.21641426
2009-02-06 00:00:00+00,SHORT,2993,1.0,0.005426838,0.20507812
2009-02-06 00:00:00+00,SHORT,3098,0.0,0.044801846,0.13567649
2009-02-06 00:00:00+00,SHORT,3199,1.0,0.07686181,0.097520664
2009-02-06 00:00:00+00,SHORT,3236,0.09318717740087668,0.09479319,0.34739646
2009-02-06 00:00:00+00,SHORT,1615,0.0,0.021302514,0.19568567
2009-02-06 00:00:00+00,SHORT,3824,1.0,0.05187339,0.15712383
2009-02-06 00:00:00+00,SHORT,2042,0.0,0.012501036,0.10317216
2009-02-09 00:00:00+00,SHORT,2050,0.24054057698784254,0.010349829,0.116893515
2009-02-09 00:00:00+00,SHORT,19,1.0,-0.0056818184,0.098154984
2009-02-09 00:00:00+00,SHORT,2270,0.0,-0.033310175,0.09826947
2009-02-09 00:00:00+00,SHORT,309,1.0,0.040901214,0.1132395
2009-02-09 00:00:00+00,SHORT,2437,1.0,-0.0062160734,0.0968761
2009-02-09 00:00:00+00,SHORT,2613,0.9166666666666666,-0.017363757,0.14020517
2009-02-09 00:00:00+00,SHORT,576,1.0,-0.03984288,0.0935771
2009-02-09 00:00:00+00,SHORT,2690,0.08650793693438193,0.08376516,0.15908995
2009-02-09 00:00:00+00,SHORT,2990,1.0,0.044700865,0.11840817
2009-02-09 00:00:00+00,SHORT,2993,0.8,-6.9694984E-4,0.109375
2009-02-09 00:00:00+00,SHORT,3098,1.0,0.021059407,0.14512472
2009-02-09 00:00:00+00,SHORT,1064,1.0,-0.006470537,0.108333334
2009-02-09 00:00:00+00,SHORT,3233,0.06610008122410131,0.06086692,0.1323639
2009-02-09 00:00:00+00,SHORT,3283,0.0,0.05397113,0.13329569
2009-02-09 00:00:00+00,SHORT,3357,1.0,-0.008476286,0.18758787
2009-02-09 00:00:00+00,SHORT,1434,1.0,0.0018522617,0.16429707
2009-02-09 00:00:00+00,SHORT,3573,1.0,-0.032834966,0.15115838
2009-02-09 00:00:00+00,SHORT,1667,1.0,-9.894308E-4,0.1352657
2009-02-09 00:00:00+00,SHORT,1668,0.0,-0.027139286,0.10288066
2009-02-09 00:00:00+00,SHORT,3754,1.0,0.036255967,0.1136506
2009-02-09 00:00:00+00,SHORT,3791,0.2685667827201104,-0.03129166,0.13852575
2009-02-09 00:00:00+00,SHORT,3824,0.0,0.052869752,0.13049267
2009-02-10 00:00:00+00,SHORT,487,0.0,0.013529033,0.18018444
2009-02-10 00:00:00+00,SHORT,2690,0.0,0.08935435,0.09360318
2009-02-10 00:00:00+00,SHORT,730,1.0,0.081621155,0.17032968
2009-02-10 00:00:00+00,SHORT,937,1.0,0.048338167,0.1024
2009-02-10 00:00:00+00,SHORT,3233,0.0,0.07453255,0.10477256
2009-02-10 00:00:00+00,SHORT,3357,0.0,-0.009290355,0.09269661
2009-02-10 00:00:00+00,SHORT,3743,1.0,0.050498787,0.1103972
2009-02-11 00:00:00+00,SHORT,19,0.8333333333333334,0.014006198,0.099877
2009-02-11 00:00:00+00,SHORT,2421,0.0,0.008805618,0.35891286
2009-02-11 00:00:00+00,SHORT,433,0.9090909090909091,-0.033501074,0.12183311
2009-02-11 00:00:00+00,SHORT,487,0.9473684210526316,0.029734313,0.18538661
2009-02-11 00:00:00+00,SHORT,2877,0.9473684210526316,-0.024147097,0.2015504
2009-02-11 00:00:00+00,SHORT,3233,0.0,0.08749649,0.093959734
2009-02-11 00:00:00+00,SHORT,3352,0.9,-0.031584196,0.10533444
2009-02-11 00:00:00+00,SHORT,3357,0.0,-0.0021557594,0.09488383
2009-02-11 00:00:00+00,SHORT,3743,0.8333333333333334,0.056079186,0.091705605
2009-02-11 00:00:00+00,SHORT,3824,0.0,0.066961,0.10652463
2009-02-11 00:00:00+00,SHORT,1897,0.9473684210526316,-0.011838053,0.10523038
2009-02-12 00:00:00+00,SHORT,19,0.85,0.024448795,0.11168512
2009-02-12 00:00:00+00,SHORT,335,0.37893648957773896,-0.0040521133,0.11670481
2009-02-12 00:00:00+00,SHORT,2421,0.0,0.034286395,0.32054356
2009-02-12 00:00:00+00,SHORT,433,0.8181818181818181,-0.02079317,0.12183311
2009-02-12 00:00:00+00,SHORT,487,0.9285714285714286,0.04752979,0.205013
2009-02-12 00:00:00+00,SHORT,2877,0.8947368421052632,-0.018633712,0.10723514
2009-02-12 00:00:00+00,SHORT,2936,1.0,0.044541743,0.105776444
2009-02-12 00:00:00+00,SHORT,937,0.19015711781039293,0.06574439,0.1
2009-02-12 00:00:00+00,SHORT,3352,0.8,-0.024579564,0.094164595
2009-02-12 00:00:00+00,SHORT,3357,0.0,0.007803539,0.12846589
2009-02-12 00:00:00+00,SHORT,1444,1.0,0.04614544,0.14117648
2009-02-12 00:00:00+00,SHORT,3743,0.6666666666666667,0.0623392,0.09988318
2009-02-12 00:00:00+00,SHORT,3824,0.0,0.0762672,0.1171771
2009-02-12 00:00:00+00,SHORT,3897,0.0,0.0054488843,0.10169491
2009-02-12 00:00:00+00,SHORT,1897,0.8947368421052632,-0.0055700825,0.107721046
2009-02-12 00:00:00+00,SHORT,2041,0.8823529411764706,-0.0395319,0.12285641
2009-02-13 00:00:00+00,SHORT,4223,1.0,0.004605283,0.12524067
2009-02-13 00:00:00+00,SHORT,153,0.8571428571428572,0.02409459,0.10349127
2009-02-13 00:00:00+00,SHORT,335,0.9230769230769231,0.0021789835,0.14004576
2009-02-13 00:00:00+00,SHORT,2421,0.0,0.05321433,0.28297362
